,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,953.44,927.96,439.77,0,1/8/2012
1,953.44,927.95,439.79,1,1/8/2012
2,953.44,927.94,439.81,2,1/8/2012
3,953.44,927.93,439.82,3,1/8/2012
4,953.44,927.92,439.82,4,1/8/2012
5,953.44,927.91,439.83,5,1/8/2012
6,953.44,927.91,439.84,6,1/8/2012
7,953.44,927.91,439.84,7,1/8/2012
8,953.44,927.91,439.85,8,1/8/2012
9,953.44,927.91,439.85,9,1/8/2012
10,953.44,927.91,439.83,10,1/8/2012
11,953.44,927.91,439.82,11,1/8/2012
12,953.44,927.92,439.81,12,1/8/2012
13,953.44,927.92,439.8,13,1/8/2012
14,953.44,927.92,439.79,14,1/8/2012
15,953.44,927.92,439.78,15,1/8/2012
16,953.44,927.92,439.77,16,1/8/2012
17,953.44,927.93,439.76,17,1/8/2012
18,953.44,927.93,439.76,18,1/8/2012
19,953.44,927.93,439.75,19,1/8/2012
20,953.44,927.93,439.74,20,1/8/2012
21,953.44,927.94,439.74,21,1/8/2012
22,953.44,927.94,439.74,22,1/8/2012
23,953.45,927.96,439.74,23,1/8/2012
24,953.45,927.97,439.75,0,2/8/2012
25,953.46,927.97,439.76,1,2/8/2012
26,953.46,927.97,439.78,2,2/8/2012
27,953.46,927.98,439.79,3,2/8/2012
28,953.46,927.98,439.8,4,2/8/2012
29,953.47,928.0,439.81,5,2/8/2012
30,953.49,928.02,439.82,6,2/8/2012
31,953.51,928.04,439.83,7,2/8/2012
32,953.51,928.04,439.85,8,2/8/2012
33,953.52,928.05,439.85,9,2/8/2012
34,953.52,928.06,439.84,10,2/8/2012
35,953.52,928.07,439.83,11,2/8/2012
36,953.52,928.07,439.82,12,2/8/2012
37,953.52,928.07,439.8,13,2/8/2012
38,953.53,928.08,439.79,14,2/8/2012
39,953.53,928.09,439.78,15,2/8/2012
40,953.54,928.1,439.77,16,2/8/2012
41,953.54,928.11,439.77,17,2/8/2012
42,953.54,928.12,439.77,18,2/8/2012
43,953.55,928.13,439.77,19,2/8/2012
44,953.55,928.14,439.76,20,2/8/2012
45,953.56,928.15,439.75,21,2/8/2012
46,953.56,928.16,439.74,22,2/8/2012
47,953.56,928.17,439.73,23,2/8/2012
48,953.57,928.17,439.73,0,3/8/2012
49,953.57,928.17,439.73,1,3/8/2012
50,953.57,928.17,439.75,2,3/8/2012
51,953.57,928.17,439.77,3,3/8/2012
52,953.57,928.17,439.78,4,3/8/2012
53,953.57,928.17,439.79,5,3/8/2012
54,953.58,928.17,439.8,6,3/8/2012
55,953.58,928.17,439.82,7,3/8/2012
56,953.58,928.18,439.83,8,3/8/2012
57,953.58,928.18,439.83,9,3/8/2012
58,953.58,928.18,439.83,10,3/8/2012
59,953.58,928.19,439.81,11,3/8/2012
60,953.58,928.2,439.8,12,3/8/2012
61,953.58,928.2,439.8,13,3/8/2012
62,953.59,928.21,439.79,14,3/8/2012
63,953.59,928.22,439.77,15,3/8/2012
64,953.59,928.22,439.77,16,3/8/2012
65,953.59,928.22,439.76,17,3/8/2012
66,953.59,928.22,439.76,18,3/8/2012
67,953.59,928.23,439.75,19,3/8/2012
68,953.59,928.24,439.74,20,3/8/2012
69,953.59,928.25,439.73,21,3/8/2012
70,953.59,928.26,439.73,22,3/8/2012
71,953.59,928.26,439.72,23,3/8/2012
72,953.59,928.25,439.71,0,4/8/2012
73,953.59,928.25,439.71,1,4/8/2012
74,953.59,928.25,439.72,2,4/8/2012
75,953.59,928.24,439.74,3,4/8/2012
76,953.59,928.24,439.76,4,4/8/2012
77,953.59,928.23,439.78,5,4/8/2012
78,953.59,928.22,439.79,6,4/8/2012
79,953.59,928.22,439.8,7,4/8/2012
80,953.59,928.22,439.81,8,4/8/2012
81,953.59,928.23,439.8,9,4/8/2012
82,953.59,928.23,439.79,10,4/8/2012
83,953.59,928.24,439.78,11,4/8/2012
84,953.59,928.24,439.77,12,4/8/2012
85,953.59,928.24,439.77,13,4/8/2012
86,953.59,928.25,439.76,14,4/8/2012
87,953.59,928.25,439.76,15,4/8/2012
