,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,953.68,928.54,439.78,0,1/7/2012
1,953.68,928.54,439.78,1,1/7/2012
2,953.68,928.54,439.78,2,1/7/2012
3,953.68,928.54,439.78,3,1/7/2012
4,953.68,928.53,439.78,4,1/7/2012
5,953.68,928.53,439.78,5,1/7/2012
6,953.68,928.53,439.78,6,1/7/2012
7,953.68,928.53,439.78,7,1/7/2012
8,953.68,928.53,439.78,8,1/7/2012
9,953.68,928.53,439.78,9,1/7/2012
10,953.68,928.53,439.77,10,1/7/2012
11,953.68,928.53,439.76,11,1/7/2012
12,953.67,928.53,439.76,12,1/7/2012
13,953.67,928.53,439.75,13,1/7/2012
14,953.67,928.53,439.75,14,1/7/2012
15,953.66,928.53,439.75,15,1/7/2012
16,953.66,928.53,439.75,16,1/7/2012
17,953.66,928.53,439.74,17,1/7/2012
18,953.66,928.53,439.74,18,1/7/2012
19,953.66,928.53,439.74,19,1/7/2012
20,953.66,928.53,439.75,20,1/7/2012
21,953.66,928.53,439.75,21,1/7/2012
22,953.65,928.53,439.75,22,1/7/2012
23,953.65,928.53,439.75,23,1/7/2012
24,953.65,928.53,439.75,0,2/7/2012
25,953.65,928.53,439.76,1,2/7/2012
26,953.65,928.53,439.76,2,2/7/2012
27,953.65,928.53,439.77,3,2/7/2012
28,953.65,928.53,439.79,4,2/7/2012
29,953.65,928.53,439.8,5,2/7/2012
30,953.65,928.53,439.81,6,2/7/2012
31,953.65,928.53,439.81,7,2/7/2012
32,953.64,928.53,439.82,8,2/7/2012
33,953.64,928.53,439.84,9,2/7/2012
34,953.64,928.53,439.84,10,2/7/2012
35,953.64,928.53,439.85,11,2/7/2012
36,953.64,928.53,439.85,12,2/7/2012
37,953.64,928.53,439.86,13,2/7/2012
38,953.64,928.53,439.86,14,2/7/2012
39,953.64,928.53,439.87,15,2/7/2012
40,953.64,928.53,439.88,16,2/7/2012
41,953.63,928.53,439.88,17,2/7/2012
42,953.63,928.53,439.89,18,2/7/2012
43,953.63,928.53,439.89,19,2/7/2012
44,953.63,928.53,439.89,20,2/7/2012
45,953.63,928.53,439.88,21,2/7/2012
46,953.63,928.53,439.88,22,2/7/2012
47,953.63,928.53,439.87,23,2/7/2012
48,953.63,928.53,439.85,0,3/7/2012
49,953.63,928.53,439.85,1,3/7/2012
50,953.63,928.53,439.84,2,3/7/2012
51,953.63,928.53,439.83,3,3/7/2012
52,953.63,928.53,439.82,4,3/7/2012
53,953.63,928.53,439.81,5,3/7/2012
54,953.63,928.53,439.79,6,3/7/2012
55,953.63,928.53,439.78,7,3/7/2012
56,953.62,928.53,439.76,8,3/7/2012
57,953.62,928.53,439.75,9,3/7/2012
58,953.62,928.53,439.76,10,3/7/2012
59,953.62,928.53,439.75,11,3/7/2012
60,953.61,928.53,439.74,12,3/7/2012
61,953.61,928.53,439.72,13,3/7/2012
62,953.61,928.53,439.71,14,3/7/2012
63,953.61,928.53,439.71,15,3/7/2012
64,953.61,928.53,439.71,16,3/7/2012
65,953.61,928.53,439.71,17,3/7/2012
66,953.61,928.53,439.7,18,3/7/2012
67,953.61,928.53,439.69,19,3/7/2012
68,953.61,928.53,439.69,20,3/7/2012
69,953.6,928.53,439.69,21,3/7/2012
70,953.6,928.53,439.68,22,3/7/2012
71,953.6,928.53,439.67,23,3/7/2012
72,953.6,928.53,439.66,0,4/7/2012
73,953.6,928.53,439.66,1,4/7/2012
74,953.6,928.53,439.65,2,4/7/2012
75,953.59,928.53,439.65,3,4/7/2012
76,953.59,928.53,439.64,4,4/7/2012
77,953.59,928.53,439.64,5,4/7/2012
78,953.58,928.53,439.63,6,4/7/2012
79,953.58,928.53,439.63,7,4/7/2012
80,953.58,928.53,439.63,8,4/7/2012
81,953.58,928.53,439.63,9,4/7/2012
82,953.58,928.53,439.63,10,4/7/2012
83,953.58,928.53,439.62,11,4/7/2012
84,953.57,928.53,439.61,12,4/7/2012
85,953.57,928.53,439.61,13,4/7/2012
86,953.57,928.53,439.6,14,4/7/2012
87,953.57,928.53,439.6,15,4/7/2012
88,953.57,928.53,439.6,16,4/7/2012
89,953.57,928.53,439.6,17,4/7/2012
90,953.57,928.53,439.6,18,4/7/2012
91,953.57,928.53,439.59,19,4/7/2012
92,953.56,928.53,439.59,20,4/7/2012
93,953.56,928.53,439.59,21,4/7/2012
94,953.56,928.53,439.58,22,4/7/2012
95,953.56,928.53,439.58,23,4/7/2012
96,953.56,928.53,439.58,0,5/7/2012
97,953.56,928.53,439.58,1,5/7/2012
98,953.56,928.53,439.58,2,5/7/2012
99,953.56,928.53,439.58,3,5/7/2012
100,953.56,928.53,439.58,4,5/7/2012
101,953.56,928.53,439.58,5,5/7/2012
102,953.56,928.53,439.58,6,5/7/2012
103,953.56,928.53,439.58,7,5/7/2012
