,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,955.92,927.94,841.65,439.77,0,1/1/2014
1,955.92,927.93,841.66,439.77,1,1/1/2014
2,955.92,927.92,841.67,439.78,2,1/1/2014
3,955.92,927.91,841.67,439.79,3,1/1/2014
4,955.92,927.9,841.68,439.81,4,1/1/2014
5,955.92,927.9,841.69,439.83,5,1/1/2014
6,955.92,927.9,841.7,439.85,6,1/1/2014
7,955.92,927.9,841.71,439.86,7,1/1/2014
8,955.92,927.9,841.76,439.87,8,1/1/2014
9,955.92,927.9,841.75,439.89,9,1/1/2014
10,955.92,927.9,841.77,439.91,10,1/1/2014
11,955.92,927.9,841.78,439.92,11,1/1/2014
12,955.91,927.91,841.78,439.92,12,1/1/2014
13,955.91,927.91,841.78,439.92,13,1/1/2014
14,955.91,927.91,841.78,439.92,14,1/1/2014
15,955.9,927.92,841.79,439.91,15,1/1/2014
16,955.9,927.92,841.79,439.9,16,1/1/2014
17,955.9,927.92,841.8,439.89,17,1/1/2014
18,955.9,927.92,841.83,439.88,18,1/1/2014
19,955.9,927.92,841.84,439.86,19,1/1/2014
20,955.9,927.92,841.85,439.84,20,1/1/2014
21,955.9,927.92,841.85,439.83,21,1/1/2014
22,955.9,927.92,841.87,439.82,22,1/1/2014
23,955.9,927.92,841.88,439.81,23,1/1/2014
24,955.9,927.92,841.89,439.81,0,2/1/2014
25,955.9,927.91,841.9,439.83,1,2/1/2014
26,955.9,927.9,841.91,439.85,2,2/1/2014
27,955.9,927.89,841.96,439.87,3,2/1/2014
28,955.9,927.88,842,439.88,4,2/1/2014
29,955.9,927.88,842.02,439.89,5,2/1/2014
30,955.9,927.88,842.01,439.9,6,2/1/2014
31,955.9,927.88,841.99,439.9,7,2/1/2014
32,955.9,927.88,841.97,439.91,8,2/1/2014
33,955.9,927.88,841.96,439.9,9,2/1/2014
34,955.9,927.88,841.94,439.89,10,2/1/2014
35,955.9,927.88,841.93,439.88,11,2/1/2014
36,955.9,927.89,841.91,439.86,12,2/1/2014
37,955.9,927.89,841.9,439.85,13,2/1/2014
38,955.9,927.89,841.89,439.84,14,2/1/2014
39,955.9,927.89,841.87,439.82,15,2/1/2014
40,955.9,927.89,841.84,439.81,16,2/1/2014
41,955.89,927.9,841.82,439.8,17,2/1/2014
42,955.89,927.9,841.8,439.79,18,2/1/2014
43,955.89,927.9,841.78,439.78,19,2/1/2014
44,955.89,927.9,841.76,439.78,20,2/1/2014
45,955.89,927.9,841.74,439.79,21,2/1/2014
46,955.89,927.9,841.72,439.81,22,2/1/2014
47,955.89,927.9,841.7,439.82,23,2/1/2014
48,955.89,927.89,841.68,439.83,0,3/1/2014
49,955.89,927.88,841.66,439.84,1,3/1/2014
50,955.89,927.87,841.64,439.85,2,3/1/2014
51,955.89,927.86,841.62,439.86,3,3/1/2014
52,955.89,927.85,841.6,439.87,4,3/1/2014
53,955.89,927.84,841.58,439.89,5,3/1/2014
54,955.89,927.84,841.56,439.91,6,3/1/2014
55,955.89,927.84,841.55,439.93,7,3/1/2014
56,955.89,927.84,841.53,439.95,8,3/1/2014
57,955.88,927.85,841.51,439.94,9,3/1/2014
58,955.88,927.85,841.49,439.93,10,3/1/2014
59,955.88,927.85,841.47,439.92,11,3/1/2014
60,955.88,927.85,841.45,439.9,12,3/1/2014
61,955.88,927.85,841.43,439.89,13,3/1/2014
62,955.88,927.87,841.42,439.88,14,3/1/2014
63,955.88,927.86,841.41,439.88,15,3/1/2014
64,955.88,927.86,841.44,439.87,16,3/1/2014
65,955.88,927.86,841.83,439.86,17,3/1/2014
66,955.88,927.86,841.44,439.86,18,3/1/2014
67,955.88,927.87,841.46,439.85,19,3/1/2014
68,955.88,927.87,841.48,439.84,20,3/1/2014
69,955.88,927.87,841.48,439.84,21,3/1/2014
70,955.88,927.87,841.49,439.83,22,3/1/2014
71,955.88,927.87,841.5,439.83,23,3/1/2014
72,955.88,927.86,841.51,439.83,0,4/1/2014
73,955.88,927.85,841.51,439.84,1,4/1/2014
74,955.88,927.84,841.51,439.85,2,4/1/2014
75,955.88,927.83,841.52,439.87,3,4/1/2014
76,955.88,927.82,841.52,439.87,4,4/1/2014
77,955.88,927.81,841.54,439.88,5,4/1/2014
78,955.88,927.81,841.55,439.88,6,4/1/2014
79,955.88,927.81,841.62,439.88,7,4/1/2014
80,955.88,927.81,841.066,439.88,8,4/1/2014
81,955.87,927.82,841.69,439.89,9,4/1/2014
82,955.87,927.82,841.73,439.87,10,4/1/2014
83,955.87,927.82,841.78,439.86,11,4/1/2014
84,955.87,927.83,841.8,439.85,12,4/1/2014
85,955.87,927.83,841.83,439.83,13,4/1/2014
86,955.87,927.83,841.84,439.82,14,4/1/2014
87,955.87,927.84,841.86,439.82,15,4/1/2014
88,955.87,927.84,841.88,439.81,16,4/1/2014
89,955.87,927.84,841.89,439.81,17,4/1/2014
90,955.87,927.84,841.89,439.8,18,4/1/2014
91,955.87,927.84,841.96,439.8,19,4/1/2014
92,955.87,927.85,841.98,439.8,20,4/1/2014
93,955.86,927.85,841.99,439.79,21,4/1/2014
94,955.86,927.86,842.01,439.8,22,4/1/2014
95,955.86,927.86,842.02,439.82,23,4/1/2014
96,955.86,927.85,842.04,439.83,0,5/1/2014
97,955.86,927.84,842.04,439.84,1,5/1/2014
98,955.86,927.83,842.05,439.85,2,5/1/2014
99,955.86,927.82,842.07,439.86,3,5/1/2014
100,955.86,927.81,842.08,439.87,4,5/1/2014
101,955.86,927.81,842.1,439.88,5,5/1/2014
102,955.86,927.8,842.11,439.89,6,5/1/2014
103,955.86,927.79,842.12,439.9,7,5/1/2014
104,955.86,927.78,842.113,439.9,8,5/1/2014
105,955.86,927.78,842.13,439.9,9,5/1/2014
106,955.86,927.76,842.15,439.89,10,5/1/2014
107,955.86,927.75,842.17,439.88,11,5/1/2014
108,955.86,927.75,842.18,439.86,12,5/1/2014
109,955.86,927.74,842.19,439.84,13,5/1/2014
110,955.86,927.73,842.2,439.83,14,5/1/2014
111,955.86,927.72,842.2,439.83,15,5/1/2014
112,955.86,927.71,842.2,439.83,16,5/1/2014
113,955.86,927.7,842.21,439.83,17,5/1/2014
114,955.86,927.69,842.21,439.84,18,5/1/2014
115,955.86,927.69,842.2,439.84,19,5/1/2014
116,955.86,927.69,842.18,439.84,20,5/1/2014
117,955.86,927.69,842.17,439.84,21,5/1/2014
118,955.86,927.69,842.15,439.84,22,5/1/2014
119,955.86,927.68,842.13,439.84,23,5/1/2014
120,955.85,927.67,842.11,439.84,0,6/1/2014
121,955.85,927.67,842.1,439.86,1,6/1/2014
122,955.85,927.66,842.08,439.88,2,6/1/2014
123,955.85,927.65,842.06,439.89,3,6/1/2014
124,955.85,927.64,842.04,439.91,4,6/1/2014
125,955.85,927.64,842.02,439.92,5,6/1/2014
126,955.85,927.64,842,439.91,6,6/1/2014
127,955.85,927.64,841.97,439.91,7,6/1/2014
128,955.85,927.64,841.98,439.9,8,6/1/2014
129,955.85,927.64,841.96,439.9,9,6/1/2014
130,955.85,927.64,841.95,439.88,10,6/1/2014
131,955.85,927.64,841.94,439.87,11,6/1/2014
132,955.85,927.64,841.93,439.85,12,6/1/2014
133,955.85,927.64,841.93,439.84,13,6/1/2014
134,955.85,927.64,841.92,439.83,14,6/1/2014
135,955.85,927.64,841.9,439.83,15,6/1/2014
136,955.85,927.64,841.89,439.83,16,6/1/2014
137,955.85,927.65,841.88,439.83,17,6/1/2014
138,955.85,927.65,841.88,439.84,18,6/1/2014
139,955.85,927.65,841.87,439.84,19,6/1/2014
140,955.85,927.65,841.86,439.83,20,6/1/2014
141,955.85,927.65,841.84,439.83,21,6/1/2014
142,955.85,927.64,841.83,439.83,22,6/1/2014
143,955.85,927.63,841.82,439.83,23,6/1/2014
144,955.84,927.62,841.81,439.83,0,7/1/2014
145,955.84,927.61,841.79,439.83,1,7/1/2014
146,955.84,927.6,841.78,439.82,2,7/1/2014
147,955.84,927.59,841.77,439.81,3,7/1/2014
148,955.84,927.58,841.75,439.82,4,7/1/2014
149,955.84,927.58,841.74,439.83,5,7/1/2014
150,955.84,927.59,841.72,439.84,6,7/1/2014
151,955.84,927.59,841.72,439.85,7,7/1/2014
152,955.84,927.59,841.68,439.86,8,7/1/2014
153,955.83,927.6,841.66,439.86,9,7/1/2014
154,955.83,927.6,841.65,439.86,10,7/1/2014
155,955.83,927.6,841.63,439.85,11,7/1/2014
156,955.83,927.6,841.62,439.85,12,7/1/2014
157,955.83,927.6,841.6,439.85,13,7/1/2014
158,955.83,927.6,841.59,439.84,14,7/1/2014
159,955.83,927.6,841.58,439.84,15,7/1/2014
160,955.83,927.6,841.56,439.82,16,7/1/2014
161,955.82,927.61,841.56,439.82,17,7/1/2014
162,955.82,927.61,841.52,439.82,18,7/1/2014
163,955.82,927.61,841.51,439.82,19,7/1/2014
164,955.82,927.62,841.5,439.81,20,7/1/2014
165,955.82,927.62,841.48,439.8,21,7/1/2014
166,955.82,927.62,841.46,439.8,22,7/1/2014
167,955.82,927.62,841.45,439.8,23,7/1/2014
168,955.82,927.62,841.45,439.81,0,8/1/2014
169,955.82,927.6,841.46,439.84,1,8/1/2014
170,955.82,927.59,841.48,439.86,2,8/1/2014
171,955.82,927.58,841.51,439.88,3,8/1/2014
172,955.82,927.57,841.55,439.89,4,8/1/2014
173,955.82,927.57,841.59,439.91,5,8/1/2014
174,955.82,927.57,841.63,439.92,6,8/1/2014
175,955.82,927.57,841.67,439.93,7,8/1/2014
176,955.82,927.57,841.72,439.94,8,8/1/2014
177,955.81,927.57,841.78,439.94,9,8/1/2014
178,955.81,927.57,841.85,439.93,10,8/1/2014
179,955.81,927.58,841.97,439.92,11,8/1/2014
180,955.81,927.58,842.07,439.9,12,8/1/2014
181,955.81,927.59,842.2,439.89,13,8/1/2014
