,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,953.44,925.43,841.46,682.519,439.82,0,1/5/2015
1,953.44,925.43,841.47,682.725,439.8,1,1/5/2015
2,953.44,925.43,841.49,682.874,439.78,2,1/5/2015
3,953.44,925.43,841.5,682.663,439.77,3,1/5/2015
4,953.44,925.43,841.51,682.859,439.78,4,1/5/2015
5,953.44,925.43,841.52,682.778,439.8,5,1/5/2015
6,953.44,925.43,841.53,682.946,439.81,6,1/5/2015
7,953.43,925.43,841.542,682.997,439.82,7,1/5/2015
8,953.43,925.44,841.553,682.865,439.83,8,1/5/2015
9,953.43,925.44,841.563,682.487,439.83,9,1/5/2015
10,953.43,925.44,841.571,682.224,439.84,10,1/5/2015
11,953.43,925.44,841.581,682.036,439.86,11,1/5/2015
12,953.43,925.44,841.589,682.117,439.87,12,1/5/2015
13,953.43,925.44,841.597,682.267,439.86,13,1/5/2015
14,953.43,925.44,841.606,682.581,439.86,14,1/5/2015
15,953.43,925.44,841.61,682.242,439.88,15,1/5/2015
16,953.43,925.44,841.62,681.981,439.91,16,1/5/2015
17,953.43,925.44,841.63,682.013,439.91,17,1/5/2015
18,953.43,925.45,841.64,682.311,439.89,18,1/5/2015
19,953.43,925.45,841.65,683.101,439.85,19,1/5/2015
20,953.43,925.45,841.66,682.524,439.8,20,1/5/2015
21,953.43,925.45,841.67,682.425,439.76,21,1/5/2015
22,953.43,925.45,841.677,682.325,439.71,22,1/5/2015
23,953.43,925.46,841.7,682.111,439.7,23,1/5/2015
24,953.42,925.46,841.71,682.078,439.71,0,2/5/2015
25,953.42,925.46,841.72,681.929,439.73,1,2/5/2015
26,953.42,925.46,841.737,681.881,439.74,2,2/5/2015
27,953.42,925.47,841.754,681.848,439.74,3,2/5/2015
28,953.42,925.47,841.778,681.783,439.74,4,2/5/2015
29,953.42,925.47,841.81,681.867,439.77,5,2/5/2015
30,953.42,925.47,841.83,681.984,439.78,6,2/5/2015
31,953.42,925.47,841.862,682.002,439.79,7,2/5/2015
32,953.41,925.48,841.885,682.117,439.79,8,2/5/2015
33,953.41,925.48,841.899,682.185,439.8,9,2/5/2015
34,953.41,925.48,841.917,682.391,439.81,10,2/5/2015
35,953.41,925.48,841.93,682.49,439.82,11,2/5/2015
36,953.41,925.48,841.943,682.536,439.83,12,2/5/2015
37,953.41,925.48,841.955,682.825,439.84,13,2/5/2015
38,953.41,925.48,841.967,682.862,439.85,14,2/5/2015
39,953.41,925.49,841.97,682.683,439.86,15,2/5/2015
40,953.41,925.43,841.987,682.754,439.87,16,2/5/2015
41,953.41,925.49,841.998,682.739,439.87,17,2/5/2015
42,953.41,925.49,842.007,683.099,439.88,18,2/5/2015
43,953.4,925.49,842.016,682.623,439.88,19,2/5/2015
44,953.4,925.5,842.024,682.792,439.89,20,2/5/2015
45,953.4,925.5,842.034,682.781,439.87,21,2/5/2015
46,953.4,925.5,842.043,682.699,439.85,22,2/5/2015
47,953.4,925.5,842.056,682.57,439.81,23,2/5/2015
48,953.4,925.5,842.066,682.419,439.79,0,3/5/2015
49,953.4,925.5,842.074,682.519,439.75,1,3/5/2015
50,953.4,925.5,842.085,682.503,439.72,2,3/5/2015
51,953.4,925.5,842.095,682.568,439.73,3,3/5/2015
52,953.4,925.5,842.103,682.471,439.73,4,3/5/2015
53,953.4,925.51,842.118,682.406,439.74,5,3/5/2015
54,953.4,925.51,842.136,682.276,439.74,6,3/5/2015
55,953.4,925.51,842.149,682.27,439.75,7,3/5/2015
56,953.4,925.51,842.156,682.319,439.76,8,3/5/2015
57,953.4,925.51,842.177,682.568,439.77,9,3/5/2015
58,953.4,925.51,842.19,682.704,439.78,10,3/5/2015
59,953.4,925.51,842.202,682.754,439.79,11,3/5/2015
60,953.4,925.51,842.213,682.841,439.8,12,3/5/2015
61,953.4,925.51,842.224,682.891,439.81,13,3/5/2015
62,953.4,925.51,842.234,682.959,439.82,14,3/5/2015
63,953.4,925.52,842.244,682.879,439.85,15,3/5/2015
64,953.4,925.52,842.25,682.576,439.84,16,3/5/2015
65,953.4,925.52,842.26,682.508,439.84,17,3/5/2015
66,953.4,925.52,842.27,682.474,439.84,18,3/5/2015
67,953.4,925.52,842.28,682.947,439.85,19,3/5/2015
68,953.4,925.53,842.29,682.832,439.85,20,3/5/2015
69,953.4,925.53,842.3,683.011,439.85,21,3/5/2015
70,953.4,925.53,842.3,682.292,439.83,22,3/5/2015
71,953.4,925.53,842.31,681.982,439.81,23,3/5/2015
72,953.4,925.53,842.32,682.165,439.77,0,4/5/2015
73,953.4,925.53,842.32,682.117,439.74,1,4/5/2015
74,953.4,925.53,842.34,682.117,439.74,2,4/5/2015
75,953.4,925.53,842.35,682.214,439.74,3,4/5/2015
76,953.4,925.54,842.36,682.347,439.75,4,4/5/2015
77,953.4,925.54,842.36,682.379,439.76,5,4/5/2015
78,953.4,925.54,842.38,682.363,439.77,6,4/5/2015
79,953.4,925.54,843.38,682.515,439.78,7,4/5/2015
80,953.4,925.54,842.39,682.791,439.79,8,4/5/2015
81,953.4,925.54,842.35,682.757,439.8,9,4/5/2015
82,953.39,925.55,842.31,682.996,439.8,10,4/5/2015
83,953.39,925.55,842.27,682.848,439.8,11,4/5/2015
84,953.39,925.55,842.22,682.769,439.81,12,4/5/2015
85,953.39,925.55,842.17,682.922,439.82,13,4/5/2015
86,953.39,925.56,842.13,682.933,439.83,14,4/5/2015
87,953.39,925.56,842.09,682.817,439.83,15,4/5/2015
88,953.39,925.56,842.04,682.782,439.84,16,4/5/2015
89,953.39,925.56,842.001,682.751,439.84,17,4/5/2015
90,953.39,925.56,841.955,682.909,439.84,18,4/5/2015
91,953.39,925.56,841.909,682.919,439.85,19,4/5/2015
92,953.39,925.56,841.858,682.856,439.81,20,4/5/2015
93,953.39,925.57,841.86,682.85,439.78,21,4/5/2015
94,953.39,925.57,841.87,682.744,439.75,22,4/5/2015
95,953.39,925.57,841.88,682.713,439.74,23,4/5/2015
96,953.39,925.57,841.891,682.664,439.74,0,5/5/2015
97,953.39,925.57,841.901,682.767,439.76,1,5/5/2015
98,953.39,925.58,841.911,682.8,439.77,2,5/5/2015
99,953.39,925.58,841.92,682.784,-1000,3,5/5/2015
100,953.39,925.58,841.928,682.832,439.79,4,5/5/2015
101,953.39,925.58,841.94,682.832,439.8,5,5/5/2015
