,HORA,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,Date
0,955.33,925.32,842,682.168,439.91,0,1/2/2016
1,955.33,925.32,842.018,682.226,439.91,1,1/2/2016
2,955.33,925.32,842.037,682.624,439.91,2,1/2/2016
3,955.33,925.33,842.05,682.762,439.91,3,1/2/2016
4,955.33,925.33,842.068,682.596,439.91,4,1/2/2016
5,955.33,925.33,842.085,682.533,439.91,5,1/2/2016
6,955.33,925.33,842.102,682.656,439.91,6,1/2/2016
7,955.33,925.33,842.11,682.347,439.91,7,1/2/2016
8,955.33,925.33,842.132,682.296,439.92,8,1/2/2016
9,955.33,925.33,842.123,682.613,439.91,9,1/2/2016
10,955.33,925.33,842.082,682.629,439.91,10,1/2/2016
11,955.33,925.33,842.04,682.86,439.9,11,1/2/2016
12,955.33,925.33,841.998,682.719,439.89,12,1/2/2016
13,955.33,925.33,841.957,682.783,439.89,13,1/2/2016
14,955.33,925.33,841.916,682.744,439.87,14,1/2/2016
15,955.33,925.33,841.872,682.784,439.87,15,1/2/2016
16,955.33,925.34,841.829,682.765,439.86,16,1/2/2016
17,955.33,925.34,841.784,682.781,439.85,17,1/2/2016
18,955.33,925.34,841.741,682.866,439.84,18,1/2/2016
19,955.33,925.34,841.695,682.816,439.83,19,1/2/2016
20,955.33,925.34,841.649,682.75,439.82,20,1/2/2016
21,955.33,925.34,841.623,682.711,439.81,21,1/2/2016
22,955.33,925.34,841.635,682.605,439.81,22,1/2/2016
23,955.33,925.34,841.652,682.378,439.81,23,1/2/2016
0,955.32,925.34,841.668,682.229,439.81,0,2/2/2016
1,955.32,925.33,841.687,682.148,439.82,1,2/2/2016
2,955.32,925.32,841.702,682.115,439.84,2,2/2/2016
3,955.32,925.31,841.72,682.049,439.84,3,2/2/2016
4,955.32,925.31,841.739,682.008,439.84,4,2/2/2016
5,955.32,925.31,841.755,681.977,439.85,5,2/2/2016
6,955.32,925.31,841.772,681.911,439.86,6,2/2/2016
7,955.32,925.31,841.79,681.859,439.87,7,2/2/2016
8,955.32,925.31,841.806,681.81,439.88,8,2/2/2016
9,955.32,925.31,841.814,682.534,439.88,9,2/2/2016
10,955.32,925.31,841.793,682.676,439.88,10,2/2/2016
