,HORA,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,Date
11,955.32,925.32,841.77,682.805,439.87,11,2/2/2016
12,955.31,925.32,841.74,682.774,439.85,12,2/2/2016
13,955.31,925.32,841.72,682.864,439.84,13,2/2/2016
14,955.31,925.32,841.7,682.614,439.82,14,2/2/2016
15,955.31,925.32,841.678,682.517,439.8,15,2/2/2016
16,955.31,925.32,841.655,682.877,439.77,16,2/2/2016
17,955.31,925.32,841.631,682.665,439.75,17,2/2/2016
18,955.31,925.32,841.61,682.699,439.74,18,2/2/2016
19,955.31,925.33,841.588,682.554,439.73,19,2/2/2016
20,955.3,925.33,841.563,682.427,439.71,20,2/2/2016
21,955.3,925.33,841.536,682.456,439.69,21,2/2/2016
22,955.3,925.33,841.511,682.357,439.67,22,2/2/2016
23,955.3,925.33,841.49,682.116,439.67,23,2/2/2016
0,955.3,925.33,841.5,681.851,439.68,0,3/2/2016
1,955.3,925.31,841.523,681.749,439.68,1,3/2/2016
2,955.3,925.3,841.541,681.686,439.68,2,3/2/2016
3,955.3,925.29,841.559,681.626,439.69,3,3/2/2016
4,955.3,925.29,841.575,681.564,439.7,4,3/2/2016
5,955.3,925.29,841.594,681.667,439.71,5,3/2/2016
6,955.3,925.29,841.611,681.736,439.72,6,3/2/2016
7,955.3,925.29,841.631,681.636,439.72,7,3/2/2016
8,955.3,925.29,841.645,681.768,439.73,8,3/2/2016
9,955.3,925.29,841.661,682.271,439.73,9,3/2/2016
10,955.3,925.29,841.662,682.795,439.72,10,3/2/2016
11,955.3,925.3,841.64,682.537,439.7,11,3/2/2016
12,955.3,925.3,841.616,682.483,439.69,12,3/2/2016
13,955.3,925.3,841.592,682.535,439.68,13,3/2/2016
14,955.3,925.3,841.567,682.684,439.66,14,3/2/2016
15,955.3,925.3,841.542,682.538,439.63,15,3/2/2016
16,955.29,925.3,841.518,682.577,439.61,16,3/2/2016
17,955.29,925.3,841.494,682.682,439.59,17,3/2/2016
18,955.29,925.3,841.47,682.701,439.47,18,3/2/2016
19,955.29,925.3,841.443,682.72,439.55,19,3/2/2016
20,955.29,925.3,841.419,682.795,439.53,20,3/2/2016
21,955.29,925.3,841.425,682.747,439.52,21,3/2/2016
22,955.29,925.3,841.441,682.238,439.51,22,3/2/2016
23,955.29,925.3,841.458,682.288,439.51,23,3/2/2016
0,955.29,925.3,841.475,682.392,439.49,0,4/2/2016
1,955.29,925.3,841.492,682.122,439.5,1,4/2/2016
2,955.29,925.3,841.509,682.059,439.51,2,4/2/2016
3,955.29,925.3,841.524,682.001,439.51,3,4/2/2016
4,955.29,925.3,841.542,681.923,439.52,4,4/2/2016
5,955.29,925.3,841.559,681.905,439.53,5,4/2/2016
6,955.29,925.3,841.575,681.868,439.53,6,4/2/2016
7,955.29,925.3,841.593,681.87,439.53,7,4/2/2016
8,955.29,925.3,841.61,682.065,439.52,8,4/2/2016
9,955.29,925.3,841.626,682.584,439.5,9,4/2/2016
10,955.29,925.31,841.633,682.597,439.48,10,4/2/2016
11,955.29,925.31,841.61,682.745,439.46,11,4/2/2016
12,955.28,925.31,841.587,682.743,439.45,12,4/2/2016
13,955.28,925.31,841.559,682.588,439.43,13,4/2/2016
14,955.28,925.31,841.534,682.456,439.4,14,4/2/2016
15,955.28,925.31,841.5,682.729,439.39,15,4/2/2016
16,955.28,925.32,841.486,682.423,439.37,16,4/2/2016
17,955.27,925.32,841.461,682.439,439.35,17,4/2/2016
18,955.27,925.32,841.435,682.428,439.34,18,4/2/2016
19,955.27,925.32,841.408,682.231,439.33,19,4/2/2016
20,955.27,925.32,841.386,682.554,439.33,20,4/2/2016
21,955.26,925.32,841.403,682.48,439.32,21,4/2/2016
22,955.26,925.32,841.419,682.459,439.32,22,4/2/2016
23,955.26,925.32,841.437,682.088,439.31,23,4/2/2016
0,955.26,925.33,841.452,681.739,439.32,0,5/2/2016
1,955.26,925.33,841.452,681.675,439.33,1,5/2/2016
2,955.26,925.33,841.486,681.672,439.34,2,5/2/2016
3,955.26,925.33,841.497,681.624,439.35,3,5/2/2016
4,955.26,925.33,841.516,681.609,439.35,4,5/2/2016
5,955.26,925.33,841.533,681.578,439.37,5,5/2/2016
6,955.26,925.34,841.551,681.386,439.38,6,5/2/2016
7,955.26,925.34,841.57,681.313,439.39,7,5/2/2016
8,955.26,925.34,841.586,681.887,439.39,8,5/2/2016
9,955.26,925.34,841.6,682.757,439.38,9,5/2/2016
10,955.26,925.34,841.616,682.846,439.36,10,5/2/2016
11,955.26,925.34,841.633,682.768,439.35,11,5/2/2016
12,955.25,925.34,841.648,682.714,439.33,12,5/2/2016
13,955.25,925.34,841.663,682.781,439.3,13,5/2/2016
14,955.25,925.34,841.681,682.805,439.28,14,5/2/2016
15,955.25,925.34,841.7,682.608,439.25,15,5/2/2016
16,955.25,925.34,841.713,682.356,439.24,16,5/2/2016
17,955.24,925.35,841.732,682.318,439.22,17,5/2/2016
18,955.24,925.35,841.748,682.208,439.2,18,5/2/2016
19,955.24,925.35,841.727,682.726,439.18,19,5/2/2016
20,955.24,925.35,841.704,682.786,439.16,20,5/2/2016
21,955.24,925.35,841.681,682.795,439.14,21,5/2/2016
22,955.23,925.36,841.661,682.678,439.12,22,5/2/2016
23,955.23,925.36,841.674,682.382,439.09,23,5/2/2016
0,955.23,925.36,841.691,682.161,439.07,0,6/2/2016
1,955.23,925.36,841.704,682.108,439.07,1,6/2/2016
2,955.23,925.36,841.725,682.043,439.08,2,6/2/2016
3,955.23,925.36,841.739,681.988,439.1,3,6/2/2016
4,955.23,925.36,841.756,681.989,439.12,4,6/2/2016
5,955.23,925.36,841.773,681.996,439.13,5,6/2/2016
6,955.23,925.37,841.791,682.042,439.14,6,6/2/2016
7,955.23,925.37,841.806,681.98,439.14,7,6/2/2016
8,955.23,925.37,841.822,681.911,439.15,8,6/2/2016
9,955.23,925.37,841.83,682.032,439.16,9,6/2/2016
10,955.23,925.37,841.853,682.103,439.16,10,6/2/2016
11,955.23,925.37,841.866,682.239,439.17,11,6/2/2016
12,955.22,925.37,841.854,682.711,439.17,12,6/2/2016
13,955.22,925.37,841.83,682.74,439.17,13,6/2/2016
14,955.22,925.37,841.8,682.783,439.17,14,6/2/2016
15,955.22,925.37,841.783,682.765,439.18,15,6/2/2016
16,955.22,925.38,841.759,682.263,439.19,16,6/2/2016
17,955.22,925.38,841.744,682.232,439.19,17,6/2/2016
18,955.22,925.38,841.744,682.235,439.19,18,6/2/2016
19,955.22,925.38,841.724,682.548,439.19,19,6/2/2016
20,955.22,925.38,841.697,682.195,439.19,20,6/2/2016
21,955.22,925.38,841.673,682.154,439.2,21,6/2/2016
22,955.22,925.38,841.656,682.263,439.21,22,6/2/2016
23,955.22,925.38,841.669,682.208,439.21,23,6/2/2016
0,955.22,925.38,841.687,682.18,439.21,0,7/2/2016
1,955.22,925.38,841.7,682.075,439.22,1,7/2/2016
2,955.22,925.38,841.71,682.028,439.22,2,7/2/2016
3,955.22,925.39,841.737,681.985,439.23,3,7/2/2016
4,955.22,925.39,841.753,681.693,439.23,4,7/2/2016
5,955.22,925.39,841.762,681.63,439.24,5,7/2/2016
6,955.22,925.39,841.779,681.65,439.25,6,7/2/2016
7,955.22,925.39,841.794,681.555,439.27,7,7/2/2016
8,955.22,925.4,841.81,681.508,439.28,8,7/2/2016
9,955.22,925.4,841.81,681.565,439.29,9,7/2/2016
10,955.22,925.4,841.78,681.618,439.29,10,7/2/2016
11,955.22,925.4,841.76,681.557,439.29,11,7/2/2016
12,955.22,925.4,841.74,681.502,439.3,12,7/2/2016
13,955.21,925.4,841.719,681.515,439.31,13,7/2/2016
14,955.21,925.4,841.696,681.535,439.31,14,7/2/2016
15,955.21,925.4,841.671,681.489,439.31,15,7/2/2016
16,955.21,925.41,841.673,681.427,439.31,16,7/2/2016
17,955.21,925.41,841.689,681.745,439.31,17,7/2/2016
18,955.21,925.41,841.704,682.096,439.32,18,7/2/2016
19,955.21,925.41,841.691,682.849,439.33,19,7/2/2016
20,955.21,925.41,841.669,682.734,439.33,20,7/2/2016
21,955.21,925.41,841.645,682.701,439.33,21,7/2/2016
22,955.21,925.41,841.622,682.637,439.34,22,7/2/2016
23,955.21,925.41,841.623,682.548,439.34,23,7/2/2016
0,955.21,925.4,841.643,682.289,439.35,0,8/2/2016
1,955.21,925.39,841.658,682.238,439.36,1,8/2/2016
2,955.21,925.38,841.674,682.191,439.36,2,8/2/2016
3,955.21,925.37,841.69,682.328,439.36,3,8/2/2016
4,955.21,925.37,841.706,682.356,439.37,4,8/2/2016
5,955.21,925.36,841.726,682.513,439.37,5,8/2/2016
6,955.21,925.36,841.742,682.753,439.37,6,8/2/2016
7,955.21,925.36,841.758,682.717,439.37,7,8/2/2016
8,955.21,925.36,841.774,682.691,439.37,8,8/2/2016
9,955.21,925.36,841.788,682.661,439.37,9,8/2/2016
10,955.2,925.36,841.805,682.859,439.37,10,8/2/2016
11,955.2,925.36,841.818,682.847,439.37,11,8/2/2016
12,955.2,925.37,841.799,682.562,439.36,12,8/2/2016
13,955.2,925.37,841.776,682.404,439.36,13,8/2/2016
14,955.2,925.37,841.754,682.606,439.36,14,8/2/2016
15,955.2,925.37,841.727,682.906,439.36,15,8/2/2016
16,955.2,925.37,841.713,682.532,439.35,16,8/2/2016
17,955.2,925.37,841.71,682.624,439.35,17,8/2/2016
18,955.2,925.37,841.704,682.548,439.35,18,8/2/2016
19,955.2,925.37,841.683,682.362,439.35,19,8/2/2016
20,955.2,925.37,841.661,682.331,439.35,20,8/2/2016
21,955.2,925.37,841.634,682.568,439.35,21,8/2/2016
22,955.2,925.37,841.614,682.473,439.35,22,8/2/2016
23,955.2,925.37,841.631,682.256,439.34,23,8/2/2016
0,955.2,925.37,841.644,682.01,439.34,0,9/2/2016
1,955.2,925.37,841.661,681.778,439.34,1,9/2/2016
2,955.2,925.37,841.678,681.675,439.33,2,9/2/2016
3,955.2,925.37,841.692,681.614,439.33,3,9/2/2016
4,955.2,925.37,841.708,681.76,439.33,4,9/2/2016
5,955.2,925.37,841.725,681.896,439.33,5,9/2/2016
6,955.2,925.37,841.741,682.113,439.33,6,9/2/2016
7,955.2,925.37,841.758,681.881,439.33,7,9/2/2016
8,955.2,925.37,841.712,681.781,439.33,8,9/2/2016
9,955.2,925.37,841.787,681.751,439.34,9,9/2/2016
10,955.19,925.38,841.806,682.072,439.34,10,9/2/2016
11,955.19,925.38,841.813,682.704,439.34,11,9/2/2016
12,955.19,925.38,841.79,682.745,439.34,12,9/2/2016
13,955.19,925.38,841.765,682.813,439.33,13,9/2/2016
14,955.19,925.38,841.747,682.616,439.33,14,9/2/2016
15,955.19,925.38,841.719,682.716,439.32,15,9/2/2016
16,955.19,925.38,841.689,682.663,439.32,16,9/2/2016
17,955.19,925.38,841.667,682.841,439.32,17,9/2/2016
18,955.19,925.38,841.64,682.726,439.32,18,9/2/2016
19,955.19,925.38,841.61,682.729,439.32,19,9/2/2016
20,955.19,925.38,841.59,682.849,439.32,20,9/2/2016
21,955.19,925.38,841.606,682.747,439.32,21,9/2/2016
22,955.19,925.38,841.623,682.806,439.33,22,9/2/2016
23,955.19,925.38,841.637,682.708,439.33,23,9/2/2016
0,955.18,925.38,841.654,682.671,439.33,0,10/2/2016
1,955.18,925.37,841.667,682.628,439.33,1,10/2/2016
2,955.18,925.36,841.683,682.57,439.33,2,10/2/2016
3,955.18,925.35,841.697,682.524,439.33,3,10/2/2016
4,955.18,925.34,841.712,682.472,439.34,4,10/2/2016
5,955.18,925.34,841.727,682.467,439.34,5,10/2/2016
6,955.18,925.34,841.743,682.5,439.34,6,10/2/2016
7,955.18,925.34,841.76,682.704,439.36,7,10/2/2016
8,955.18,925.34,841.773,682.774,439.37,8,10/2/2016
9,955.18,925.34,841.788,682.487,439.38,9,10/2/2016
10,955.18,925.34,841.801,682.74,439.38,10,10/2/2016
11,955.18,925.34,841.812,682.581,439.39,11,10/2/2016
12,955.18,925.34,841.794,682.856,439.39,12,10/2/2016
13,955.18,925.34,841.771,682.656,439.39,13,10/2/2016
14,955.18,925.34,841.739,682.635,439.39,14,10/2/2016
15,955.18,925.35,841.716,682.786,439.39,15,10/2/2016
16,955.18,925.35,841.692,682.655,439.39,16,10/2/2016
17,955.17,925.35,841.668,682.696,439.39,17,10/2/2016
18,955.17,925.35,841.639,682.347,439.39,18,10/2/2016
19,955.17,925.35,841.616,682.552,439.39,19,10/2/2016
20,955.17,925.35,841.59,682.677,439.39,20,10/2/2016
21,955.17,925.35,841.593,682.525,439.39,21,10/2/2016
22,955.17,925.35,841.609,682.288,439.39,22,10/2/2016
23,955.17,925.35,841.622,682.257,439.4,23,10/2/2016
0,955.16,925.34,841.638,682.201,439.4,0,11/2/2016
1,955.16,925.33,841.652,682.166,439.41,1,11/2/2016
2,955.16,925.32,841.663,682.12,439.42,2,11/2/2016
3,955.16,925.31,841.68,682.068,439.43,3,11/2/2016
4,955.16,925.3,841.695,681.851,439.44,4,11/2/2016
5,955.16,925.3,841.707,681.697,439.46,5,11/2/2016
6,955.16,925.3,841.724,681.492,439.48,6,11/2/2016
7,955.16,925.3,841.739,681.337,439.5,7,11/2/2016
8,955.16,925.3,841.753,681.594,439.5,8,11/2/2016
9,955.16,925.3,841.765,682.696,439.51,9,11/2/2016
10,955.16,925.3,841.781,682.507,439.51,10,11/2/2016
11,955.16,925.3,841.793,682.597,439.51,11,11/2/2016
12,955.16,925.3,841.766,682.491,439.52,12,11/2/2016
13,955.16,925.3,841.739,682.491,439.52,13,11/2/2016
14,955.16,925.3,841.719,682.668,439.53,14,11/2/2016
15,955.16,925.3,841.69,682.469,439.53,15,11/2/2016
16,955.16,925.3,841.663,682.593,439.53,16,11/2/2016
17,955.15,925.3,841.66,682.542,439.53,17,11/2/2016
18,955.15,925.3,841.615,682.556,439.53,18,11/2/2016
19,955.15,925.3,841.588,682.79,439.53,19,11/2/2016
20,955.15,925.3,841.559,682.744,439.53,20,11/2/2016
21,955.15,925.3,841.57,682.749,439.53,21,11/2/2016
22,955.15,925.3,841.588,682.582,439.54,22,11/2/2016
23,955.15,925.3,841.6,682.308,439.54,23,11/2/2016
0,955.15,925.29,841.615,682.259,439.55,0,12/2/2016
1,955.15,925.29,841.629,682.232,439.55,1,12/2/2016
2,955.15,925.29,841.644,682.218,439.56,2,12/2/2016
3,955.15,925.29,841.658,682.187,439.56,3,12/2/2016
4,955.15,925.29,841.673,682.172,439.57,4,12/2/2016
5,955.15,925.29,841.687,682.181,439.57,5,12/2/2016
6,955.14,925.3,841.703,682.354,439.58,6,12/2/2016
7,955.14,925.3,841.718,682.43,439.59,7,12/2/2016
8,955.14,925.3,841.735,682.453,439.59,8,12/2/2016
9,955.14,925.3,841.749,682.982,439.59,9,12/2/2016
10,955.14,925.3,841.765,683.142,439.59,10,12/2/2016
11,955.14,925.3,841.776,683.125,439.59,11,12/2/2016
12,955.14,925.3,841.753,682.877,439.59,12,12/2/2016
13,955.14,925.3,841.727,682.464,439.6,13,12/2/2016
14,955.14,925.3,841.703,682.744,439.6,14,12/2/2016
15,955.13,925.3,841.681,682.528,439.6,15,12/2/2016
16,955.13,925.3,841.655,682.605,439.59,16,12/2/2016
17,955.13,925.3,841.629,682.75,439.59,17,12/2/2016
18,955.13,925.3,841.611,682.652,439.59,18,12/2/2016
19,955.13,925.3,841.587,682.969,439.59,19,12/2/2016
20,955.13,925.3,841.565,682.844,439.59,20,12/2/2016
21,955.13,925.3,841.565,682.714,439.59,21,12/2/2016
22,955.13,925.3,841.585,682.809,439.59,22,12/2/2016
23,955.13,925.3,841.6,682.476,439.59,23,12/2/2016
0,955.13,925.3,841.619,682.174,439.6,0,13/2/2016
1,955.13,925.3,841.631,682.206,439.6,1,13/2/2016
2,955.13,925.3,841.655,682.326,439.61,2,13/2/2016
3,955.13,925.3,841.677,682.34,439.61,3,13/2/2016
4,955.13,925.3,841.692,682.042,439.63,4,13/2/2016
5,953.13,925.3,841.713,681.994,439.64,5,13/2/2016
6,953.12,925.31,841.733,682.212,439.66,6,13/2/2016
7,955.12,925.31,841.755,682.153,439.66,7,13/2/2016
8,955.12,925.31,841.776,682.208,439.66,8,13/2/2016
9,955.12,925.31,841.799,682.533,439.66,9,13/2/2016
10,955.12,925.31,841.82,682.796,439.68,10,13/2/2016
11,955.12,925.31,841.837,682.773,439.69,11,13/2/2016
12,955.11,925.31,841.818,682.776,439.7,12,13/2/2016
13,955.11,925.31,841.801,682.732,439.7,13,13/2/2016
14,955.11,925.31,841.799,682.748,439.7,14,13/2/2016
15,955.11,925.31,841.76,682.812,439.7,15,13/2/2016
16,955.11,925.31,841.737,682.845,439.71,16,13/2/2016
17,955.1,925.32,841.725,682.69,439.71,17,13/2/2016
18,955.1,925.32,841.697,682.556,439.71,18,13/2/2016
19,955.1,925.32,841.68,682.604,439.71,19,13/2/2016
20,955.1,925.32,841.658,682.599,439.72,20,13/2/2016
21,955.1,925.32,841.632,682.51,439.72,21,13/2/2016
22,955.09,925.33,841.615,682.408,439.73,22,13/2/2016
23,955.09,925.33,841.632,682.277,439.73,23,13/2/2016
0,955.09,925.33,841.654,682.324,439.73,0,14/2/2016
1,955.09,925.33,841.66,682.328,439.76,1,14/2/2016
2,955.09,925.32,841.695,682.315,439.74,2,14/2/2016
3,955.09,925.32,841.71,682.267,439.75,3,14/2/2016
4,955.09,925.32,841.74,682.221,439.75,4,14/2/2016
5,955.09,925.32,841.76,682.275,439.76,5,14/2/2016
6,955.09,925.33,841.788,682.646,439.77,6,14/2/2016
7,955.09,925.33,841.813,682.613,439.77,7,14/2/2016
8,955.09,925.33,841.837,682.582,439.77,8,14/2/2016
9,955.09,925.33,841.862,682.534,439.77,9,14/2/2016
10,955.09,925.33,841.888,682.554,439.78,10,14/2/2016
11,955.09,925.33,841.911,682.518,439.78,11,14/2/2016
12,955.09,925.33,841.935,682.533,439.78,12,14/2/2016
13,955.09,925.33,841.957,682.531,439.78,13,14/2/2016
14,955.09,925.33,841.976,682.501,439.78,14,14/2/2016
15,955.09,925.33,841.992,682.467,439.78,15,14/2/2016
16,955.09,925.33,842.014,682.406,439.78,16,14/2/2016
17,955.09,925.34,842.033,682.337,439.79,17,14/2/2016
18,955.09,925.34,842.049,682.437,439.79,18,14/2/2016
19,955.09,925.34,842.005,683.012,439.79,19,14/2/2016
20,955.09,925.34,841.95,682.512,439.8,20,14/2/2016
21,955.09,925.34,841.891,682.513,439.8,21,14/2/2016
22,955.09,925.34,841.834,682.58,439.8,22,14/2/2016
23,955.09,925.35,841.851,682.5,439.8,23,14/2/2016
0,955.09,925.35,841.866,682.387,439.81,0,15/2/2016
1,955.09,925.35,841.88,682.238,439.81,1,15/2/2016
2,955.09,925.34,841.899,682.206,439.81,2,15/2/2016
3,955.09,925.33,841.91,682.175,439.81,3,15/2/2016
4,955.09,925.32,841.933,682.284,439.81,4,15/2/2016
5,955.09,925.32,841.95,682.536,439.81,5,15/2/2016
6,955.09,925.32,841.974,682.519,439.81,6,15/2/2016
7,955.09,925.32,841.981,682.459,439.8,7,15/2/2016
8,955.09,925.32,841.997,682.679,439.79,8,15/2/2016
9,955.09,925.32,841.985,682.651,439.79,9,15/2/2016
10,955.09,925.32,841.955,682.659,439.79,10,15/2/2016
11,955.09,925.32,841.912,682.797,439.79,11,15/2/2016
12,955.08,925.33,841.869,682.744,439.79,12,15/2/2016
13,955.08,925.33,841.823,682.87,439.79,13,15/2/2016
14,955.08,925.33,841.778,682.791,439.79,14,15/2/2016
15,955.08,925.33,841.735,682.829,439.79,15,15/2/2016
16,955.08,925.33,841.687,682.853,439.79,16,15/2/2016
17,955.08,925.33,841.639,682.784,439.79,17,15/2/2016
18,955.08,925.33,841.594,682.59,439.79,18,15/2/2016
19,955.08,925.33,841.544,682.731,439.79,19,15/2/2016
20,955.08,925.33,841.496,682.782,439.78,20,15/2/2016
21,955.08,925.33,841.446,682.651,439.78,21,15/2/2016
22,955.08,925.33,841.403,682.814,439.78,22,15/2/2016
23,955.08,925.33,841.42,682.754,439.79,23,15/2/2016
0,955.08,925.34,841.438,682.584,439.79,0,16/2/2016
1,955.08,925.34,841.455,682.38,439.79,1,16/2/2016
2,955.08,925.34,841.471,682.472,439.79,2,16/2/2016
3,955.08,925.34,841.489,682.43,439.8,3,16/2/2016
4,955.08,925.34,841.493,682.431,439.81,4,16/2/2016
5,955.08,925.34,841.522,682.777,439.83,5,16/2/2016
6,955.08,925.34,841.538,682.783,439.83,6,16/2/2016
7,955.08,925.34,841.557,682.784,439.83,7,16/2/2016
8,955.08,925.34,841.573,682.789,439.83,8,16/2/2016
9,955.08,925.34,841.59,682.527,439.83,9,16/2/2016
10,955.08,925.34,841.604,682.593,439.83,10,16/2/2016
11,955.08,925.34,841.615,682.744,439.83,11,16/2/2016
12,955.08,925.34,841.592,682.819,439.83,12,16/2/2016
13,955.07,925.34,841.567,682.706,439.83,13,16/2/2016
14,955.07,925.34,841.541,682.673,439.83,14,16/2/2016
15,955.07,925.34,841.518,682.594,439.83,15,16/2/2016
16,955.07,925.34,841.49,682.483,439.84,16,16/2/2016
17,955.07,925.35,841.463,682.452,439.84,17,16/2/2016
18,955.07,925.35,841.438,682.38,439.84,18,16/2/2016
19,955.07,925.35,841.412,682.669,439.85,19,16/2/2016
20,955.07,925.35,841.386,682.718,439.85,20,16/2/2016
21,955.07,925.35,841.395,682.485,439.85,21,16/2/2016
22,955.07,925.35,841.412,682.614,439.85,22,16/2/2016
23,955.07,925.35,841.428,682.288,439.86,23,16/2/2016
0,955.07,925.35,841.441,681.954,439.86,0,17/2/2016
1,955.07,925.34,841.46,681.686,439.88,1,17/2/2016
2,955.07,925.34,841.471,682.07,439.9,2,17/2/2016
3,955.07,925.33,841.49,682.389,439.91,3,17/2/2016
4,955.07,925.33,841.504,682.586,439.91,4,17/2/2016
5,955.07,925.32,841.516,682.552,439.92,5,17/2/2016
6,955.07,925.32,841.536,682.493,439.93,6,17/2/2016
7,955.06,925.32,841.557,682.323,439,7,17/2/2016
8,955.06,925.32,841.573,682.68,439.94,8,17/2/2016
9,955.06,925.32,841.582,682.71,439.94,9,17/2/2016
10,955.06,925.32,841.599,682.795,439.94,10,17/2/2016
11,955.06,925.32,841.622,682.899,439.94,11,17/2/2016
12,955.05,925.32,841.628,682.904,439.95,12,17/2/2016
13,955.05,925.32,841.628,682.752,439.95,13,17/2/2016
14,955.05,925.32,841.615,682.789,439.95,14,17/2/2016
15,955.05,925.32,841.59,682.804,439.95,15,17/2/2016
16,955.05,925.32,841.567,682.845,439.95,16,17/2/2016
17,955.05,925.32,841.53,682.876,439.95,17,17/2/2016
18,955.05,925.32,841.51,682.621,439.95,18,17/2/2016
19,955.05,925.32,841.48,682.763,439.95,19,17/2/2016
20,955.05,925.32,841.46,682.754,439.95,20,17/2/2016
21,955.05,925.32,841.431,682.747,439.96,21,17/2/2016
22,955.05,925.32,841.443,682.631,439.96,22,17/2/2016
23,955.05,925.33,841.46,682.36,439.96,23,17/2/2016
0,955.05,925.33,841.472,682.131,439.97,0,18/2/2016
1,955.05,925.32,841.489,682.082,439.97,1,18/2/2016
2,955.05,925.31,841.504,682.001,439.97,2,18/2/2016
3,955.05,925.3,841.519,681.921,439.97,3,18/2/2016
4,955.05,925.29,841.534,681.87,439.99,4,18/2/2016
5,955.05,925.29,841.548,681.823,440,5,18/2/2016
6,955.05,925.29,841.567,681.937,440,6,18/2/2016
7,955.05,925.29,841.581,681.979,440,7,18/2/2016
8,955.04,925.29,841.59,682.552,440,8,18/2/2016
9,955.04,925.29,841.616,682.862,440,9,18/2/2016
10,955.04,925.24,841.629,682.73,440,10,18/2/2016
11,955.04,925.29,841.644,682.884,440,11,18/2/2016
12,955.04,925.29,841.661,682.878,440,12,18/2/2016
13,955.04,925.29,841.675,682.572,440,13,18/2/2016
14,955.04,925.3,841.654,682.663,440,14,18/2/2016
15,955.04,925.3,841.631,682.75,440,15,18/2/2016
16,955.04,925.3,841.605,682.809,440,16,18/2/2016
17,955.04,925.3,841.581,682.702,440,17,18/2/2016
18,955.04,925.3,841.565,682.658,440,18,18/2/2016
19,955.04,925.3,841.535,682.535,440,19,18/2/2016
20,955.04,925.3,841.509,682.804,440,20,18/2/2016
21,955.04,925.31,841.481,682.496,440,21,18/2/2016
22,955.03,925.31,841.504,682.481,440,22,18/2/2016
23,955.03,925.31,841.516,682.279,440,23,18/2/2016
0,955.03,925.3,841.533,682.213,440,0,19/2/2016
1,955.03,925.28,841.551,682.151,440,1,19/2/2016
2,955.03,925.27,841.56,682.088,440,2,19/2/2016
3,955.03,925.26,841.58,682.061,440,3,19/2/2016
4,955.03,925.25,841.596,682.042,440,4,19/2/2016
5,955.03,925.24,841.61,682.185,440,5,19/2/2016
6,955.03,925.24,841.631,682.218,440,6,19/2/2016
7,955.03,925.24,841.644,682.167,440,7,19/2/2016
8,955.03,925.24,841.658,682.362,440,8,19/2/2016
9,955.03,925.24,841.674,682.749,440,9,19/2/2016
10,955.03,925.24,841.689,682.783,440,10,19/2/2016
11,955.03,925.24,841.707,682.785,440,11,19/2/2016
12,955.03,925.25,841.424,682.721,440,12,19/2/2016
13,955.03,925.25,841.737,682.792,440,13,19/2/2016
14,955.03,925.25,841.731,682.734,440,14,19/2/2016
15,955.03,925.25,841.707,682.785,440,15,19/2/2016
16,955.03,925.25,841.68,682.76,440,16,19/2/2016
17,955.03,925.25,841.66,682.779,440,17,19/2/2016
18,955.03,825.25,841.638,682.908,440,18,19/2/2016
