,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,954.15,925.23,841.411,683.145,439.79,0,1/4/2015
1,954.15,925.22,841.424,683.145,439.8,1,1/4/2015
2,954.15,925.21,841.438,683.129,439.81,2,1/4/2015
3,954.15,925.2,841.45,683.13,439.81,3,1/4/2015
4,954.15,925.19,841.464,683.13,439.82,4,1/4/2015
5,954.15,925.19,841.477,683.11,439.82,5,1/4/2015
6,954.15,925.19,841.49,683.11,439.83,6,1/4/2015
7,954.15,925.19,841.502,683.161,439.84,7,1/4/2015
8,954.15,925.19,841.516,683.195,439.85,8,1/4/2015
9,954.15,925.19,841.529,683.13,439.86,9,1/4/2015
10,954.15,925.19,841.542,683.162,439.86,10,1/4/2015
11,954.14,925.19,841.556,683.21,439.86,11,1/4/2015
12,954.14,925.19,841.569,683.168,439.87,12,1/4/2015
13,954.14,925.19,841.58,683.2,439.888,13,1/4/2015
14,954.14,925.19,841.553,683.184,439.88,14,1/4/2015
15,954.14,925.19,841.523,683.117,439.88,15,1/4/2015
16,954.14,925.19,841.49,683.15,439.88,16,1/4/2015
17,954.14,925.19,841.46,683.116,439.86,17,1/4/2015
18,954.14,925.19,841.44,683.165,439.84,18,1/4/2015
19,954.14,925.19,841.41,683.15,439.82,19,1/4/2015
20,954.14,925.2,841.38,683.156,439.8,20,1/4/2015
21,954.14,925.2,841.39,683.123,439.81,21,1/4/2015
22,954.14,925.2,841.41,683.152,439.82,22,1/4/2015
23,954.14,925.2,841.42,683.12,439.83,23,1/4/2015
24,954.14,925.2,841.43,683.12,439.84,0,2/4/2015
25,954.14,925.2,841.44,683.137,439.85,1,2/4/2015
26,954.14,925.18,841.45,683.12,439.86,2,2/4/2015
27,954.14,925.17,841.47,683.12,439.86,3,2/4/2015
28,954.14,925.16,841.48,683.12,439.87,4,2/4/2015
29,954.14,925.16,841.49,683.153,439.88,5,2/4/2015
30,954.14,925.16,841.507,683.12,439.89,6,2/4/2015
31,954.14,925.16,841.522,683.152,439.89,7,2/4/2015
32,954.13,925.16,841.535,683.169,439.89,8,2/4/2015
33,954.13,925.16,841.55,683.188,439.89,9,2/4/2015
34,954.13,925.16,841.562,683.188,439.89,10,2/4/2015
35,954.13,925.16,841.574,683.22,439.87,11,2/4/2015
36,954.13,925.16,841.586,683.22,439.87,12,2/4/2015
37,954.13,925.16,841.591,683.204,439.86,13,2/4/2015
