,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,955.94,926.01,841.45,439.83,0,1/1/2015
1,955.94,926,841.47,439.84,1,1/1/2015
2,955.94,925.99,841.49,439.85,2,1/1/2015
3,955.94,925.98,841.53,439.86,3,1/1/2015
4,955.94,925.98,841.563,439.87,4,1/1/2015
5,955.94,925.98,841.57,439.89,5,1/1/2015
6,955.94,925.98,841.6,439.89,6,1/1/2015
7,955.93,925.99,841.623,439.9,7,1/1/2015
8,955.93,925.98,841.648,439.91,8,1/1/2015
9,955.93,925.98,841.677,439.92,9,1/1/2015
10,955.93,925.99,841.704,439.93,10,1/1/2015
11,955.93,925.99,841.727,439.92,11,1/1/2015
12,955.92,926,841.758,439.92,12,1/1/2015
13,955.92,926,841.773,439.91,13,1/1/2015
14,955.92,926,841.802,439.9,14,1/1/2015
15,955.92,926,841.825,439.9,15,1/1/2015
16,955.92,926,841.846,439.9,16,1/1/2015
17,955.92,926.01,841.87,439.89,17,1/1/2015
18,955.92,926.01,841.883,439.89,18,1/1/2015
19,955.92,926.01,841.834,439.88,19,1/1/2015
20,955.92,926.01,841.779,439.86,20,1/1/2015
21,955.92,926.02,841.727,439.86,21,1/1/2015
22,955.92,926.02,841.671,439.86,22,1/1/2015
23,955.92,926.02,841.619,439.86,23,1/1/2015
24,955.92,926.03,841.556,439.87,0,2/1/2015
25,955.92,926.02,841.573,439.89,1,2/1/2015
26,955.92,926.01,841.597,439.89,2,2/1/2015
27,955.92,926,841.63,439.9,3,2/1/2015
28,955.92,926,841.645,439.9,4,2/1/2015
29,955.92,926,841.67,439.92,5,2/1/2015
30,955.92,926,841.7,439.93,6,2/1/2015
31,955.92,926,841.721,439.94,7,2/1/2015
32,955.92,926,841.749,439.94,8,2/1/2015
33,955.92,926.01,841.772,439.95,9,2/1/2015
34,955.92,926.01,841.8,439.94,10,2/1/2015
35,955.92,926.01,841.822,439.93,11,2/1/2015
36,955.92,926.01,841.849,439.92,12,2/1/2015
37,955.92,926.01,841.872,439.9,13,2/1/2015
38,955.91,926.01,841.898,439.89,14,2/1/2015
39,955.91,926.02,841.887,439.87,15,2/1/2015
40,955.91,926.02,841.876,439.87,16,2/1/2015
41,955.91,926.02,841.865,439.83,17,2/1/2015
42,955.91,926.02,841.842,439.82,18,2/1/2015
43,955.91,926.02,841.795,439.81,19,2/1/2015
44,955.91,926.03,841.744,439.8,20,2/1/2015
45,955.91,926.03,841.687,439.79,21,2/1/2015
46,955.91,926.03,841.633,439.8,22,2/1/2015
47,955.91,926.03,841.581,439.8,23,2/1/2015
48,955.91,926.03,841.527,439.82,0,3/1/2015
49,955.91,926.02,841.541,439.83,1,3/1/2015
50,955.91,926.01,841.57,439.84,2,3/1/2015
51,955.91,926,841.603,439.85,3,3/1/2015
52,955.91,925.99,841.628,439.87,4,3/1/2015
53,955.91,925.98,841.661,439.88,5,3/1/2015
54,955.91,925.97,841.69,439.89,6,3/1/2015
55,955.91,925.96,841.721,439.9,7,3/1/2015
56,955.91,925.95,841.75,439.91,8,3/1/2015
57,955.91,925.94,841.779,439.91,9,3/1/2015
58,955.91,925.93,841.813,439.91,10,3/1/2015
59,955.91,925.92,841.843,439.9,11,3/1/2015
60,955.91,925.9,841.875,439.89,12,3/1/2015
61,955.91,925.89,841.912,439.88,13,3/1/2015
62,955.91,925.88,841.923,439.87,14,3/1/2015
63,955.91,925.87,841.922,439.86,15,3/1/2015
64,955.91,925.86,841.92,439.85,16,3/1/2015
65,955.91,925.86,841.92,439.84,17,3/1/2015
66,955.91,925.85,841.92,439.84,18,3/1/2015
67,955.91,925.85,841.89,439.84,19,3/1/2015
68,955.91,925.86,841.87,439.83,20,3/1/2015
69,955.91,925.86,841.88,439.83,21,3/1/2015
70,955.91,925.86,841.92,439.83,22,3/1/2015
71,955.91,925.85,841.95,439.84,23,3/1/2015
72,955.91,925.84,842,439.86,0,4/1/2015
73,955.91,925.83,842.03,439.87,1,4/1/2015
74,955.91,925.82,842.065,439.89,2,4/1/2015
75,955.91,925.81,842.1,439.9,3,4/1/2015
76,955.91,925.79,842.13,439.91,4,4/1/2015
77,955.91,925.78,842.15,439.93,5,4/1/2015
78,955.91,925.77,842.18,439.93,6,4/1/2015
79,955.91,925.76,842.178,439.94,7,4/1/2015
80,955.91,925.75,842.166,439.94,8,4/1/2015
81,955.91,925.74,842.159,439.95,9,4/1/2015
82,955.91,925.73,842.148,439.94,10,4/1/2015
83,955.91,925.72,842.141,439.95,11,4/1/2015
84,955.91,925.71,842.135,439.94,12,4/1/2015
85,955.91,925.7,842.129,439.93,13,4/1/2015
86,955.91,925.69,842.119,439.91,14,4/1/2015
87,955.91,925.69,842.107,439.91,15,4/1/2015
88,955.91,925.68,842.092,439.9,16,4/1/2015
89,955.91,925.68,842.077,439.88,17,4/1/2015
90,955.91,925.67,842.057,439.89,18,4/1/2015
91,955.91,925.67,842.038,439.88,19,4/1/2015
92,955.91,925.67,842.018,439.87,20,4/1/2015
93,955.91,925.67,841.996,439.86,21,4/1/2015
94,955.91,925.67,842,439.86,22,4/1/2015
95,955.91,925.67,842.013,439.87,23,4/1/2015
96,955.91,925.66,842.022,439.88,0,5/1/2015
97,955.91,925.65,842.033,439.89,1,5/1/2015
98,955.91,925.64,842.075,439.9,2,5/1/2015
99,955.91,925.63,842.114,439.92,3,5/1/2015
100,955.91,925.62,842.16,439.92,4,5/1/2015
101,955.91,925.6,842.199,439.93,5,5/1/2015
102,955.91,925.59,842.239,439.94,6,5/1/2015
103,955.91,925.59,842.275,439.95,7,5/1/2015
104,955.91,925.59,842.257,439.95,8,5/1/2015
105,955.91,925.59,842.227,439.96,9,5/1/2015
106,955.91,925.59,842.195,439.95,10,5/1/2015
107,955.91,925.6,842.16,439.94,11,5/1/2015
108,955.91,925.6,842.131,439.93,12,5/1/2015
109,955.91,925.6,842.092,439.92,13,5/1/2015
110,955.91,925.6,842.056,439.91,14,5/1/2015
111,955.91,925.6,842.016,439.88,15,5/1/2015
112,955.9,925.6,841.987,439.86,16,5/1/2015
113,955.9,925.6,841.95,439.86,17,5/1/2015
114,955.9,925.6,841.91,439.84,18,5/1/2015
115,955.9,925.6,841.866,439.83,19,5/1/2015
116,955.9,925.61,841.83,439.82,20,5/1/2015
117,955.9,925.61,841.794,439.82,21,5/1/2015
118,955.9,925.61,841.748,439.82,22,5/1/2015
119,955.9,925.61,841.706,439.81,23,5/1/2015
120,955.89,925.6,841.663,439.82,0,6/1/2015
121,955.89,925.59,841.656,439.84,1,6/1/2015
122,955.89,925.58,841.658,439.86,2,6/1/2015
123,955.89,925.57,841.651,439.87,3,6/1/2015
124,955.89,925.56,841.652,439.88,4,6/1/2015
125,955.89,925.55,841.645,439.9,5,6/1/2015
126,955.89,925.54,841.635,439.92,6,6/1/2015
127,955.89,925.54,841.62,439.93,7,6/1/2015
128,955.89,925.54,841.6,439.92,8,6/1/2015
129,955.89,925.54,841.57,439.92,9,6/1/2015
130,955.59,925.54,841.53,439.92,10,6/1/2015
131,955.89,925.54,841.51,439.91,11,6/1/2015
132,955.89,925.55,841.47,439.9,12,6/1/2015
133,955.89,925.55,841.45,439.89,13,6/1/2015
134,955.59,925.55,841.41,439.87,14,6/1/2015
135,955.89,925.55,841.38,439.85,15,6/1/2015
136,955.88,925.55,841.347,439.84,16,6/1/2015
137,955.88,925.56,841.322,439.83,17,6/1/2015
138,955.88,925.56,841.31,439.83,18,6/1/2015
139,955.88,925.56,841.303,439.83,19,6/1/2015
140,955.88,925.56,841.295,439.82,20,6/1/2015
141,955.88,925.56,841.286,439.81,21,6/1/2015
142,955.88,925.56,841.276,439.82,22,6/1/2015
143,955.88,925.55,841.266,439.82,23,6/1/2015
144,955.88,925.54,841.258,439.83,0,7/1/2015
145,955.88,925.53,841.285,439.84,1,7/1/2015
146,955.88,925.52,841.314,439.85,2,7/1/2015
147,955.88,925.51,841.348,439.85,3,7/1/2015
148,955.88,925.5,841.399,439.85,4,7/1/2015
149,955.88,925.48,841.418,439.87,5,7/1/2015
150,955.88,925.47,841.452,439.87,6,7/1/2015
151,955.88,925.47,841.48,439.87,7,7/1/2015
152,955.88,925.47,841.47,439.88,8,7/1/2015
153,955.88,925.48,841.43,439.88,9,7/1/2015
154,955.88,925.48,841.42,439.88,10,7/1/2015
155,955.88,925.48,841.38,439.88,11,7/1/2015
