,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,952.64,925.11,439.86,0,1/5/2012
1,952.64,925.11,439.86,1,1/5/2012
2,952.64,925.11,439.86,2,1/5/2012
3,952.64,925.11,439.87,3,1/5/2012
4,952.64,925.11,439.88,4,1/5/2012
5,952.64,925.11,439.88,5,1/5/2012
6,952.63,925.12,439.88,6,1/5/2012
7,952.63,925.12,439.87,7,1/5/2012
8,952.63,925.12,439.87,8,1/5/2012
9,952.63,925.12,439.87,9,1/5/2012
10,952.63,925.12,439.87,10,1/5/2012
11,952.63,925.12,439.85,11,1/5/2012
12,952.62,925.12,439.83,12,1/5/2012
13,952.62,925.12,439.82,13,1/5/2012
14,952.62,925.12,439.8,14,1/5/2012
15,952.62,925.12,439.8,15,1/5/2012
16,952.62,925.12,439.79,16,1/5/2012
17,952.61,925.12,439.78,17,1/5/2012
18,952.61,925.12,439.77,18,1/5/2012
19,952.61,925.12,439.75,19,1/5/2012
20,952.61,925.12,439.74,20,1/5/2012
21,952.61,925.12,439.73,21,1/5/2012
22,952.61,925.12,439.73,22,1/5/2012
23,952.61,925.12,439.72,23,1/5/2012
24,952.6,925.13,439.71,0,2/5/2012
25,952.6,925.13,439.71,1,2/5/2012
26,952.6,925.13,439.72,2,2/5/2012
27,952.6,925.13,439.72,3,2/5/2012
28,952.6,925.13,439.75,4,2/5/2012
29,952.6,925.13,439.75,5,2/5/2012
30,952.6,925.13,439.75,6,2/5/2012
31,952.6,925.13,439.75,7,2/5/2012
32,952.59,925.14,439.76,8,2/5/2012
33,952.59,925.14,439.75,9,2/5/2012
34,952.59,925.14,439.74,10,2/5/2012
35,952.59,925.14,439.74,11,2/5/2012
36,952.59,925.14,439.73,12,2/5/2012
37,952.58,925.14,439.73,13,2/5/2012
38,952.58,925.14,439.73,14,2/5/2012
39,952.58,925.14,439.73,15,2/5/2012
40,952.58,925.14,439.73,16,2/5/2012
41,952.58,925.14,439.73,17,2/5/2012
42,952.58,925.14,439.73,18,2/5/2012
43,952.58,925.14,439.73,19,2/5/2012
44,952.57,925.14,439.73,20,2/5/2012
45,952.57,925.14,439.73,21,2/5/2012
46,952.57,925.14,439.73,22,2/5/2012
47,952.57,925.14,439.73,23,2/5/2012
48,952.57,925.14,439.73,0,3/5/2012
