,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,955.0,927.84,439.85,0,1/1/2012
1,955.0,927.84,439.85,1,1/1/2012
2,955.0,927.84,439.85,2,1/1/2012
3,955.0,927.83,439.85,3,1/1/2012
4,955.0,927.82,439.87,4,1/1/2012
5,955.0,927.81,439.88,5,1/1/2012
6,955.0,927.81,439.89,6,1/1/2012
7,955.0,927.8,439.92,7,1/1/2012
8,955.0,927.8,439.93,8,1/1/2012
9,955.0,927.8,439.94,9,1/1/2012
10,954.99,927.81,439.95,10,1/1/2012
11,954.99,927.81,439.95,11,1/1/2012
12,954.99,927.81,439.93,12,1/1/2012
13,954.99,927.81,439.92,13,1/1/2012
14,954.99,927.82,439.91,14,1/1/2012
15,954.99,927.82,439.91,15,1/1/2012
16,954.99,927.82,439.89,16,1/1/2012
17,954.99,927.83,439.87,17,1/1/2012
18,954.99,927.83,439.88,18,1/1/2012
19,954.99,927.84,439.87,19,1/1/2012
20,954.99,927.84,439.86,20,1/1/2012
21,954.98,927.84,439.84,21,1/1/2012
22,954.98,927.84,439.84,22,1/1/2012
23,954.98,927.85,439.85,23,1/1/2012
24,954.98,927.85,439.86,0,2/1/2012
25,954.98,927.85,439.86,1,2/1/2012
26,954.98,927.85,439.86,2,2/1/2012
27,954.98,927.84,439.87,3,2/1/2012
28,954.98,927.83,439.88,4,2/1/2012
29,954.98,927.83,439.9,5,2/1/2012
30,954.98,927.83,439.92,6,2/1/2012
31,954.98,927.83,439.93,7,2/1/2012
32,954.98,927.83,439.94,8,2/1/2012
33,954.98,927.84,439.95,9,2/1/2012
34,954.98,927.84,439.95,10,2/1/2012
35,954.98,927.84,439.94,11,2/1/2012
36,954.98,927.85,439.93,12,2/1/2012
37,954.98,927.85,439.92,13,2/1/2012
38,954.98,927.85,439.91,14,2/1/2012
39,954.98,927.85,439.9,15,2/1/2012
40,954.98,927.85,439.9,16,2/1/2012
41,954.98,927.85,439.9,17,2/1/2012
42,954.98,927.85,439.88,18,2/1/2012
43,954.98,927.85,439.88,19,2/1/2012
44,954.98,927.85,439.86,20,2/1/2012
45,954.98,927.85,439.85,21,2/1/2012
46,954.98,927.869,439.84,22,2/1/2012
47,954.98,927.86,439.84,23,2/1/2012
48,954.98,927.86,439.82,0,3/1/2012
49,954.98,927.86,439.83,1,3/1/2012
50,954.98,927.85,439.84,2,3/1/2012
51,954.98,927.84,439.85,3,3/1/2012
52,954.98,927.83,439.86,4,3/1/2012
53,954.98,927.82,439.86,5,3/1/2012
54,954.98,927.8,439.88,6,3/1/2012
55,954.98,927.8,439.89,7,3/1/2012
56,954.98,927.81,439.9,8,3/1/2012
57,954.97,927.82,439.91,9,3/1/2012
58,954.97,927.82,439.9,10,3/1/2012
59,954.97,927.82,439.89,11,3/1/2012
60,954.97,927.82,439.87,12,3/1/2012
61,954.97,927.82,439.87,13,3/1/2012
