,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,953.39,925.29,841.689,682.794,439.6,0,1/9/2015
1,953.39,925.28,841.712,682.915,439.6,1,1/9/2015
2,953.39,925.27,841.735,682.682,439.6,2,1/9/2015
3,953.39,925.26,841.76,682.646,439.6,3,1/9/2015
4,953.39,925.25,841.782,682.781,439.6,4,1/9/2015
5,953.39,925.24,841.806,682.882,439.61,5,1/9/2015
6,953.39,925.23,841.83,682.719,439.61,6,1/9/2015
7,953.39,925.23,841.852,682.773,439.61,7,1/9/2015
8,953.39,925.23,841.876,682.825,439.62,8,1/9/2015
9,953.39,925.23,841.866,682.789,439.62,9,1/9/2015
10,953.39,925.23,841.853,682.738,439.62,10,1/9/2015
11,953.39,925.23,841.837,682.739,439.62,11,1/9/2015
12,953.39,925.23,841.823,682.702,439.62,12,1/9/2015
13,953.39,925.23,841.808,682.666,439.62,13,1/9/2015
14,953.39,925.23,841.794,682.831,439.62,14,1/9/2015
15,953.39,925.23,841.779,682.719,439.62,15,1/9/2015
16,953.39,925.24,841.762,682.769,439.62,16,1/9/2015
17,953.39,925.26,841.75,682.786,439.62,17,1/9/2015
18,953.41,925.28,841.739,682.918,439.62,18,1/9/2015
19,953.42,925.3,841.729,682.705,439.62,19,1/9/2015
20,953.43,925.31,841.727,682.711,439.61,20,1/9/2015
21,953.43,925.33,841.725,682.652,439.61,21,1/9/2015
22,953.43,925.34,841.714,682.62,439.61,22,1/9/2015
23,953.43,925.34,841.707,682.571,439.62,23,1/9/2015
24,953.43,925.34,841.697,682.521,439.62,0,2/9/2015
25,953.43,925.34,841.687,682.486,439.62,1,2/9/2015
26,953.43,925.33,841.677,682.606,439.62,2,2/9/2015
27,953.43,925.32,841.665,682.565,439.62,3,2/9/2015
28,953.43,925.31,841.687,682.876,439.62,4,2/9/2015
29,953.43,925.3,841.714,682.812,439.62,5,2/9/2015
30,953.43,925.29,841.741,682.701,439.62,6,2/9/2015
31,953.43,925.29,841.76,682.73,439.62,7,2/9/2015
32,953.43,925.29,841.784,682.71,439.62,8,2/9/2015
33,953.43,925.29,841.771,682.238,439.62,9,2/9/2015
34,953.43,925.29,841.755,681.475,439.62,10,2/9/2015
35,953.43,925.3,841.743,680.423,439.62,11,2/9/2015
36,953.43,925.3,841.729,681.052,439.61,12,2/9/2015
37,953.43,925.3,841.725,681.738,439.61,13,2/9/2015
38,953.43,925.31,841.713,682.418,439.6,14,2/9/2015
39,953.43,925.31,841.706,682.642,439.6,15,2/9/2015
40,953.43,925.31,841.7,682.636,439.6,16,2/9/2015
41,953.43,925.32,841.697,682.68,439.6,17,2/9/2015
42,953.43,925.32,841.692,682.748,439.6,18,2/9/2015
43,953.43,925.32,841.69,682.727,439.59,19,2/9/2015
44,953.42,925.32,841.69,682.705,439.59,20,2/9/2015
45,953.42,925.33,841.68,682.767,439.59,21,2/9/2015
46,953.42,925.33,841.68,682.779,439.59,22,2/9/2015
47,953.42,925.33,841.671,682.781,439.59,23,2/9/2015
48,953.42,925.33,841.662,682.685,439.6,0,3/9/2015
49,953.42,925.32,841.654,682.676,439.6,1,3/9/2015
50,953.42,925.31,841.644,682.629,439.6,2,3/9/2015
51,953.42,925.31,841.662,682.677,439.61,3,3/9/2015
52,953.42,925.31,841.691,682.717,439.61,4,3/9/2015
53,953.42,925.3,841.72,682.788,439.61,5,3/9/2015
54,953.42,925.3,841.749,682.742,439.61,6,3/9/2015
55,953.42,925.3,841.778,682.732,439.61,7,3/9/2015
56,953.42,925.3,841.802,682.682,439.61,8,3/9/2015
57,953.42,925.3,841.793,682.77,439.61,9,3/9/2015
58,953.42,925.31,841.781,682.705,439.61,10,3/9/2015
59,953.41,925.31,841.771,682.689,439.61,11,3/9/2015
60,953.41,925.31,841.61,682.674,439.6,12,3/9/2015
61,953.42,925.31,841.753,682.599,439.6,13,3/9/2015
62,953.42,925.31,841.741,682.545,439.6,14,3/9/2015
63,953.42,925.31,841.729,682.466,439.59,15,3/9/2015
64,953.42,925.31,841.718,682.4,439.59,16,3/9/2015
65,953.42,925.31,841.706,682.512,439.59,17,3/9/2015
66,953.42,925.31,841.692,682.68,439.59,18,3/9/2015
67,953.42,925.31,841.681,682.791,439.59,19,3/9/2015
68,953.42,925.32,841.671,682.741,439.59,20,3/9/2015
69,953.42,925.32,841.66,682.809,439.59,21,3/9/2015
70,953.42,925.32,841.648,682.763,439.59,22,3/9/2015
