,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,955.98,928.16,842.46,439.77,0,1/12/2013
1,955.98,928.15,842.43,439.77,1,1/12/2013
2,955.98,928.14,842.41,439.78,2,1/12/2013
3,955.98,928.13,842.39,439.79,3,1/12/2013
4,955.98,928.12,842.36,439.8,4,1/12/2013
5,955.98,928.12,842.34,439.8,5,1/12/2013
6,955.98,928.11,842.31,439.8,6,1/12/2013
7,955.98,928.11,842.29,439.81,7,1/12/2013
8,955.98,928.1,842.26,439.81,8,1/12/2013
9,955.98,928.09,842.25,439.81,9,1/12/2013
10,955.98,928.08,842.21,439.81,10,1/12/2013
11,955.98,928.07,842.2,439.8,11,1/12/2013
12,955.98,928.05,842.18,439.79,12,1/12/2013
13,955.98,928.04,842.18,439.78,13,1/12/2013
14,955.98,928.03,842.18,439.77,14,1/12/2013
15,955.98,928.03,842.08,439.76,15,1/12/2013
16,955.98,928.02,842.06,439.76,16,1/12/2013
17,955.98,928,842.03,439.76,17,1/12/2013
18,955.98,927.99,842,439.77,18,1/12/2013
19,955.98,928,842,439.77,19,1/12/2013
20,955.98,928,841.99,439.77,20,1/12/2013
21,955.98,928,841.97,439.77,21,1/12/2013
22,955.98,928,841.96,439.76,22,1/12/2013
23,955.98,928,841.95,439.76,23,1/12/2013
24,955.98,927.99,841.94,439.76,0,2/12/2013
25,955.98,927.98,841.93,439.77,1,2/12/2013
26,955.98,927.97,841.92,439.77,2,2/12/2013
27,955.98,927.96,841.91,439.78,3,2/12/2013
28,955.98,927.95,841.9,439.79,4,2/12/2013
29,955.98,927.94,841.89,439.8,5,2/12/2013
30,955.98,927.94,841.87,439.81,6,2/12/2013
31,955.98,927.94,841.85,439.81,7,2/12/2013
32,955.98,927.94,841.84,439.81,8,2/12/2013
33,955.98,927.94,841.82,439.8,9,2/12/2013
34,955.97,927.94,841.81,439.79,10,2/12/2013
35,955.97,927.94,841.08,439.78,11,2/12/2013
36,955.97,927.95,841.79,439.7,12,2/12/2013
37,955.97,927.95,841.78,439.77,13,2/12/2013
38,955.97,927.95,841.76,439.76,14,2/12/2013
39,955.97,927.95,841.75,439.75,15,2/12/2013
40,955.97,927.96,841.73,439.73,16,2/12/2013
41,955.97,927.96,841.7,439.73,17,2/12/2013
42,955.97,927.96,841.69,439.72,18,2/12/2013
43,955.97,927.96,841.68,439.72,19,2/12/2013
44,955.97,927.96,841.66,439.72,20,2/12/2013
45,955.97,927.96,841.64,439.72,21,2/12/2013
46,955.97,927.96,841.63,439.72,22,2/12/2013
47,955.97,927.96,841.61,439.72,23,2/12/2013
48,955.97,927.95,841.59,439.72,0,3/12/2013
49,955.97,927.94,841.57,439.72,1,3/12/2013
50,955.97,927.93,841.55,439.72,2,3/12/2013
51,955.97,927.92,841.52,439.73,3,3/12/2013
52,955.97,927.91,841.54,439.74,4,3/12/2013
53,955.97,927.91,841.49,439.75,5,3/12/2013
54,955.97,927.91,841.49,439.75,6,3/12/2013
55,955.97,927.91,841.51,439.76,7,3/12/2013
56,955.97,927.91,841.51,439.76,8,3/12/2013
57,955.97,927.91,841.53,439.75,9,3/12/2013
58,955.97,927.91,841.53,439.74,10,3/12/2013
59,955.97,927.91,841.54,439.73,11,3/12/2013
60,955.96,927.92,841.55,439.71,12,3/12/2013
61,955.96,927.92,841.55,439.71,13,3/12/2013
62,955.96,927.93,841.55,439.7,14,3/12/2013
63,955.96,927.93,841.55,439.69,15,3/12/2013
64,955.96,927.94,841.55,439.68,16,3/12/2013
65,955.96,927.95,841.55,439.68,17,3/12/2013
66,955.96,927.95,841.55,439.68,18,3/12/2013
67,955.96,927.95,841.55,439.69,19,3/12/2013
68,955.96,927.95,841.55,439.7,20,3/12/2013
69,955.96,927.95,841.55,439.7,21,3/12/2013
70,955.96,927.95,841.57,439.7,22,3/12/2013
71,955.96,927.95,841.57,439.72,23,3/12/2013
72,955.95,927.94,841.57,439.73,0,4/12/2013
73,955.95,927.93,841.57,439.74,1,4/12/2013
74,955.95,927.92,841.57,439.75,2,4/12/2013
75,955.95,927.91,841.57,439.77,3,4/12/2013
76,955.95,927.9,841.57,439.79,4,4/12/2013
77,955.95,927.89,841.57,439.81,5,4/12/2013
78,955.95,927.89,841.57,439.82,6,4/12/2013
79,955.95,927.9,841.58,439.83,7,4/12/2013
80,955.95,927.9,841.58,439.83,8,4/12/2013
81,955.95,927.9,841.58,439.83,9,4/12/2013
82,955.95,927.9,841.58,439.82,10,4/12/2013
83,955.95,927.9,841.58,439.8,11,4/12/2013
84,955.94,927.91,841.58,439.8,12,4/12/2013
85,955.94,927.91,841.58,439.8,13,4/12/2013
86,955.94,927.91,841.58,439.79,14,4/12/2013
87,955.94,927.91,841.58,439.78,15,4/12/2013
88,955.94,927.91,841.58,439.77,16,4/12/2013
89,955.93,927.92,841.58,439.76,17,4/12/2013
90,955.93,927.92,841.58,439.75,18,4/12/2013
91,955.93,927.92,841.58,439.75,19,4/12/2013
92,955.93,927.92,841.58,439.75,20,4/12/2013
93,955.93,927.92,841.58,439.75,21,4/12/2013
94,955.93,927.92,841.58,439.75,22,4/12/2013
95,955.93,927.92,841.58,439.75,23,4/12/2013
96,955.93,927.92,841.58,439.75,0,5/12/2013
97,955.93,927.91,841.58,439.76,1,5/12/2013
98,955.93,927.9,841.58,439.76,2,5/12/2013
99,955.93,927.89,841.58,439.77,3,5/12/2013
100,955.93,927.88,841.58,439.8,4,5/12/2013
101,955.93,927.88,841.58,439.8,5,5/12/2013
102,955.93,927.88,841.58,439.8,6,5/12/2013
103,955.93,927.88,841.56,439.81,7,5/12/2013
104,955.93,927.88,841.56,439.79,8,5/12/2013
105,955.92,927.88,841.56,439.79,9,5/12/2013
106,955.92,927.88,841.56,439.78,10,5/12/2013
107,955.92,927.88,841.56,439.77,11,5/12/2013
108,955.92,927.89,841.56,439.77,12,5/12/2013
109,955.92,927.89,841.56,439.74,13,5/12/2013
110,955.92,927.89,841.55,439.72,14,5/12/2013
111,955.92,927.89,841.55,439.72,15,5/12/2013
112,955.92,927.89,841.55,439.72,16,5/12/2013
113,955.91,927.9,841.55,439.72,17,5/12/2013
