,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,954.21,926.22,841.434,439.48,0,1/10/2014
1,954.21,926.21,841.464,439.48,1,1/10/2014
2,954.21,926.2,841.489,439.48,2,1/10/2014
3,954.21,926.19,841.527,439.48,3,1/10/2014
4,954.21,926.18,841.557,439.48,4,1/10/2014
5,954.21,926.17,841.59,439.49,5,1/10/2014
6,954.21,926.16,841.625,439.49,6,1/10/2014
7,954.21,926.16,841.654,439.49,7,1/10/2014
8,954.2,926.16,841.655,439.5,8,1/10/2014
9,954.21,926.17,841.648,439.5,9,1/10/2014
10,954.21,926.17,841.639,439.5,10,1/10/2014
11,954.21,926.17,841.632,439.49,11,1/10/2014
12,954.21,926.18,841.622,439.48,12,1/10/2014
13,954.21,926.18,841.614,439.46,13,1/10/2014
14,954.21,926.18,841.602,439.44,14,1/10/2014
15,954.21,926.19,841.59,439.42,15,1/10/2014
16,954.21,926.19,841.58,439.41,16,1/10/2014
17,954.21,926.19,841.57,439.4,17,1/10/2014
18,954.21,926.2,841.56,439.4,18,1/10/2014
19,954.21,926.2,841.55,439.4,19,1/10/2014
20,954.21,926.2,841.54,439.39,20,1/10/2014
21,954.21,926.21,841.53,439.39,21,1/10/2014
22,954.21,926.21,841.52,439.39,22,1/10/2014
23,954.21,926.21,841.51,439.4,23,1/10/2014
24,954.21,926.22,841.5,439.4,0,2/10/2014
25,954.21,926.21,841.53,439.41,1,2/10/2014
26,954.21,926.2,841.56,439.41,2,2/10/2014
27,954.21,926.19,841.59,439.41,3,2/10/2014
28,954.21,926.18,841.61,439.41,4,2/10/2014
29,954.21,926.17,841.65,439.41,5,2/10/2014
30,954.21,926.16,841.67,439.41,6,2/10/2014
31,954.21,926.16,841.69,439.41,7,2/10/2014
32,954.21,926.16,841.69,439.43,8,2/10/2014
33,954.21,926.16,841.68,439.44,9,2/10/2014
34,954.21,926.16,841.67,439.44,10,2/10/2014
35,954.21,926.16,841.66,439.45,11,2/10/2014
36,954.21,926.16,841.65,439.44,12,2/10/2014
37,954.21,926.18,841.65,439.43,13,2/10/2014
38,954.21,926.18,841.64,439.43,14,2/10/2014
39,954.21,926.19,841.62,439.43,15,2/10/2014
40,954.21,926.19,841.61,439.41,16,2/10/2014
41,954.21,926.19,841.6,439.41,17,2/10/2014
42,954.21,926.19,841.59,439.41,18,2/10/2014
43,954.21,926.19,841.57,439.41,19,2/10/2014
44,954.21,926.19,841.56,439.4,20,2/10/2014
45,954.21,926.19,841.55,439.4,21,2/10/2014
46,954.21,926.19,841.539,439.4,22,2/10/2014
47,954.21,926.19,841.524,439.39,23,2/10/2014
48,954.21,926.2,841.516,439.4,0,3/10/2014
49,954.21,926.19,841.538,439.4,1,3/10/2014
50,954.21,926.18,841.56,439.4,2,3/10/2014
51,954.21,926.17,841.59,439.4,3,3/10/2014
52,954.21,926.16,841.61,439.4,4,3/10/2014
53,954.21,926.15,841.64,439.4,5,3/10/2014
54,954.21,926.15,841.675,439.41,6,3/10/2014
55,954.21,926.15,841.69,439.41,7,3/10/2014
56,954.21,926.15,841.68,439.41,8,3/10/2014
57,954.21,926.15,841.67,439.42,9,3/10/2014
58,954.21,926.15,841.66,439.4,10,3/10/2014
59,954.21,926.15,841.64,439.41,11,3/10/2014
60,954.21,926.16,841.63,439.4,12,3/10/2014
61,954.21,926.16,841.62,439.4,13,3/10/2014
62,954.21,926.16,841.61,439.4,14,3/10/2014
63,954.21,926.16,841.597,439.39,15,3/10/2014
64,954.21,926.16,841.582,439.39,16,3/10/2014
65,954.21,926.17,841.571,439.38,17,3/10/2014
66,954.21,926.17,841.556,439.38,18,3/10/2014
67,954.21,926.17,841.539,439.37,19,3/10/2014
68,954.21,926.17,841.427,439.35,20,3/10/2014
69,954.21,926.17,841.511,439.35,21,3/10/2014
70,954.21,926.17,841.498,439.35,22,3/10/2014
71,954.21,926.17,841.484,439.35,23,3/10/2014
72,954.22,926.17,841.47,439.35,0,4/10/2014
73,954.22,926.17,841.49,439.35,1,4/10/2014
74,954.22,926.16,841.52,439.35,2,4/10/2014
75,954.22,926.15,841.57,439.35,3,4/10/2014
76,954.22,926.14,841.57,439.35,4,4/10/2014
77,954.22,926.14,841.6,439.35,5,4/10/2014
78,954.22,926.13,841.63,439.34,6,4/10/2014
79,954.22,926.13,841.65,439.34,7,4/10/2014
80,954.22,926.12,841.68,439.34,8,4/10/2014
81,954.22,926.1,841.67,439.34,9,4/10/2014
82,954.22,926.1,841.66,439.34,10,4/10/2014
83,954.22,926.1,841.65,439.34,11,4/10/2014
84,954.22,926.08,841.64,439.34,12,4/10/2014
85,954.22,926.06,841.62,439.34,13,4/10/2014
86,954.22,926.05,841.61,439.34,14,4/10/2014
87,954.22,926.04,841.59,439.34,15,4/10/2014
88,954.22,926.03,841.57,439.34,16,4/10/2014
89,954.22,926.02,841.57,439.34,17,4/10/2014
90,954.22,926.02,841.55,439.34,18,4/10/2014
91,954.22,926.02,841.54,439.35,19,4/10/2014
92,954.22,926.02,841.53,439.35,20,4/10/2014
93,954.23,926.02,841.51,439.35,21,4/10/2014
94,954.23,926.02,841.5,439.35,22,4/10/2014
