,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,953.58,926.93,841.62,439.75,0,1/9/2013
1,953.58,926.93,841.6,439.76,1,1/9/2013
2,953.58,926.93,841.61,439.76,2,1/9/2013
3,953.59,926.92,841.61,439.77,3,1/9/2013
4,953.59,926.92,841.61,439.77,4,1/9/2013
5,953.59,926.91,841.62,439.78,5,1/9/2013
6,953.59,926.9,841.61,439.78,6,1/9/2013
7,953.59,926.89,841.62,439.79,7,1/9/2013
8,953.59,926.89,841.62,439.79,8,1/9/2013
9,953.58,926.87,841.62,439.8,9,1/9/2013
10,953.58,926.86,841.62,439.8,10,1/9/2013
11,953.58,926.85,841.62,439.81,11,1/9/2013
12,953.59,926.84,841.63,439.81,12,1/9/2013
13,953.59,926.83,841.3,439.81,13,1/9/2013
14,953.59,926.81,841.63,439.81,14,1/9/2013
15,953.59,926.8,841.63,439.82,15,1/9/2013
16,953.59,926.78,841.63,439.82,16,1/9/2013
17,953.59,926.77,841.63,439.82,17,1/9/2013
18,953.59,926.77,841.64,439.82,18,1/9/2013
19,953.59,926.77,841.68,439.81,19,1/9/2013
20,953.59,926.77,841.7,439.8,20,1/9/2013
21,953.59,926.77,841.7,439.78,21,1/9/2013
22,953.59,926.77,841.72,439.78,22,1/9/2013
23,953.59,926.77,841.72,439.79,23,1/9/2013
24,953.59,926.76,841.72,439.79,0,2/9/2013
25,953.59,926.75,841.72,439.83,1,2/9/2013
26,953.59,926.74,841.72,439.84,2,2/9/2013
27,953.59,926.73,841.72,439.85,3,2/9/2013
28,953.59,926.72,841.71,439.87,4,2/9/2013
29,953.59,926.71,841.72,439.88,5,2/9/2013
30,953.59,926.7,841.74,439.9,6,2/9/2013
31,953.59,926.7,841.78,439.9,7,2/9/2013
32,953.59,926.7,841.83,439.91,8,2/9/2013
33,953.59,926.7,841.83,439.9,9,2/9/2013
34,953.59,926.7,841.83,439.88,10,2/9/2013
35,953.59,926.7,841.83,439.87,11,2/9/2013
36,953.59,926.72,841.83,439.85,12,2/9/2013
37,953.59,926.72,841.82,439.85,13,2/9/2013
38,953.59,926.72,841.81,439.83,14,2/9/2013
39,953.59,926.74,841.81,439.82,15,2/9/2013
40,953.59,926.74,841.81,439.82,16,2/9/2013
41,953.59,926.75,841.91,439.82,17,2/9/2013
42,953.59,926.75,841.91,439.82,18,2/9/2013
43,953.59,926.75,841.95,439.82,19,2/9/2013
44,953.59,926.76,841.99,439.81,20,2/9/2013
45,953.59,926.76,842.02,439.81,21,2/9/2013
46,953.59,926.76,842.07,439.81,22,2/9/2013
47,953.59,926.76,842.12,439.81,23,2/9/2013
48,953.59,926.75,842.15,439.82,0,3/9/2013
49,953.59,926.75,842.17,439.83,1,3/9/2013
50,953.59,926.74,842.19,439.84,2,3/9/2013
51,953.59,926.73,842.2,439.84,3,3/9/2013
52,953.59,926.72,842.22,439.85,4,3/9/2013
53,953.59,926.71,842.22,439.85,5,3/9/2013
54,953.59,926.7,842.23,439.86,6,3/9/2013
55,953.59,926.7,842.24,439.86,7,3/9/2013
56,953.59,926.7,842.22,439.87,8,3/9/2013
57,953.59,926.71,842.23,439.87,9,3/9/2013
58,953.59,926.71,842.23,439.88,10,3/9/2013
59,953.59,926.71,842.23,439.88,11,3/9/2013
60,953.59,926.73,842.23,439.87,12,3/9/2013
61,953.59,926.73,842.22,439.88,13,3/9/2013
