,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,952.52,927.01,439.96,0,1/6/2013
1,952.52,927.01,439.94,1,1/6/2013
2,952.52,927.01,439.93,2,1/6/2013
3,952.52,927.02,439.91,3,1/6/2013
4,952.52,927.03,439.9,4,1/6/2013
5,952.52,927.04,439.89,5,1/6/2013
6,952.52,927.07,439.88,6,1/6/2013
7,952.52,927.07,439.87,7,1/6/2013
8,952.52,927.07,439.87,8,1/6/2013
9,952.52,927.07,439.87,9,1/6/2013
10,952.52,927.07,439.86,10,1/6/2013
11,952.52,927.08,439.86,11,1/6/2013
12,952.52,927.08,439.85,12,1/6/2013
13,952.52,927.08,439.84,13,1/6/2013
14,952.52,927.08,439.84,14,1/6/2013
15,952.52,927.08,439.84,15,1/6/2013
16,952.52,927.09,439.84,16,1/6/2013
17,952.52,927.09,439.85,17,1/6/2013
18,952.52,927.09,439.85,18,1/6/2013
19,952.52,927.09,439.85,19,1/6/2013
20,952.52,927.09,439.85,20,1/6/2013
21,952.52,927.09,439.85,21,1/6/2013
22,952.52,927.09,439.85,22,1/6/2013
23,952.52,927.1,439.85,23,1/6/2013
24,952.52,927.1,439.85,0,2/6/2013
25,952.52,927.1,439.85,1,2/6/2013
26,952.52,927.1,439.85,2,2/6/2013
27,952.52,927.1,439.85,3,2/6/2013
28,952.52,927.1,439.85,4,2/6/2013
29,952.52,927.1,439.84,5,2/6/2013
30,952.52,927.11,439.84,6,2/6/2013
31,952.51,927.11,439.84,7,2/6/2013
32,952.51,927.11,439.84,8,2/6/2013
33,952.51,927.11,439.84,9,2/6/2013
34,952.51,927.11,439.84,10,2/6/2013
35,952.51,927.11,439.83,11,2/6/2013
36,952.51,927.11,439.82,12,2/6/2013
37,952.51,927.11,439.82,13,2/6/2013
38,952.51,927.11,439.81,14,2/6/2013
39,952.5,927.12,439.83,15,2/6/2013
40,952.5,927.12,439.84,16,2/6/2013
41,952.5,927.13,439.85,17,2/6/2013
42,952.5,927.13,439.85,18,2/6/2013
43,952.5,927.13,439.84,19,2/6/2013
44,952.5,927.13,439.83,20,2/6/2013
45,952.5,927.13,439.82,21,2/6/2013
46,952.5,927.13,439.82,22,2/6/2013
47,952.5,927.13,439.81,23,2/6/2013
48,952.5,927.13,439.81,0,3/6/2013
49,952.5,927.13,439.81,1,3/6/2013
50,952.5,927.13,439.81,2,3/6/2013
51,952.5,927.13,439.81,3,3/6/2013
52,952.5,927.13,439.81,4,3/6/2013
53,952.5,927.13,439.82,5,3/6/2013
54,952.49,927.14,439.82,6,3/6/2013
55,952.49,927.14,439.82,7,3/6/2013
56,952.49,927.14,439.82,8,3/6/2013
57,952.49,927.14,439.82,9,3/6/2013
58,952.49,927.14,439.82,10,3/6/2013
59,952.49,927.14,439.83,11,3/6/2013
60,952.49,927.14,439.83,12,3/6/2013
61,952.49,927.14,439.83,13,3/6/2013
62,952.49,927.14,439.82,14,3/6/2013
63,952.48,927.15,439.81,15,3/6/2013
64,952.48,927.15,439.8,16,3/6/2013
65,952.48,927.15,439.79,17,3/6/2013
66,952.48,927.15,439.8,18,3/6/2013
67,952.48,927.15,439.82,19,3/6/2013
68,952.48,927.15,439.82,20,3/6/2013
69,952.48,927.15,439.81,21,3/6/2013
70,952.47,927.15,439.81,22,3/6/2013
71,952.47,927.15,439.81,23,3/6/2013
72,952.47,927.15,439.81,0,4/6/2013
73,952.46,927.15,439.811,1,4/6/2013
74,952.46,927.15,439.811,2,4/6/2013
75,952.46,927.15,439.81,3,4/6/2013
76,952.46,927.15,439.82,4,4/6/2013
77,952.46,927.15,439.83,5,4/6/2013
