,HORA,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,Date
0,954.86,925.21,841.57,682.431,439.84,0,1/3/2016
1,954.86,925.2,841.587,682.079,439.84,1,1/3/2016
2,954.86,925.19,841.6,682.033,439.84,2,1/3/2016
3,954.86,925.18,841.62,681.985,439.84,3,1/3/2016
4,954.86,925.17,841.638,681.99,439.84,4,1/3/2016
5,954.86,925.17,841.654,682.32,439.84,5,1/3/2016
6,954.86,925.17,841.669,682.541,439.84,6,1/3/2016
7,954.86,925.17,841.687,682.23,439.84,7,1/3/2016
8,954.86,925.17,841.703,682.072,439.84,8,1/3/2016
9,954.86,925.17,841.721,682.392,439.85,9,1/3/2016
10,954.86,925.17,841.737,682.579,439.85,10,1/3/2016
11,954.86,925.17,841.754,682.569,439.86,11,1/3/2016
12,954.86,925.17,841.739,682.722,439.86,12,1/3/2016
13,954.86,925.17,841.715,682.81,439.85,13,1/3/2016
14,954.86,925.17,841.691,682.885,439.85,14,1/3/2016
15,954.86,925.17,841.669,682.735,439.84,15,1/3/2016
16,954.86,925.18,841.645,682.579,439.83,16,1/3/2016
17,954.86,925.18,841.62,682.571,439.83,17,1/3/2016
18,954.85,925.18,841.597,682.329,439.82,18,1/3/2016
19,954.85,925.18,841.571,682.507,439.81,19,1/3/2016
20,954.85,925.18,841.544,682.497,439.81,20,1/3/2016
21,954.85,925.18,841.556,682.482,439.81,21,1/3/2016
22,954.85,925.18,841.57,682.175,439.82,22,1/3/2016
23,954.85,925.18,841.586,681.695,439.82,23,1/3/2016
0,954.85,925.18,841.602,681.667,439.82,0,2/3/2016
1,954.85,925.17,841.618,681.598,439.82,1,2/3/2016
2,954.85,925.16,841.635,681.553,439.82,2,2/3/2016
3,954.85,925.15,841.65,681.582,439.82,3,2/3/2016
4,954.85,925.14,841.67,681.724,439.84,4,2/3/2016
5,954.85,925.14,841.68,681.871,439.85,5,2/3/2016
6,954.85,925.14,841.707,682.265,439.85,6,2/3/2016
7,954.85,925.14,841.729,682.115,439.85,7,2/3/2016
8,954.85,925.14,841.75,682.464,439.86,8,2/3/2016
9,954.85,925.14,841.772,682.567,439.86,9,2/3/2016
10,954.84,925.14,841.794,682.497,439.86,10,2/3/2016
11,954.84,925.14,841.808,682.705,439.87,11,2/3/2016
12,954.84,925.14,841.794,682.763,439.87,12,2/3/2016
13,954.84,925.15,841.773,682.729,439.87,13,2/3/2016
14,954.84,925.15,841.76,682.798,439.85,14,2/3/2016
15,954.84,925.15,841.771,682.955,439.85,15,2/3/2016
16,954.84,925.15,841.794,682.834,439.85,16,2/3/2016
17,954.84,925.15,841.802,682.834,439.85,17,2/3/2016
18,954.84,925.15,841.783,682.731,439.85,18,2/3/2016
19,954.84,925.15,841.762,682.833,439.85,19,2/3/2016
20,954.84,925.15,841.739,682.732,439.84,20,2/3/2016
21,954.84,925.15,841.714,682.561,439.83,21,2/3/2016
22,954.83,925.15,841.691,682.684,439.83,22,2/3/2016
23,954.83,925.15,841.704,682.636,439.83,23,2/3/2016
0,954.83,925.15,841.724,682.64,439.83,0,3/3/2016
1,954.83,925.13,841.739,682.279,439.83,1,3/3/2016
2,954.83,925.12,841.754,682.262,439.83,2,3/3/2016
3,954.83,925.11,841.769,682.303,439.84,3,3/3/2016
4,954.83,925.11,841.785,682.414,439.84,4,3/3/2016
5,954.83,925.11,841.8,682.5,439.85,5,3/3/2016
6,954.83,925.11,841.816,682.683,439.85,6,3/3/2016
7,954.83,925.11,841.831,682.64,439.85,7,3/3/2016
8,954.83,925.11,841.845,682.524,439.86,8,3/3/2016
9,954.83,925.11,841.86,682.643,439.86,9,3/3/2016
10,954.83,925.11,841.872,682.842,439.86,10,3/3/2016
11,954.83,925.13,841.852,682.833,439.86,11,3/3/2016
12,954.83,925.13,841.828,682.823,439.85,12,3/3/2016
13,954.83,925.13,841.806,682.827,439.85,13,3/3/2016
14,954.82,925.13,841.781,682.831,439.85,14,3/3/2016
15,954.82,925.13,841.758,682.885,439.84,15,3/3/2016
16,954.82,925.13,841.732,682.82,439.83,16,3/3/2016
17,954.82,925.13,841.706,682.906,439.82,17,3/3/2016
