,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,954.91,926.17,439.91,0,1/1/2013
1,954.91,926.17,439.91,1,1/1/2013
2,954.91,926.17,439.91,2,1/1/2013
3,954.91,926.18,439.91,3,1/1/2013
4,954.91,926.18,439.91,4,1/1/2013
5,954.91,926.19,439.91,5,1/1/2013
6,954.91,926.21,439.92,6,1/1/2013
7,954.91,926.21,439.93,7,1/1/2013
8,954.91,926.22,439.94,8,1/1/2013
9,954.91,926.22,439.94,9,1/1/2013
10,954.91,926.23,439.94,10,1/1/2013
11,954.91,926.23,439.94,11,1/1/2013
12,954.91,926.23,439.94,12,1/1/2013
13,954.91,926.24,439.94,13,1/1/2013
14,954.91,926.25,439.93,14,1/1/2013
15,954.91,926.26,439.93,15,1/1/2013
16,954.91,926.27,439.93,16,1/1/2013
17,954.91,926.28,439.95,17,1/1/2013
18,954.91,926.29,439.95,18,1/1/2013
19,954.91,926.3,439.94,19,1/1/2013
20,954.91,926.31,439.94,20,1/1/2013
21,954.91,926.32,439.92,21,1/1/2013
22,954.91,926.32,439.91,22,1/1/2013
23,954.91,926.34,439.91,23,1/1/2013
24,954.91,926.35,439.92,0,2/1/2013
25,954.91,926.35,439.92,1,2/1/2013
26,954.91,926.35,439.92,2,2/1/2013
27,954.91,926.35,439.93,3,2/1/2013
28,954.91,926.36,439.94,4,2/1/2013
29,954.91,926.36,439.94,5,2/1/2013
30,954.91,926.37,439.94,6,2/1/2013
31,954.91,926.37,439.94,7,2/1/2013
32,954.91,926.37,439.94,8,2/1/2013
33,954.91,926.37,439.94,9,2/1/2013
34,954.91,926.37,439.93,10,2/1/2013
35,954.91,926.38,439.92,11,2/1/2013
36,954.91,926.39,439.91,12,2/1/2013
37,954.91,926.39,439.91,13,2/1/2013
38,954.91,926.39,439.91,14,2/1/2013
39,954.91,926.39,439.91,15,2/1/2013
40,954.91,926.39,439.91,16,2/1/2013
41,954.91,926.4,439.91,17,2/1/2013
42,954.91,926.4,439.91,18,2/1/2013
43,954.91,926.4,439.9,19,2/1/2013
44,954.91,926.41,439.89,20,2/1/2013
45,954.91,926.41,439.87,21,2/1/2013
46,954.91,926.41,439.87,22,2/1/2013
47,954.91,926.42,439.87,23,2/1/2013
48,954.91,926.42,439.87,0,3/1/2013
49,954.91,926.42,439.87,1,3/1/2013
50,954.91,926.42,439.88,2,3/1/2013
51,954.91,926.43,439.89,3,3/1/2013
52,954.91,926.43,439.91,4,3/1/2013
53,954.91,926.43,439.91,5,3/1/2013
54,954.91,926.44,439.93,6,3/1/2013
55,954.91,926.44,439.93,7,3/1/2013
56,954.91,926.44,439.93,8,3/1/2013
57,954.91,926.44,439.94,9,3/1/2013
58,954.91,926.44,439.94,10,3/1/2013
59,954.91,926.45,439.93,11,3/1/2013
60,954.91,926.46,439.92,12,3/1/2013
61,954.91,926.46,439.9,13,3/1/2013
62,954.91,926.46,439.88,14,3/1/2013
63,954.91,926.46,439.86,15,3/1/2013
64,954.91,926.46,439.84,16,3/1/2013
65,954.91,926.47,439.85,17,3/1/2013
66,954.91,926.47,439.85,18,3/1/2013
67,954.91,926.47,439.83,19,3/1/2013
68,954.91,926.47,439.81,20,3/1/2013
69,954.91,926.48,439.8,21,3/1/2013
70,954.91,926.48,439.79,22,3/1/2013
71,954.91,926.48,439.8,23,3/1/2013
72,954.91,926.48,439.8,0,4/1/2013
73,954.91,926.48,439.8,1,4/1/2013
74,954.91,926.48,439.8,2,4/1/2013
75,954.91,926.48,439.8,3,4/1/2013
76,954.91,926.48,439.8,4,4/1/2013
77,954.91,926.48,439.8,5,4/1/2013
78,954.91,926.49,439.8,6,4/1/2013
79,954.91,926.49,439.8,7,4/1/2013
80,954.91,926.49,439.8,8,4/1/2013
81,954.91,926.5,439.8,9,4/1/2013
82,954.91,926.5,439.79,10,4/1/2013
83,954.91,926.5,439.79,11,4/1/2013
84,954.91,926.5,439.78,12,4/1/2013
85,954.91,926.5,439.77,13,4/1/2013
86,954.91,926.5,439.76,14,4/1/2013
87,954.91,926.51,439.75,15,4/1/2013
88,954.91,926.51,439.75,16,4/1/2013
89,954.91,926.52,439.75,17,4/1/2013
90,954.91,926.52,439.76,18,4/1/2013
91,954.91,926.53,439.74,19,4/1/2013
92,954.91,926.53,439.73,20,4/1/2013
93,954.91,926.54,439.72,21,4/1/2013
94,954.91,926.54,439.71,22,4/1/2013
95,954.91,926.54,439.71,23,4/1/2013
96,954.91,926.54,439.72,0,5/1/2013
97,954.91,926.55,439.72,1,5/1/2013
98,954.91,926.55,439.72,2,5/1/2013
99,954.91,926.56,439.73,3,5/1/2013
100,954.91,926.56,439.74,4,5/1/2013
101,954.91,926.56,439.75,5,5/1/2013
102,954.91,926.57,439.76,6,5/1/2013
103,954.91,926.57,439.76,7,5/1/2013
104,954.91,926.57,439.78,8,5/1/2013
105,954.9,926.58,439.79,9,5/1/2013
106,954.9,926.58,439.79,10,5/1/2013
107,954.9,926.58,439.79,11,5/1/2013
108,954.9,926.59,439.79,12,5/1/2013
109,954.9,926.59,439.79,13,5/1/2013
110,954.9,926.59,439.78,14,5/1/2013
111,954.9,926.59,439.78,15,5/1/2013
112,954.9,926.6,439.76,16,5/1/2013
113,954.9,926.6,439.76,17,5/1/2013
114,954.9,926.6,439.77,18,5/1/2013
115,954.9,926.61,439.76,19,5/1/2013
116,954.9,926.61,439.73,20,5/1/2013
117,954.9,926.61,439.72,21,5/1/2013
118,954.9,926.61,439.73,22,5/1/2013
119,954.9,926.62,439.73,23,5/1/2013
120,954.9,926.62,439.74,0,6/1/2013
121,954.9,926.63,439.74,1,6/1/2013
122,954.9,926.63,439.75,2,6/1/2013
123,954.9,926.63,439.75,3,6/1/2013
124,954.9,926.63,439.75,4,6/1/2013
125,954.9,926.64,439.75,5,6/1/2013
126,954.9,926.65,439.75,6,6/1/2013
127,954.9,926.65,439.75,7,6/1/2013
128,954.9,926.65,439.75,8,6/1/2013
129,954.9,926.65,439.76,9,6/1/2013
130,954.9,926.65,439.76,10,6/1/2013
131,954.9,926.65,439.77,11,6/1/2013
132,954.9,926.66,439.78,12,6/1/2013
133,954.9,926.66,439.79,13,6/1/2013
134,954.9,926.66,439.79,14,6/1/2013
135,954.9,926.66,439.79,15,6/1/2013
136,954.9,926.66,439.79,16,6/1/2013
137,954.9,926.67,439.79,17,6/1/2013
138,954.9,926.67,439.79,18,6/1/2013
139,954.9,926.67,439.78,19,6/1/2013
140,954.9,926.67,439.77,20,6/1/2013
141,954.9,926.68,439.75,21,6/1/2013
142,954.9,926.68,439.75,22,6/1/2013
143,954.9,926.68,439.76,23,6/1/2013
144,954.9,926.69,439.76,0,7/1/2013
145,954.9,926.69,439.77,1,7/1/2013
146,954.9,926.7,439.77,2,7/1/2013
147,954.9,926.7,439.78,3,7/1/2013
148,954.9,926.71,439.78,4,7/1/2013
149,954.9,926.72,439.78,5,7/1/2013
150,954.9,926.72,439.78,6,7/1/2013
151,954.9,926.73,439.78,7,7/1/2013
152,954.9,926.73,439.78,8,7/1/2013
153,954.9,926.74,439.78,9,7/1/2013
154,954.9,926.74,439.78,10,7/1/2013
155,954.9,926.74,439.77,11,7/1/2013
156,954.9,926.74,439.77,12,7/1/2013
157,954.9,926.74,439.75,13,7/1/2013
158,954.9,926.75,439.75,14,7/1/2013
159,954.9,926.76,439.75,15,7/1/2013
160,954.9,926.77,439.75,16,7/1/2013
161,954.9,926.77,439.75,17,7/1/2013
162,954.9,926.77,439.75,18,7/1/2013
163,954.9,926.8,439.75,19,7/1/2013
164,954.9,926.8,439.76,20,7/1/2013
165,954.9,926.8,439.77,21,7/1/2013
166,954.9,926.81,439.77,22,7/1/2013
167,954.9,926.81,439.77,23,7/1/2013
168,954.9,926.82,439.78,0,8/1/2013
169,954.9,926.83,439.79,1,8/1/2013
170,954.9,926.84,439.8,2,8/1/2013
171,954.9,926.85,439.82,3,8/1/2013
172,954.9,926.85,439.83,4,8/1/2013
173,954.9,926.86,439.84,5,8/1/2013
174,954.9,926.87,439.86,6,8/1/2013
175,954.9,926.88,439.86,7,8/1/2013
176,954.9,926.89,439.86,8,8/1/2013
177,954.9,926.9,439.86,9,8/1/2013
178,954.9,926.91,439.86,10,8/1/2013
179,954.9,926.92,439.85,11,8/1/2013
180,954.9,926.93,439.83,12,8/1/2013
181,954.9,926.94,439.81,13,8/1/2013
182,954.9,926.95,439.79,14,8/1/2013
183,954.9,926.95,439.77,15,8/1/2013
184,954.9,926.96,439.76,16,8/1/2013
185,954.9,926.97,439.75,17,8/1/2013
186,954.9,926.98,439.74,18,8/1/2013
187,954.9,926.99,439.74,19,8/1/2013
188,954.9,927.0,439.73,20,8/1/2013
189,954.9,927.0,439.73,21,8/1/2013
190,954.9,927.01,439.73,22,8/1/2013
191,954.9,927.02,439.75,23,8/1/2013
192,954.9,927.03,439.77,0,9/1/2013
193,954.9,927.04,439.79,1,9/1/2013
194,954.9,927.05,439.8,2,9/1/2013
195,954.9,927.05,439.82,3,9/1/2013
196,954.9,927.05,439.83,4,9/1/2013
197,954.9,927.05,439.84,5,9/1/2013
198,954.9,927.06,439.85,6,9/1/2013
199,954.9,927.06,439.86,7,9/1/2013
200,954.9,927.07,439.86,8,9/1/2013
201,954.9,927.08,439.86,9,9/1/2013
202,954.9,927.09,439.86,10,9/1/2013
203,954.9,927.09,439.85,11,9/1/2013
204,954.9,927.1,439.83,12,9/1/2013
205,954.9,927.1,439.81,13,9/1/2013
206,954.9,927.1,439.8,14,9/1/2013
207,954.9,927.11,439.78,15,9/1/2013
208,954.9,927.11,439.76,16,9/1/2013
209,954.9,927.13,439.75,17,9/1/2013
210,954.9,927.14,439.76,18,9/1/2013
211,954.9,927.15,439.75,19,9/1/2013
212,954.9,927.15,439.73,20,9/1/2013
213,954.9,927.16,439.73,21,9/1/2013
214,954.9,927.16,439.73,22,9/1/2013
215,954.9,927.17,439.76,23,9/1/2013
216,954.9,927.18,439.79,0,10/1/2013
217,954.9,927.19,439.81,1,10/1/2013
218,954.9,927.2,439.82,2,10/1/2013
219,954.9,927.21,439.83,3,10/1/2013
220,954.9,927.22,439.84,4,10/1/2013
221,954.9,927.23,439.85,5,10/1/2013
222,954.9,927.23,439.87,6,10/1/2013
223,954.9,927.24,439.88,7,10/1/2013
224,954.9,927.24,439.89,8,10/1/2013
225,954.9,927.24,439.89,9,10/1/2013
226,954.9,927.25,439.89,10,10/1/2013
227,954.9,927.25,439.9,11,10/1/2013
228,954.9,927.25,439.9,12,10/1/2013
229,954.9,927.25,439.89,13,10/1/2013
230,954.9,927.26,439.89,14,10/1/2013
231,954.9,927.27,439.88,15,10/1/2013
232,954.9,927.28,439.85,16,10/1/2013
233,954.9,927.29,439.84,17,10/1/2013
234,954.9,927.3,439.84,18,10/1/2013
235,954.9,927.31,439.83,19,10/1/2013
236,954.9,927.31,439.82,20,10/1/2013
237,954.9,927.32,439.81,21,10/1/2013
238,954.9,927.33,439.82,22,10/1/2013
239,954.9,927.33,439.83,23,10/1/2013
240,954.9,927.34,439.85,0,11/1/2013
241,954.9,927.34,439.86,1,11/1/2013
242,954.9,927.34,439.87,2,11/1/2013
243,954.9,927.34,439.88,3,11/1/2013
244,954.9,927.34,439.89,4,11/1/2013
245,954.9,927.34,439.9,5,11/1/2013
246,954.9,927.34,439.911,6,11/1/2013
247,954.9,927.34,439.92,7,11/1/2013
248,954.9,927.36,439.93,8,11/1/2013
249,954.9,927.37,439.93,9,11/1/2013
250,954.9,927.38,439.92,10,11/1/2013
251,954.9,927.39,439.92,11,11/1/2013
252,954.9,927.4,439.93,12,11/1/2013
253,954.9,927.41,439.92,13,11/1/2013
254,954.9,927.42,439.93,14,11/1/2013
255,954.9,927.43,439.93,15,11/1/2013
256,954.9,927.44,439.94,16,11/1/2013
257,954.91,927.45,439.94,17,11/1/2013
258,954.91,927.46,439.95,18,11/1/2013
259,954.91,927.46,439.94,19,11/1/2013
260,954.91,927.47,439.93,20,11/1/2013
261,954.91,927.47,439.91,21,11/1/2013
262,954.91,927.48,439.91,22,11/1/2013
263,954.91,927.49,439.92,23,11/1/2013
264,954.91,927.49,439.92,0,12/1/2013
265,954.91,927.49,439.93,1,12/1/2013
266,954.91,927.49,439.94,2,12/1/2013
267,954.91,927.5,439.95,3,12/1/2013
268,954.91,927.5,439.95,4,12/1/2013
269,954.91,927.5,439.95,5,12/1/2013
270,954.91,927.51,439.95,6,12/1/2013
271,954.91,927.52,439.96,7,12/1/2013
272,954.91,927.52,439.96,8,12/1/2013
273,954.91,927.53,439.97,9,12/1/2013
274,954.91,927.54,439.96,10,12/1/2013
275,954.91,927.55,439.96,11,12/1/2013
276,954.92,927.56,439.94,12,12/1/2013
277,954.92,927.58,439.93,13,12/1/2013
278,954.92,927.6,439.93,14,12/1/2013
279,954.92,927.62,439.93,15,12/1/2013
280,954.93,927.63,439.92,16,12/1/2013
281,954.93,927.64,439.92,17,12/1/2013
282,954.93,927.65,439.91,18,12/1/2013
283,954.93,927.65,439.91,19,12/1/2013
284,954.93,927.66,439.89,20,12/1/2013
285,954.93,927.66,439.88,21,12/1/2013
286,954.93,927.67,439.87,22,12/1/2013
287,954.93,927.67,439.87,23,12/1/2013
