,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,953.31,926.35,840.8,439.91,0,1/5/2014
1,953.31,926.34,840.81,439.91,1,1/5/2014
2,953.31,926.33,840.82,439.91,2,1/5/2014
3,953.31,926.32,840.83,439.91,3,1/5/2014
4,953.31,926.31,840.84,439.91,4,1/5/2014
5,953.31,926.3,840.85,439.91,5,1/5/2014
6,953.31,926.29,840.86,439.91,6,1/5/2014
7,953.31,926.29,840.87,439.91,7,1/5/2014
8,953.31,926.29,840.88,439.91,8,1/5/2014
9,953.31,926.29,840.89,439.91,9,1/5/2014
10,953.31,926.29,840.9,439.91,10,1/5/2014
11,953.31,926.29,840.91,439.91,11,1/5/2014
12,953.3,926.29,840.92,439.91,12,1/5/2014
13,953.3,926.29,840.94,439.91,13,1/5/2014
14,953.3,926.29,840.94,439.91,14,1/5/2014
15,953.3,926.29,840.94,439.91,15,1/5/2014
16,953.3,926.29,840.96,439.91,16,1/5/2014
17,953.3,926.29,840.97,439.91,17,1/5/2014
18,953.3,926.29,840.98,439.91,18,1/5/2014
19,953.3,926.29,840.99,439.91,19,1/5/2014
20,953.3,926.29,841,439.91,20,1/5/2014
21,953.3,926.29,841,439.91,21,1/5/2014
22,953.3,926.29,841.01,439.91,22,1/5/2014
23,953.3,926.29,841.02,439.91,23,1/5/2014
0,953.3,926.29,841.03,439.91,0,2/5/2014
1,953.3,926.29,841.04,439.91,1,2/5/2014
2,953.3,926.28,841.05,439.91,2,2/5/2014
3,953.3,926.27,841.05,439.91,3,2/5/2014
4,953.3,926.26,841.06,439.91,4,2/5/2014
5,953.3,926.25,841.07,439.91,5,2/5/2014
6,953.3,926.24,841.08,439.91,6,2/5/2014
7,953.29,926.24,841.08,439.91,7,2/5/2014
8,953.29,926.24,841.09,439.91,8,2/5/2014
9,953.29,926.24,841.1,439.91,9,2/5/2014
10,953.29,926.24,841.11,439.91,10,2/5/2014
11,953.29,926.24,841.12,439.91,11,2/5/2014
12,953.28,926.24,841.13,439.91,12,2/5/2014
13,953.28,926.24,841.14,439.91,13,2/5/2014
14,953.28,926.24,841.14,439.91,14,2/5/2014
15,953.28,926.24,841.15,439.91,15,2/5/2014
16,953.28,926.24,841.16,439.91,16,2/5/2014
17,953.27,926.24,841.17,439.91,17,2/5/2014
18,953.27,926.24,841.18,439.91,18,2/5/2014
19,953.27,926.24,841.19,439.91,19,2/5/2014
20,953.27,926.24,841.2,439.91,20,2/5/2014
21,953.27,926.24,841.21,439.91,21,2/5/2014
22,953.27,926.24,841.22,439.91,22,2/5/2014
23,953.27,926.24,841.23,439.91,23,2/5/2014
0,953.27,926.24,841.23,439.91,0,3/5/2014
1,953.27,926.24,841.24,439.91,1,3/5/2014
2,953.27,926.23,841.25,439.91,2,3/5/2014
3,953.27,926.22,841.26,439.91,3,3/5/2014
4,953.27,926.21,841.27,439.91,4,3/5/2014
5,953.27,926.2,841.27,439.91,5,3/5/2014
6,953.27,926.19,841.28,439.91,6,3/5/2014
7,953.27,926.18,841.29,439.91,7,3/5/2014
8,953.27,926.18,841.3,439.91,8,3/5/2014
9,953.27,926.18,841.31,439.91,9,3/5/2014
10,953.27,926.18,841.32,439.91,10,3/5/2014
11,953.27,926.18,841.32,439.91,11,3/5/2014
12,953.27,926.18,841.33,439.91,12,3/5/2014
13,953.27,926.18,841.34,439.91,13,3/5/2014
