,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,955.56,926.53,841.725,681.797,439.9,0,1/12/2015
1,955.56,926.51,841.739,681.799,439.9,1,1/12/2015
2,955.56,926.5,841.756,681.804,439.9,2,1/12/2015
3,955.56,926.49,841.8,681.814,439.9,3,1/12/2015
4,955.56,926.48,841.84,681.803,439.9,4,1/12/2015
5,955.56,926.47,841.845,681.803,439.9,5,1/12/2015
6,955.57,926.45,841.851,681.819,439.9,6,1/12/2015
7,955.57,926.44,841.857,681.808,439.9,7,1/12/2015
8,955.57,926.44,841.86,681.816,439.9,8,1/12/2015
9,955.57,926.44,841.866,681.823,439.9,9,1/12/2015
10,955.57,926.45,841.871,681.857,439.9,10,1/12/2015
11,955.57,926.45,841.876,682.402,439.89,11,1/12/2015
12,955.57,926.45,841.878,682.783,439.89,12,1/12/2015
13,955.57,926.46,841.882,682.439,439.89,13,1/12/2015
14,955.57,926.46,841.872,682.286,439.89,14,1/12/2015
15,955.57,926.46,841.853,682.816,439.88,15,1/12/2015
16,955.57,926.46,841.835,682.867,439.87,16,1/12/2015
17,955.57,926.47,841.818,682.815,439.86,17,1/12/2015
18,955.57,926.47,841.799,682.972,439.86,18,1/12/2015
19,955.57,926.47,841.778,682.807,439.85,19,1/12/2015
20,955.57,926.47,841.759,682.665,439.84,20,1/12/2015
21,955.57,926.47,841.739,682.494,439.84,21,1/12/2015
22,955.57,926.47,841.719,682.3,439.84,22,1/12/2015
23,955.57,926.47,841.692,681.941,439.84,23,1/12/2015
24,955.57,926.47,841.669,681.826,439.84,0,2/12/2015
25,955.57,926.47,841.638,681.836,439.84,1,2/12/2015
26,955.57,926.46,841.611,681.836,439.84,2,2/12/2015
27,955.57,926.45,841.581,681.838,439.84,3,2/12/2015
28,955.57,926.44,841.586,682.254,439.84,4,2/12/2015
29,955.57,926.44,841.588,682.324,439.84,5,2/12/2015
30,955.57,926.44,841.59,682.324,439.84,6,2/12/2015
31,955.57,926.44,841.594,682.325,439.84,7,2/12/2015
32,955.57,926.44,841.596,682.328,439.85,8,2/12/2015
33,955.57,926.45,841.599,682.464,439.85,9,2/12/2015
34,955.57,926.45,841.602,682.809,439.86,10,2/12/2015
35,955.57,926.45,841.603,682.852,439.86,11,2/12/2015
36,955.57,926.45,841.604,682.639,439.86,12,2/12/2015
37,955.57,926.45,841.608,682.64,439.86,13,2/12/2015
38,955.57,926.45,841.609,682.888,439.86,14,2/12/2015
39,955.57,926.45,841.61,682.813,439.86,15,2/12/2015
40,955.57,926.45,841.61,682.822,439.85,16,2/12/2015
41,955.58,926.45,841.614,682.766,439.85,17,2/12/2015
42,955.58,926.46,841.615,682.873,439.84,18,2/12/2015
43,955.58,926.46,841.645,682.841,439.83,19,2/12/2015
44,955.58,926.46,841.616,682.563,439.82,20,2/12/2015
45,955.58,926.46,841.616,682.132,439.82,21,2/12/2015
46,955.58,926.46,841.616,681.81,439.81,22,2/12/2015
47,955.58,926.46,841.617,681.806,439.81,23,2/12/2015
48,955.58,926.46,841.617,681.806,439.81,0,3/12/2015
49,955.58,926.45,841.619,681.808,439.81,1,3/12/2015
50,955.58,926.44,841.596,681.894,439.81,2,3/12/2015
51,955.58,926.43,841.596,681.894,439.81,3,3/12/2015
52,955.58,926.42,841.597,682.109,439.81,4,3/12/2015
53,955.58,926.41,841.597,682.094,439.81,5,3/12/2015
54,955.58,926.41,841.597,682.25,439.81,6,3/12/2015
55,955.58,926.41,841.597,682.269,439.82,7,3/12/2015
56,955.58,926.41,841.597,682.342,439.82,8,3/12/2015
57,955.58,926.42,841.597,682.81,439.83,9,3/12/2015
58,955.58,926.42,841.597,682.848,439.84,10,3/12/2015
59,955.58,926.42,841.596,682.719,439.85,11,3/12/2015
60,955.58,926.42,841.596,682.77,439.87,12,3/12/2015
61,955.58,926.42,841.596,682.704,439.89,13,3/12/2015
62,955.58,926.42,841.596,682.609,439.9,14,3/12/2015
63,955.58,926.42,841.592,682.58,439.9,15,3/12/2015
64,955.58,926.42,841.592,682.483,439.89,16,3/12/2015
65,955.58,926.42,841.591,682.403,439.88,17,3/12/2015
66,955.58,926.43,841.588,682.848,439.87,18,3/12/2015
67,955.58,926.43,841.586,682.782,439.86,19,3/12/2015
68,955.58,926.43,841.582,682.714,439.85,20,3/12/2015
69,955.58,926.43,841.58,682.753,439.85,21,3/12/2015
70,955.58,926.43,841.579,682.255,439.85,22,3/12/2015
71,955.58,926.43,841.575,681.864,439.85,23,3/12/2015
72,955.58,926.43,841.575,681.806,439.86,0,4/12/2015
73,955.58,926.43,841.573,681.806,439.86,1,4/12/2015
74,955.58,926.43,841.571,681.805,439.86,2,4/12/2015
75,955.58,926.44,841.568,681.807,439.86,3,4/12/2015
76,955.58,926.43,841.567,681.813,439.86,4,4/12/2015
77,955.58,926.42,841.565,681.813,439.86,5,4/12/2015
78,955.58,926.41,841.564,681.817,439.87,6,4/12/2015
79,955.58,926.41,841.562,681.817,439.87,7,4/12/2015
80,955.58,926.41,841.558,681.816,439.89,8,4/12/2015
81,955.58,926.41,841.557,682.14,439.89,9,4/12/2015
82,955.58,926.41,841.556,682.551,439.89,10,4/12/2015
83,955.58,926.42,841.553,682.894,439.9,11,4/12/2015
84,955.58,926.42,841.55,682.585,439.9,12,4/12/2015
85,955.58,926.42,841.545,682.773,439.91,13,4/12/2015
86,955.58,926.42,841.54,682.646,439.91,14,4/12/2015
87,955.58,926.42,841.536,682.562,439.91,15,4/12/2015
88,955.58,926.43,841.534,682.481,439.91,16,4/12/2015
