,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
117,925.53,841.47,439.7,954.79,21,5/3/2015
118,925.53,841.49,439.71,954.79,22,5/3/2015
119,925.53,841.51,439.72,954.79,23,5/3/2015
120,925.53,841.53,439.73,954.79,0,6/3/2015
121,925.53,841.55,439.74,954.79,1,6/3/2015
122,925.52,841.58,439.75,954.79,2,6/3/2015
123,925.52,841.6,439.77,954.79,3,6/3/2015
124,925.52,841.63,439.78,954.79,4,6/3/2015
125,925.53,841.65,439.79,954.79,5,6/3/2015
126,925.53,841.68,439.79,954.79,6,6/3/2015
127,925.53,841.71,439.8,954.79,7,6/3/2015
128,925.53,841.74,439.81,954.79,8,6/3/2015
129,925.53,841.77,439.82,954.79,9,6/3/2015
130,925.53,841.78,439.83,954.79,10,6/3/2015
131,925.53,841.77,439.83,954.79,11,6/3/2015
132,925.54,841.76,439.83,954.78,12,6/3/2015
133,925.54,841.75,439.84,954.78,13,6/3/2015
134,925.54,841.72,439.84,954.78,14,6/3/2015
135,925.54,841.7,439.85,954.78,15,6/3/2015
136,925.54,841.696,439.86,954.78,16,6/3/2015
137,925.54,841.671,439.86,954.77,17,6/3/2015
138,925.54,841.65,439.87,954.77,18,6/3/2015
139,925.54,841.63,439.88,954.77,19,6/3/2015
140,925.55,841.61,439.89,954.76,20,6/3/2015
141,925.55,841.597,439.9,954.76,21,6/3/2015
142,925.55,841.582,439.91,954.76,22,6/3/2015
143,925.55,841.57,439.92,954.76,23,6/3/2015
144,925.55,841.567,439.93,954.76,0,7/3/2015
145,925.54,841.61,439.94,954.76,1,7/3/2015
146,925.53,841.674,439.95,954.76,2,7/3/2015
147,925.52,841.71,439.95,954.76,3,7/3/2015
148,925.52,841.775,439.95,954.76,4,7/3/2015
149,925.53,841.788,439.97,954.76,5,7/3/2015
150,925.53,841.82,439.98,954.76,6,7/3/2015
151,925.53,841.849,439.99,954.76,7,7/3/2015
152,925.53,841.87,439.99,954.76,8,7/3/2015
153,925.53,841.899,439.99,954.75,9,7/3/2015
154,925.53,841.891,439.99,954.75,10,7/3/2015
155,925.53,841.876,439.97,954.75,11,7/3/2015
156,925.54,841.858,439.95,954.74,12,7/3/2015
157,925.54,841.84,439.94,954.74,13,7/3/2015
158,925.54,841.83,439.95,954.74,14,7/3/2015
159,925.54,841.808,439.95,954.74,15,7/3/2015
160,925.54,841.791,439.95,954.74,16,7/3/2015
161,925.55,841.77,439.96,954.74,17,7/3/2015
162,925.55,841.76,439.96,954.74,18,7/3/2015
163,925.55,841.74,439.97,954.74,19,7/3/2015
164,925.55,841.72,439.97,954.74,20,7/3/2015
165,925.55,841.7,439.98,954.74,21,7/3/2015
166,925.56,841.69,439.98,954.74,22,7/3/2015
167,925.56,841.68,439.98,954.74,23,7/3/2015
168,925.56,841.66,439.96,954.74,0,8/3/2015
169,925.55,841.68,439.95,954.74,1,8/3/2015
170,925.55,841.7,439.95,954.74,2,8/3/2015
171,925.55,841.74,439.94,954.74,3,8/3/2015
172,925.55,841.75,439.93,954.74,4,8/3/2015
173,925.55,841.77,439.93,954.74,5,8/3/2015
174,925.55,841.8,439.94,954.74,6,8/3/2015
175,925.15,841.82,439.95,954.74,7,8/3/2015
176,925.55,841.84,439.96,954.74,8,8/3/2015
177,925.55,841.87,439.95,954.74,9,8/3/2015
178,925.55,841.88,439.93,954.74,10,8/3/2015
179,925.55,841.7,439.93,954.74,11,8/3/2015
180,925.55,841.85,439.91,954.74,12,8/3/2015
181,925.55,841.84,439.9,954.74,13,8/3/2015
182,925.55,841.82,439.89,954.73,14,8/3/2015
183,925.55,841.8,439.9,954.73,15,8/3/2015
184,925.56,841.78,439.91,954.72,16,8/3/2015
185,925.56,841.76,439.91,954.72,17,8/3/2015
186,925.56,841.75,439.91,954.72,18,8/3/2015
187,925.56,841.73,439.93,954.72,19,8/3/2015
188,925.56,841.71,439.94,954.72,20,8/3/2015
189,925.57,841.69,439.95,954.72,21,8/3/2015
190,925.57,841.67,439.96,954.72,22,8/3/2015
191,925.57,841.65,439.97,954.72,23,8/3/2015
192,925.57,841.63,439.98,954.72,0,9/3/2015
193,925.57,841.65,439.98,954.72,1,9/3/2015
194,925.57,841.67,439.99,954.72,2,9/3/2015
195,925.56,841.68,439.99,954.72,3,9/3/2015
196,925.56,841.72,439.99,954.72,4,9/3/2015
197,925.56,841.75,439.98,954.72,5,9/3/2015
198,925.56,841.77,439.97,954.72,6,9/3/2015
199,925.56,841.793,439.96,954.72,7,9/3/2015
200,925.56,841.813,439.95,954.72,8,9/3/2015
201,925.56,841.829,439.93,954.71,9,9/3/2015
202,925.56,841.82,439.93,954.71,10,9/3/2015
203,925.56,841.805,439.89,954.71,11,9/3/2015
204,925.57,841.784,439.88,954.71,12,9/3/2015
205,925.57,841.765,439.87,954.7,13,9/3/2015
206,925.57,841.749,439.86,954.7,14,9/3/2015
207,925.57,841.724,439.87,954.7,15,9/3/2015
208,925.57,841.706,439.88,954.7,16,9/3/2015
209,925.57,841.68,439.88,954.7,17,9/3/2015
210,925.57,841.66,439.9,954.7,18,9/3/2015
211,925.57,841.64,439.9,954.7,19,9/3/2015
212,925.58,841.62,439.91,954.7,20,9/3/2015
213,925.58,841.6,439.91,954.7,21,9/3/2015
214,925.58,841.58,439.93,954.7,22,9/3/2015
215,925.58,841.58,439.94,954.7,23,9/3/2015
216,925.58,841.55,439.95,954.7,0,10/3/2015
217,925.58,841.58,439.95,954.7,1,10/3/2015
218,925.58,841.59,439.95,954.7,2,10/3/2015
219,925.58,841.61,439.96,954.7,3,10/3/2015
220,925.57,841.61,439.97,954.7,4,10/3/2015
221,925.57,841.65,439.98,954.7,5,10/3/2015
222,925.57,841.67,439.98,954.7,6,10/3/2015
223,925.57,841.68,439.98,954.7,7,10/3/2015
224,925.57,841.706,439.96,954.7,8,10/3/2015
225,925.57,841.726,439.95,954.69,9,10/3/2015
226,925.57,841.743,439.79,954.69,10,10/3/2015
227,925.57,841.725,439.76,954.69,11,10/3/2015
228,925.57,841.698,439.75,954.69,12,10/3/2015
229,925.57,841.68,439.77,954.69,13,10/3/2015
230,925.57,841.661,439.77,954.69,14,10/3/2015
231,925.57,841.637,439.77,954.68,15,10/3/2015
232,925.57,841.615,439.77,954.68,16,10/3/2015
233,925.57,841.594,439.78,954.68,17,10/3/2015
234,925.58,841.573,439.78,954.68,18,10/3/2015
235,925.58,841.552,439.79,954.68,19,10/3/2015
236,925.58,841.529,439.8,954.68,20,10/3/2015
237,925.58,841.507,439.81,954.68,21,10/3/2015
238,925.58,841.527,439.82,954.67,22,10/3/2015
239,925.58,841.544,439.82,954.67,23,10/3/2015
240,925.58,841.554,439.83,954.67,0,11/3/2015
241,925.58,841.582,439.84,954.67,1,11/3/2015
242,925.58,841.604,439.84,954.67,2,11/3/2015
243,925.58,841.622,439.85,954.67,3,11/3/2015
244,925.57,841.656,439.86,954.67,4,11/3/2015
245,925.57,841.656,439.86,954.67,5,11/3/2015
246,925.57,841.673,439.87,954.67,6,11/3/2015
247,925.57,841.7,439.88,954.67,7,11/3/2015
248,925.57,841.71,439.89,954.67,8,11/3/2015
249,925.57,841.72,439.9,954.67,9,11/3/2015
250,925.57,841.74,439.9,954.67,10,11/3/2015
251,925.57,841.73,439.91,954.67,11,11/3/2015
252,925.57,841.7,439.92,954.66,12,11/3/2015
253,925.57,841.68,439.92,954.66,13,11/3/2015
254,925.57,841.66,439.91,954.66,14,11/3/2015
255,925.57,841.64,439.9,954.66,15,11/3/2015
256,925.57,841.619,439.9,954.6,16,11/3/2015
257,925.57,841.602,439.87,954.66,17,11/3/2015
258,925.57,841.579,439.86,954.66,18,11/3/2015
259,925.57,841.556,439.85,954.66,19,11/3/2015
260,925.57,841.534,439.84,954.66,20,11/3/2015
261,925.58,841.55,439.83,954.66,21,11/3/2015
262,925.58,841.57,439.82,954.66,22,11/3/2015
263,925.58,841.586,439.81,954.66,23,11/3/2015
264,925.58,841.6,439.8,954.65,0,12/3/2015
265,925.58,841.626,439.81,954.65,1,12/3/2015
266,925.58,841.643,439.82,954.65,2,12/3/2015
267,925.57,841.658,439.82,954.65,3,12/3/2015
268,925.57,841.687,439.83,954.65,4,12/3/2015
269,925.57,841.692,439.84,954.65,5,12/3/2015
270,925.57,841.71,439.85,954.65,6,12/3/2015
271,925.57,841.73,439.86,954.65,7,12/3/2015
272,925.57,841.74,439.87,954.65,8,12/3/2015
273,925.57,841.76,439.89,954.65,9,12/3/2015
274,925.57,841.77,439.89,954.65,10,12/3/2015
275,925.57,841.75,439.89,954.65,11,12/3/2015
276,925.57,841.73,439.89,954.65,12,12/3/2015
277,925.57,841.71,439.9,954.65,13,12/3/2015
278,925.57,841.68,439.9,954.64,14,12/3/2015
279,925.57,841.67,439.9,954.64,15,12/3/2015
280,925.58,841.64,439.89,954.64,16,12/3/2015
281,925.58,841.63,439.87,954.64,17,12/3/2015
282,925.58,841.6,439.85,954.64,18,12/3/2015
