,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,954.17,928.3,439.9,0,1/3/2012
1,954.17,928.29,439.9,1,1/3/2012
2,954.17,928.29,439.91,2,1/3/2012
3,954.17,928.28,439.92,3,1/3/2012
4,954.17,928.27,439.93,4,1/3/2012
5,954.17,928.27,439.93,5,1/3/2012
6,954.17,928.26,439.93,6,1/3/2012
7,954.17,928.26,439.93,7,1/3/2012
8,954.17,928.26,439.93,8,1/3/2012
9,954.17,928.26,439.93,9,1/3/2012
10,954.17,928.26,439.93,10,1/3/2012
11,954.17,928.26,439.92,11,1/3/2012
12,954.16,928.27,439.9,12,1/3/2012
13,954.16,928.27,439.89,13,1/3/2012
14,954.16,928.27,439.89,14,1/3/2012
15,954.16,928.27,439.88,15,1/3/2012
16,954.16,928.27,439.87,16,1/3/2012
17,954.16,928.27,439.86,17,1/3/2012
18,954.15,928.27,439.86,18,1/3/2012
19,954.15,928.27,439.86,19,1/3/2012
20,954.15,928.27,439.88,20,1/3/2012
21,954.15,928.28,439.9,21,1/3/2012
22,954.15,928.28,439.9,22,1/3/2012
23,954.15,928.28,439.9,23,1/3/2012
24,954.15,928.28,439.9,0,2/3/2012
25,954.15,928.27,439.91,1,2/3/2012
26,954.15,928.26,439.92,2,2/3/2012
27,954.15,928.25,439.93,3,2/3/2012
28,954.15,928.24,439.94,4,2/3/2012
29,954.15,928.23,439.94,5,2/3/2012
30,954.15,928.22,439.94,6,2/3/2012
31,954.15,928.22,439.94,7,2/3/2012
32,954.15,928.22,439.94,8,2/3/2012
33,954.15,928.22,439.92,9,2/3/2012
34,954.15,928.22,439.92,10,2/3/2012
35,954.15,928.22,439.9,11,2/3/2012
36,954.15,928.22,439.89,12,2/3/2012
37,954.15,928.22,439.88,13,2/3/2012
38,954.15,928.22,439.86,14,2/3/2012
39,954.14,928.22,439.85,15,2/3/2012
40,954.14,928.22,439.85,16,2/3/2012
41,954.14,928.23,439.86,17,2/3/2012
42,954.14,928.23,439.86,18,2/3/2012
43,954.14,928.23,439.86,19,2/3/2012
44,954.14,928.23,439.87,20,2/3/2012
45,954.14,928.23,439.88,21,2/3/2012
46,954.14,928.23,439.89,22,2/3/2012
47,954.14,928.23,439.9,23,2/3/2012
48,954.13,928.23,439.91,0,3/3/2012
49,954.13,928.23,439.92,1,3/3/2012
50,954.13,928.22,439.92,2,3/3/2012
51,954.13,928.21,439.93,3,3/3/2012
52,954.13,928.2,439.94,4,3/3/2012
53,954.13,928.19,439.95,5,3/3/2012
54,954.13,928.18,439.95,6,3/3/2012
55,954.13,928.18,439.95,7,3/3/2012
56,954.13,928.18,439.96,8,3/3/2012
57,954.13,928.18,439.96,9,3/3/2012
58,954.13,928.18,439.95,10,3/3/2012
59,954.13,928.18,439.94,11,3/3/2012
60,954.12,928.18,439.93,12,3/3/2012
61,954.12,928.18,439.91,13,3/3/2012
62,954.12,928.18,439.9,14,3/3/2012
63,954.12,928.18,439.89,15,3/3/2012
64,954.12,928.18,439.89,16,3/3/2012
65,954.12,928.19,439.89,17,3/3/2012
66,954.12,928.19,439.9,18,3/3/2012
67,954.12,928.19,439.9,19,3/3/2012
68,954.12,928.19,439.9,20,3/3/2012
69,954.12,928.19,439.89,21,3/3/2012
70,954.12,928.19,439.88,22,3/3/2012
71,954.11,928.19,439.88,23,3/3/2012
72,954.11,928.19,439.89,0,4/3/2012
73,954.11,928.18,439.9,1,4/3/2012
74,954.11,928.17,439.91,2,4/3/2012
75,954.11,928.16,439.92,3,4/3/2012
76,954.11,928.15,439.93,4,4/3/2012
77,954.11,928.14,439.94,5,4/3/2012
78,954.11,928.14,439.95,6,4/3/2012
79,954.11,928.13,439.95,7,4/3/2012
80,954.11,928.13,439.95,8,4/3/2012
81,954.11,928.13,439.95,9,4/3/2012
82,954.11,928.13,439.95,10,4/3/2012
83,954.11,928.13,439.95,11,4/3/2012
84,954.1,928.14,439.95,12,4/3/2012
85,954.1,928.14,439.95,13,4/3/2012
86,954.1,928.14,439.95,14,4/3/2012
87,954.1,928.14,439.95,15,4/3/2012
88,954.1,928.14,439.94,16,4/3/2012
89,954.1,928.14,439.94,17,4/3/2012
90,954.1,928.14,439.95,18,4/3/2012
91,954.1,928.14,439.95,19,4/3/2012
92,954.1,928.14,439.94,20,4/3/2012
93,954.1,928.14,439.92,21,4/3/2012
94,954.1,928.14,439.9,22,4/3/2012
95,954.1,928.14,439.89,23,4/3/2012
96,954.09,928.14,439.89,0,5/3/2012
97,954.09,928.14,439.9,1,5/3/2012
98,954.09,928.14,439.9,2,5/3/2012
99,954.09,928.12,439.91,3,5/3/2012
100,954.09,928.11,439.91,4,5/3/2012
101,954.09,928.11,439.91,5,5/3/2012
102,954.09,928.1,439.91,6,5/3/2012
103,954.09,928.1,439.91,7,5/3/2012
104,954.09,928.1,439.9,8,5/3/2012
105,954.09,928.1,439.89,9,5/3/2012
106,954.09,928.1,439.88,10,5/3/2012
107,954.09,928.1,439.88,11,5/3/2012
108,954.08,928.1,439.88,12,5/3/2012
109,954.08,928.1,439.88,13,5/3/2012
110,954.08,928.1,439.88,14,5/3/2012
111,954.08,928.1,439.88,15,5/3/2012
112,954.08,928.1,439.88,16,5/3/2012
113,954.08,928.11,439.88,17,5/3/2012
114,954.08,928.11,439.88,18,5/3/2012
115,954.08,928.11,439.88,19,5/3/2012
116,954.08,928.11,439.88,20,5/3/2012
117,954.08,928.11,439.87,21,5/3/2012
118,954.08,928.11,439.86,22,5/3/2012
119,954.08,928.12,439.86,23,5/3/2012
120,954.08,928.13,439.86,0,6/3/2012
121,954.08,928.13,439.88,1,6/3/2012
122,954.08,928.13,439.89,2,6/3/2012
123,954.08,928.12,439.89,3,6/3/2012
124,954.08,928.11,439.9,4,6/3/2012
125,954.08,928.1,439.91,5,6/3/2012
126,954.08,928.1,439.92,6,6/3/2012
127,954.08,928.11,439.92,7,6/3/2012
128,954.08,928.11,439.92,8,6/3/2012
129,954.08,928.12,439.91,9,6/3/2012
130,954.08,928.12,439.91,10,6/3/2012
131,954.08,928.12,439.91,11,6/3/2012
132,954.08,928.13,439.88,12,6/3/2012
133,954.08,928.13,439.87,13,6/3/2012
134,954.08,928.13,439.88,14,6/3/2012
135,954.08,928.13,439.88,15,6/3/2012
136,954.08,928.13,439.88,16,6/3/2012
137,954.07,928.13,439.87,17,6/3/2012
138,954.07,928.13,439.87,18,6/3/2012
139,954.07,928.13,439.87,19,6/3/2012
140,954.07,928.14,439.88,20,6/3/2012
141,954.07,928.14,439.88,21,6/3/2012
142,954.07,928.14,439.88,22,6/3/2012
143,954.06,928.14,439.89,23,6/3/2012
144,954.06,928.14,439.89,0,7/3/2012
145,954.06,928.14,439.9,1,7/3/2012
146,954.06,928.13,439.91,2,7/3/2012
147,954.06,928.12,439.92,3,7/3/2012
148,954.06,928.11,439.93,4,7/3/2012
149,954.06,928.1,439.93,5,7/3/2012
150,954.06,928.08,439.93,6,7/3/2012
151,954.06,928.08,439.93,7,7/3/2012
152,954.06,928.08,439.92,8,7/3/2012
153,954.06,928.08,439.91,9,7/3/2012
154,954.06,928.08,439.91,10,7/3/2012
155,954.06,928.08,439.9,11,7/3/2012
156,954.05,928.08,439.89,12,7/3/2012
157,954.05,928.08,439.88,13,7/3/2012
158,954.05,928.08,439.87,14,7/3/2012
159,954.05,928.08,439.86,15,7/3/2012
160,954.05,928.08,439.85,16,7/3/2012
161,954.05,928.08,439.85,17,7/3/2012
162,954.05,928.08,439.86,18,7/3/2012
163,954.05,928.09,439.86,19,7/3/2012
164,954.05,928.1,439.86,20,7/3/2012
165,954.05,928.1,439.86,21,7/3/2012
166,954.05,928.1,439.87,22,7/3/2012
167,954.05,928.1,439.88,23,7/3/2012
168,954.04,928.1,439.88,0,8/3/2012
169,954.04,928.09,439.89,1,8/3/2012
170,954.04,928.08,439.9,2,8/3/2012
171,954.04,928.07,439.91,3,8/3/2012
172,954.04,928.05,439.92,4,8/3/2012
173,954.04,928.05,439.92,5,8/3/2012
174,954.04,928.04,439.93,6,8/3/2012
175,954.04,928.04,439.93,7,8/3/2012
176,954.04,928.04,439.93,8,8/3/2012
177,954.04,928.04,439.92,9,8/3/2012
178,954.04,928.04,439.92,10,8/3/2012
179,954.04,928.04,439.92,11,8/3/2012
180,954.03,928.04,439.91,12,8/3/2012
181,954.03,928.04,439.9,13,8/3/2012
182,954.03,928.04,439.9,14,8/3/2012
183,954.03,928.04,439.9,15,8/3/2012
184,954.03,928.04,439.89,16,8/3/2012
185,954.02,928.04,439.88,17,8/3/2012
186,954.02,928.04,439.88,18,8/3/2012
187,954.02,928.04,439.87,19,8/3/2012
188,954.02,928.04,439.86,20,8/3/2012
189,954.02,928.04,439.85,21,8/3/2012
190,954.02,928.04,439.87,22,8/3/2012
191,954.02,928.04,439.87,23,8/3/2012
192,954.02,928.04,439.9,0,9/3/2012
193,954.02,928.03,439.9,1,9/3/2012
194,954.02,928.02,439.91,2,9/3/2012
195,954.01,928.01,439.91,3,9/3/2012
196,954.01,928,439.91,4,9/3/2012
197,954.01,927.99,439.91,5,9/3/2012
198,954.01,927.98,439.92,6,9/3/2012
199,954.01,927.98,439.93,7,9/3/2012
200,954.01,927.98,439.92,8,9/3/2012
201,954,927.98,439.92,9,9/3/2012
202,954,927.98,439.92,10,9/3/2012
203,954,927.98,439.91,11,9/3/2012
204,953.99,927.98,439.91,12,9/3/2012
205,953.99,927.98,439.89,13,9/3/2012
206,953.99,927.98,439.89,14,9/3/2012
207,953.99,927.98,439.88,15,9/3/2012
208,953.99,927.98,439.86,16,9/3/2012
209,953.98,927.98,439.86,17,9/3/2012
210,953.98,927.98,439.87,18,9/3/2012
211,953.98,927.98,439.87,19,9/3/2012
212,953.98,927.98,439.87,20,9/3/2012
213,953.98,927.98,439.87,21,9/3/2012
214,953.98,927.98,439.87,22,9/3/2012
215,953.98,927.98,439.88,23,9/3/2012
216,953.98,927.98,439.87,0,10/3/2012
217,953.98,927.96,439.89,1,10/3/2012
218,953.98,927.95,439.9,2,10/3/2012
219,953.98,927.93,439.9,3,10/3/2012
220,953.98,927.91,439.91,4,10/3/2012
221,953.98,927.9,439.91,5,10/3/2012
222,953.98,927.9,439.92,6,10/3/2012
223,953.98,927.9,439.92,7,10/3/2012
224,953.98,927.9,439.92,8,10/3/2012
225,953.98,927.9,439.92,9,10/3/2012
226,953.98,927.9,439.9,10,10/3/2012
227,953.97,927.91,439.89,11,10/3/2012
