,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,956.31,928.55,842.519,439.83,0,1/12/2014
1,956.31,928.55,842.536,439.83,1,1/12/2014
2,956.31,928.55,842.552,439.86,2,1/12/2014
3,956.31,928.55,842.55,439.88,3,1/12/2014
4,956.31,928.55,842.582,439.9,4,1/12/2014
5,956.31,928.54,842.594,439.91,5,1/12/2014
6,956.31,928.31,842.607,439.93,6,1/12/2014
7,956.31,928.53,842.616,439.94,7,1/12/2014
8,956.31,928.53,842.62,439.94,8,1/12/2014
9,956.31,928.53,842.63,439.93,9,1/12/2014
10,956.31,928.54,842.638,439.91,10,1/12/2014
11,956.31,928.54,842.641,439.9,11,1/12/2014
12,956.31,928.54,842.646,439.88,12,1/12/2014
13,956.31,928.54,842.653,439.86,13,1/12/2014
14,956.31,928.54,842.659,439.85,14,1/12/2014
15,956.31,928.55,842.659,439.84,15,1/12/2014
16,956.31,928.56,842.665,439.83,16,1/12/2014
17,956.31,928.56,842.694,439.82,17,1/12/2014
18,956.31,928.57,842.745,439.8,18,1/12/2014
19,956.31,928.57,842.8,439.78,19,1/12/2014
20,956.31,928.58,842.856,439.78,20,1/12/2014
21,956.31,928.58,842.907,439.78,21,1/12/2014
22,956.31,928.58,842.946,439.78,22,1/12/2014
23,956.31,928.58,842.98,439.76,23,1/12/2014
24,956.31,928.58,843.012,439.78,0,2/12/2014
25,956.31,928.58,843.04,439.79,1,2/12/2014
26,956.31,928.58,843.064,439.81,2,2/12/2014
27,956.31,928.57,841.081,439.82,3,2/12/2014
28,956.31,928.56,841.093,439.84,4,2/12/2014
29,956.31,928.55,843.101,439.83,5,2/12/2014
30,956.31,928.55,843.104,439.85,6,2/12/2014
31,956.31,928.55,843.107,439.85,7,2/12/2014
32,956.31,928.55,843.107,439.86,8,2/12/2014
33,956.31,928.56,843.1,439.86,9,2/12/2014
34,956.32,928.56,843.103,439.86,10,2/12/2014
35,956.32,928.57,843.102,439.85,11,2/12/2014
36,956.32,928.58,843.102,439.84,12,2/12/2014
37,956.32,928.58,843.1,439.83,13,2/12/2014
38,956.32,928.59,843.098,439.82,14,2/12/2014
39,956.32,928.59,843.09,439.81,15,2/12/2014
40,956.32,928.59,843.09,439.8,16,2/12/2014
41,956.32,928.59,843.08,439.79,17,2/12/2014
42,956.32,928.59,843.08,439.78,18,2/12/2014
43,956.32,928.59,843.08,439.78,19,2/12/2014
44,956.32,928.59,843.07,439.77,20,2/12/2014
45,956.32,928.59,843.07,439.76,21,2/12/2014
46,956.32,928.59,843.07,439.76,22,2/12/2014
