,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,952.84,926.28,841.773,682.356,439.69,0,1/7/2015
1,952.84,926.28,841.766,682.188,439.69,1,1/7/2015
2,952.84,926.28,841.76,682.121,439.7,2,1/7/2015
3,952.84,926.28,841.753,682.056,439.71,3,1/7/2015
4,952.84,926.28,841.742,682.04,439.72,4,1/7/2015
5,952.84,926.28,841.735,682.204,439.72,5,1/7/2015
6,952.85,926.29,841.724,682.223,439.73,6,1/7/2015
7,952.85,926.3,841.712,682.409,439.74,7,1/7/2015
8,952.85,926.3,841.658,682.863,439.74,8,1/7/2015
9,952.85,926.31,841.687,682.894,439.76,9,1/7/2015
10,952.86,926.31,841.675,682.776,439.76,10,1/7/2015
11,952.86,926.31,841.66,682.845,439.75,11,1/7/2015
12,952.86,926.31,841.646,682.772,439.74,12,1/7/2015
13,952.86,926.31,841.632,682.809,439.74,13,1/7/2015
14,952.86,926.31,841.615,682.722,439.73,14,1/7/2015
15,952.87,926.32,841.599,682.958,439.73,15,1/7/2015
16,952.87,926.32,841.586,682.674,439.72,16,1/7/2015
17,952.87,926.32,841.564,682.874,439.71,17,1/7/2015
18,952.87,926.32,841.545,682.658,439.7,18,1/7/2015
19,952.87,926.32,841.524,682.822,439.71,19,1/7/2015
20,952.87,926.33,841.506,682.857,439.71,20,1/7/2015
21,952.87,926.33,841.506,682.809,439.7,21,1/7/2015
22,952.87,926.33,841.506,682.792,439.7,22,1/7/2015
23,952.87,926.33,841.509,682.725,439.69,23,1/7/2015
24,952.87,926.34,841.512,682.543,439.7,0,2/7/2015
25,952.87,926.34,841.512,682.199,439.71,1,2/7/2015
26,952.87,926.34,841.511,682.151,439.72,2,2/7/2015
27,952.87,926.34,841.513,682.202,439.74,3,2/7/2015
28,952.87,926.34,841.512,682.415,439.75,4,2/7/2015
29,952.87,926.34,841.507,682.747,439.75,5,2/7/2015
30,952.87,926.35,841.509,682.735,439.75,6,2/7/2015
31,952.87,926.35,841.524,682.803,439.76,7,2/7/2015
32,952.87,926.35,841.52,682.856,439.77,8,2/7/2015
33,952.87,926.35,841.52,682.075,439.78,9,2/7/2015
34,952.87,926.36,841.55,681.907,439.78,10,2/7/2015
35,952.87,926.36,841.522,681.624,439.78,11,2/7/2015
36,952.87,926.37,841.521,681.457,439.77,12,2/7/2015
37,952.87,926.37,841.519,681.46,439.77,13,2/7/2015
38,952.87,926.37,841.516,682.407,439.76,14,2/7/2015
39,952.87,926.38,841.515,682.848,439.76,15,2/7/2015
40,952.87,926.38,841.512,682.699,439.76,16,2/7/2015
41,952.87,926.39,841.511,682.782,439.76,17,2/7/2015
42,952.87,926.39,841.509,682.173,439.77,18,2/7/2015
43,952.87,926.39,841.506,682.438,439.77,19,2/7/2015
44,952.87,926.39,841.504,681.876,439.77,20,2/7/2015
45,952.87,926.39,841.499,681.473,439.75,21,2/7/2015
46,952.87,926.39,841.494,681.558,439.76,22,2/7/2015
47,952.87,926.39,841.489,681.473,439.78,23,2/7/2015
48,952.87,926.39,841.482,681.689,439.79,0,3/7/2015
49,952.87,926.39,841.514,681.689,439.79,1,3/7/2015
50,952.87,926.39,841.545,681.656,439.8,2,3/7/2015
51,952.87,926.39,841.586,681.656,439.8,3,3/7/2015
52,952.87,926.38,841.617,681.776,439.81,4,3/7/2015
53,952.87,926.37,841.65,681.909,439.81,5,3/7/2015
54,952.87,926.36,841.685,681.949,439.82,6,3/7/2015
55,952.87,926.36,841.719,682.033,439.83,7,3/7/2015
56,952.87,926.36,841.721,682.639,439.84,8,3/7/2015
57,952.87,926.36,841.713,682.727,439.84,9,3/7/2015
58,952.87,926.36,841.712,682.835,439.84,10,3/7/2015
59,952.87,926.36,841.7,682.77,439.83,11,3/7/2015
60,952.87,926.36,841.698,682.655,439.83,12,3/7/2015
61,952.87,926.36,841.69,682.809,439.82,13,3/7/2015
62,952.87,926.36,841.687,682.758,439.81,14,3/7/2015
63,952.87,926.36,841.674,682.707,439.81,15,3/7/2015
64,952.87,926.36,841.662,682.776,439.79,16,3/7/2015
65,952.87,926.36,841.655,682.794,439.78,17,3/7/2015
66,952.87,926.36,841.645,682.755,439.77,18,3/7/2015
67,952.87,926.36,841.637,682.524,439.76,19,3/7/2015
68,952.87,926.36,841.628,681.661,439.75,20,3/7/2015
69,952.87,926.37,841.616,681.494,439.75,21,3/7/2015
70,952.87,926.37,841.604,681.988,439.76,22,3/7/2015
71,952.87,926.37,841.592,681.988,439.76,23,3/7/2015
72,952.87,926.37,841.581,681.988,439.76,0,4/7/2015
73,952.87,926.36,841.6,682.102,439.77,1,4/7/2015
74,952.87,926.35,841.629,682.037,439.77,2,4/7/2015
75,952.87,926.34,841.655,682.021,439.78,3,4/7/2015
76,952.87,926.33,841.685,681.972,439.79,4,4/7/2015
77,952.87,926.31,841.714,682.137,439.8,5,4/7/2015
78,952.87,926.31,841.742,682.139,439.81,6,4/7/2015
79,952.87,926.31,841.771,682.188,439.81,7,4/7/2015
80,952.87,926.31,841.764,682.393,439.82,8,4/7/2015
81,952.87,926.31,841.755,682.642,439.82,9,4/7/2015
82,952.87,926.31,841.741,682.688,439.82,10,4/7/2015
83,952.86,926.32,841.732,682.695,439.81,11,4/7/2015
84,952.86,926.32,841.712,682.696,439.8,12,4/7/2015
85,952.86,926.32,841.708,682.345,439.8,13,4/7/2015
86,952.86,926.33,841.696,682.412,439.78,14,4/7/2015
87,952.86,926.33,841.683,682.533,439.78,15,4/7/2015
88,952.86,926.34,841.668,682.695,439.77,16,4/7/2015
89,952.87,926.35,841.66,682.845,439.77,17,4/7/2015
90,952.87,926.35,841.655,682.884,439.75,18,4/7/2015
91,952.87,926.35,841.644,683.164,439.74,19,4/7/2015
92,952.87,926.36,841.63,683.18,439.73,20,4/7/2015
93,952.87,926.37,841.62,683.182,439.74,21,4/7/2015
94,952.87,926.38,841.622,683.033,439.74,22,4/7/2015
95,952.87,926.38,841.625,682.935,439.75,23,4/7/2015
96,952.87,926.38,841.616,682.701,439.75,0,5/7/2015
97,952.87,926.37,841.646,682.668,439.75,1,5/7/2015
98,952.87,926.36,841.677,682.604,439.76,2,5/7/2015
99,952.87,926.35,841.712,682.291,439.76,3,5/7/2015
100,952.87,926.34,841.751,682.375,439.77,4,5/7/2015
101,952.87,926.33,841.779,682.463,439.77,5,5/7/2015
102,952.87,926.62,841.816,682.283,439.77,6,5/7/2015
103,952.87,926.31,841.857,682.446,439.78,7,5/7/2015
104,952.87,926.3,841.864,682.576,439.78,8,5/7/2015
105,952.87,926.29,841.869,682.725,439.78,9,5/7/2015
106,952.87,926.28,841.876,682.456,439.79,10,5/7/2015
107,952.87,926.27,841.889,682.373,439.78,11,5/7/2015
108,952.88,926.25,841.888,682.598,439.78,12,5/7/2015
109,952.88,926.24,841.88,682.534,439.78,13,5/7/2015
110,952.88,926.23,841.87,682.521,439.79,14,5/7/2015
111,952.88,926.22,841.858,682.372,439.8,15,5/7/2015
112,952.88,926.21,841.845,682.587,439.79,16,5/7/2015
113,952.89,926.19,841.83,682.876,439.79,17,5/7/2015
114,952.89,926.17,841.82,682.698,439.78,18,5/7/2015
115,952.89,926.16,841.8,682.962,439.79,19,5/7/2015
116,952.89,926.14,841.788,682.049,439.79,20,5/7/2015
117,952.89,926.13,841.772,681.53,439.78,21,5/7/2015
118,952.9,926.12,841.754,681.58,439.78,22,5/7/2015
119,952.9,926.1,841.736,681.597,439.78,23,5/7/2015
120,952.9,926.09,841.721,681.485,439.79,0,6/7/2015
121,952.9,926.08,841.704,681.435,439.79,1,6/7/2015
122,952.9,926.07,841.707,681.37,439.8,2,6/7/2015
123,952.9,926.07,841.712,681.305,439.8,3,6/7/2015
124,952.91,926.06,841.726,681.391,439.81,4,6/7/2015
125,952.91,926.05,841.737,681.923,439.81,5,6/7/2015
126,952.91,926.05,841.743,682.323,439.81,6,6/7/2015
127,952.91,926.05,841.755,682.741,439.82,7,6/7/2015
128,952.91,926.05,841.763,682.943,439.82,8,6/7/2015
129,952.91,926.05,841.748,682.838,439.82,9,6/7/2015
130,952.91,926.06,841.729,682.791,439.81,10,6/7/2015
131,952.91,926.06,841.712,682.84,439.82,11,6/7/2015
132,952.91,926.07,841.697,682.822,439.81,12,6/7/2015
133,952.91,926.08,841.68,682.64,439.8,13,6/7/2015
134,952.91,926.08,841.664,682.772,439.78,14,6/7/2015
135,952.91,926.09,841.645,682.761,439.78,15,6/7/2015
136,952.91,926.1,841.629,682.689,439.77,16,6/7/2015
137,952.91,926.11,841.616,682.705,439.76,17,6/7/2015
138,952.91,926.12,841.603,682.525,439.76,18,6/7/2015
139,952.91,926.12,841.592,682.486,439.76,19,6/7/2015
140,952.91,926.13,841.577,682.534,439.75,20,6/7/2015
141,952.91,926.14,841.557,682.55,439.74,21,6/7/2015
