,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,952.85,925.3,841.33,439.91,0,1/6/2014
1,952.85,925.3,841.35,439.91,1,1/6/2014
2,952.85,925.3,841.37,439.9,2,1/6/2014
3,952.85,925.3,841.39,439.9,3,1/6/2014
4,952.85,925.3,841.41,439.89,4,1/6/2014
5,952.85,925.3,841.43,439.88,5,1/6/2014
6,952.85,925.3,841.44,439.87,6,1/6/2014
7,952.85,925.31,841.45,439.87,7,1/6/2014
8,952.85,925.32,841.47,439.85,8,1/6/2014
9,952.85,925.32,841.48,439.85,9,1/6/2014
10,952.85,925.32,841.49,439.85,10,1/6/2014
11,952.85,925.32,841.51,439.85,11,1/6/2014
12,952.84,925.33,841.52,439.85,12,1/6/2014
13,952.84,925.33,841.49,439.85,13,1/6/2014
14,952.84,925.33,841.46,439.85,14,1/6/2014
15,952.84,925.33,841.46,439.84,15,1/6/2014
16,952.84,925.33,841.4,439.84,16,1/6/2014
17,952.84,925.33,841.37,439.84,17,1/6/2014
18,952.84,925.33,841.34,439.85,18,1/6/2014
19,952.84,925.33,841.31,439.84,19,1/6/2014
20,952.83,925.34,841.3,439.84,20,1/6/2014
21,952.83,925.34,841.31,439.84,21,1/6/2014
22,952.83,925.34,841.32,439.84,22,1/6/2014
23,952.83,925.34,841.33,439.84,23,1/6/2014
24,952.83,925.34,841.34,439.84,0,2/6/2014
25,952.83,925.34,841.35,439.84,1,2/6/2014
26,952.83,925.34,841.36,439.83,2,2/6/2014
27,952.83,925.34,841.37,439.83,3,2/6/2014
28,952.83,925.34,841.38,439.83,4,2/6/2014
29,952.83,925.34,841.39,439.83,5,2/6/2014
30,952.83,925.35,841.4,439.83,6,2/6/2014
31,952.83,925.35,841.41,439.83,7,2/6/2014
32,952.83,925.35,841.42,439.83,8,2/6/2014
33,952.82,925.35,841.43,439.83,9,2/6/2014
34,952.82,925.35,841.44,439.83,10,2/6/2014
35,952.82,925.35,841.45,439.83,11,2/6/2014
36,952.82,925.35,841.46,439.83,12,2/6/2014
37,952.82,925.35,841.42,439.83,13,2/6/2014
38,952.82,925.35,841.39,439.83,14,2/6/2014
39,952.82,925.35,841.37,439.83,15,2/6/2014
40,952.81,925.36,841.33,439.82,16,2/6/2014
