,APANAS,ASTURIAS,VIRGEN,HIDROPANTASMA,HORA,Date
19,953.51,926.3,439.64,,19,5/8/2013
20,953.52,926.31,439.63,,20,5/8/2013
21,953.52,926.31,439.61,,21,5/8/2013
22,953.52,926.33,439.61,,22,5/8/2013
23,953.53,926.34,439.62,,23,5/8/2013
0,953.53,926.34,439.64,,0,6/8/2013
1,953.53,926.33,439.66,,1,6/8/2013
2,953.54,926.33,439.68,,2,6/8/2013
3,953.54,926.33,439.7,,3,6/8/2013
4,953.54,926.32,439.72,,4,6/8/2013
5,953.55,926.32,439.74,,5,6/8/2013
6,953.55,926.32,439.75,,6,6/8/2013
7,953.56,926.33,439.77,,7,6/8/2013
8,953.56,926.33,439.79,,8,6/8/2013
9,953.56,926.33,439.79,,9,6/8/2013
10,953.56,926.33,439.79,,10,6/8/2013
11,953.56,926.33,439.77,,11,6/8/2013
12,953.55,926.35,439.75,,12,6/8/2013
13,953.55,926.35,439.74,,13,6/8/2013
14,953.55,926.35,439.72,,14,6/8/2013
15,953.55,926.37,439.7,,15,6/8/2013
16,953.55,926.37,439.68,,16,6/8/2013
17,953.55,926.38,439.65,,17,6/8/2013
18,953.55,926.39,439.64,,18,6/8/2013
19,953.55,926.39,439.63,,19,6/8/2013
20,953.55,926.4,439.61,,20,6/8/2013
21,953.55,926.4,439.59,,21,6/8/2013
22,953.55,926.41,439.58,,22,6/8/2013
23,953.55,926.42,439.59,,23,6/8/2013
0,953.55,926.43,439.61,,0,7/8/2013
1,953.55,926.43,439.63,,1,7/8/2013
2,953.55,926.42,439.65,,2,7/8/2013
3,953.55,926.41,439.67,,3,7/8/2013
4,953.55,926.4,439.69,,4,7/8/2013
5,953.55,926.39,439.71,,5,7/8/2013
6,953.55,926.39,439.73,,6,7/8/2013
7,953.55,926.39,439.74,,7,7/8/2013
8,953.55,926.39,439.76,,8,7/8/2013
9,953.55,926.4,439.77,,9,7/8/2013
10,953.55,926.4,439.76,,10,7/8/2013
11,953.55,926.41,439.76,,11,7/8/2013
12,953.55,926.41,439.76,,12,7/8/2013
13,953.55,926.41,439.74,,13,7/8/2013
14,953.55,926.41,439.73,,14,7/8/2013
15,953.55,926.42,439.72,,15,7/8/2013
16,953.55,926.42,439.71,,16,7/8/2013
17,953.54,926.43,439.71,,17,7/8/2013
18,953.54,926.43,439.7,,18,7/8/2013
19,953.54,926.43,439.69,,19,7/8/2013
20,953.54,926.44,439.68,,20,7/8/2013
21,953.54,926.44,439.67,,21,7/8/2013
22,953.54,926.45,439.66,,22,7/8/2013
23,953.54,926.45,439.67,,23,7/8/2013
0,953.54,926.46,439.68,,0,8/8/2013
1,953.54,926.46,439.69,,1,8/8/2013
2,953.54,926.45,439.71,,2,8/8/2013
3,953.54,926.44,439.73,,3,8/8/2013
4,953.54,926.44,439.75,,4,8/8/2013
5,953.54,926.42,439.76,,5,8/8/2013
6,953.54,926.42,439.76,,6,8/8/2013
7,953.54,926.42,439.77,,7,8/8/2013
8,953.54,926.42,439.79,,8,8/8/2013
9,953.53,926.43,439.79,,9,8/8/2013
10,953.53,926.43,439.78,,10,8/8/2013
11,953.53,926.43,439.78,,11,8/8/2013
12,953.53,926.44,439.77,,12,8/8/2013
13,953.53,926.44,439.76,,13,8/8/2013
14,953.53,926.44,439.75,,14,8/8/2013
15,953.53,926.45,439.74,,15,8/8/2013
16,953.53,926.45,439.73,,16,8/8/2013
17,953.53,926.45,439.72,,17,8/8/2013
18,953.53,926.45,439.71,,18,8/8/2013
19,953.53,926.45,439.7,,19,8/8/2013
20,953.53,926.45,439.69,,20,8/8/2013
21,953.53,926.45,439.68,,21,8/8/2013
22,953.53,926.45,439.67,,22,8/8/2013
23,953.53,926.45,439.67,,23,8/8/2013
0,953.52,926.45,439.68,,0,9/8/2013
1,953.52,926.44,439.69,,1,9/8/2013
2,953.52,926.43,439.71,,2,9/8/2013
3,953.52,926.42,439.73,,3,9/8/2013
4,953.52,926.41,439.75,,4,9/8/2013
5,953.52,926.4,439.77,,5,9/8/2013
6,953.52,926.4,439.78,,6,9/8/2013
7,953.52,926.4,439.8,,7,9/8/2013
8,953.52,926.4,439.8,,8,9/8/2013
9,953.52,926.4,439.81,,9,9/8/2013
10,953.52,926.4,439.81,,10,9/8/2013
11,953.52,926.4,439.8,,11,9/8/2013
12,953.52,926.4,439.8,,12,9/8/2013
13,953.52,926.4,439.8,,13,9/8/2013
14,953.52,926.4,439.8,,14,9/8/2013
15,953.52,926.41,439.8,,15,9/8/2013
16,953.52,926.41,439.79,,16,9/8/2013
17,953.51,926.41,439.79,,17,9/8/2013
18,953.51,926.41,439.78,,18,9/8/2013
19,953.51,926.41,439.77,,19,9/8/2013
20,953.51,926.41,439.77,,20,9/8/2013
21,953.51,926.41,439.77,,21,9/8/2013
22,953.51,926.41,439.77,,22,9/8/2013
23,953.51,926.41,439.78,,23,9/8/2013
0,953.5,926.41,439.78,,0,10/8/2013
1,953.5,926.4,439.78,,1,10/8/2013
2,953.5,926.39,439.78,,2,10/8/2013
3,953.5,926.38,439.78,,3,10/8/2013
4,953.5,926.37,439.78,,4,10/8/2013
5,953.5,926.36,439.79,,5,10/8/2013
6,953.5,926.35,439.79,,6,10/8/2013
7,953.5,926.35,439.79,,7,10/8/2013
8,953.5,926.35,439.79,,8,10/8/2013
9,953.5,926.35,439.79,,9,10/8/2013
10,953.5,926.35,439.79,,10,10/8/2013
11,953.5,926.35,439.79,,11,10/8/2013
12,953.49,926.35,439.79,,12,10/8/2013
13,953.49,926.35,439.78,,13,10/8/2013
14,953.49,926.35,439.78,,14,10/8/2013
15,953.49,926.35,439.77,,15,10/8/2013
16,953.49,926.35,439.77,,16,10/8/2013
17,953.49,926.35,439.75,,17,10/8/2013
18,953.49,926.35,439.75,,18,10/8/2013
19,953.49,926.36,439.73,,19,10/8/2013
20,953.49,926.36,439.71,,20,10/8/2013
21,953.49,926.37,439.69,,21,10/8/2013
22,953.49,926.38,439.69,,22,10/8/2013
23,953.49,926.38,439.68,,23,10/8/2013
0,953.49,926.38,439.67,,0,11/8/2013
1,953.49,926.37,439.67,,1,11/8/2013
2,953.49,926.36,439.67,,2,11/8/2013
3,953.49,926.36,439.68,,3,11/8/2013
4,953.49,926.35,439.68,,4,11/8/2013
5,953.49,926.33,439.69,,5,11/8/2013
6,953.49,926.32,439.7,,6,11/8/2013
7,953.49,926.33,439.71,,7,11/8/2013
8,953.49,926.33,439.73,,8,11/8/2013
9,953.49,926.33,439.74,,9,11/8/2013
10,953.49,926.33,439.75,,10,11/8/2013
11,953.49,926.33,439.77,,11,11/8/2013
12,953.49,926.33,439.79,,12,11/8/2013
13,953.48,926.34,439.8,,13,11/8/2013
14,953.48,926.34,439.81,,14,11/8/2013
15,953.48,926.34,439.82,,15,11/8/2013
16,953.48,926.35,439.82,,16,11/8/2013
17,953.48,926.35,439.81,,17,11/8/2013
18,953.48,926.35,439.79,,18,11/8/2013
19,953.48,926.36,439.78,,19,11/8/2013
20,953.48,926.36,439.76,,20,11/8/2013
21,953.48,926.36,439.75,,21,11/8/2013
22,953.48,926.36,439.74,,22,11/8/2013
23,953.48,926.37,439.74,,23,11/8/2013
0,953.48,926.37,439.74,,0,12/8/2013
1,953.48,926.36,439.76,,1,12/8/2013
2,953.48,926.35,439.78,,2,12/8/2013
3,953.48,926.34,439.79,,3,12/8/2013
4,953.48,926.33,439.8,,4,12/8/2013
