,APANAS,ASTURIAS,VIRGEN,HIDROPANTASMA,HORA,Date
13,953.47,926.9,439.78,,13,24/8/2013
14,953.47,926.91,439.78,,14,24/8/2013
15,953.47,926.92,439.78,,15,24/8/2013
16,953.47,926.92,439.79,,16,24/8/2013
17,953.47,926.92,439.79,,17,24/8/2013
18,953.47,926.93,439.81,,18,24/8/2013
19,953.47,926.93,439.82,,19,24/8/2013
20,953.47,926.94,439.83,,20,24/8/2013
21,953.47,926.94,439.83,,21,24/8/2013
22,953.47,926.94,439.83,,22,24/8/2013
23,953.47,926.94,439.84,,23,24/8/2013
0,953.47,926.94,439.85,,0,25/8/2013
1,953.47,926.94,439.87,,1,25/8/2013
2,953.47,926.94,439.9,,2,25/8/2013
3,953.47,926.94,439.92,,3,25/8/2013
4,953.47,926.94,439.95,,4,25/8/2013
5,953.47,926.94,439.95,,5,25/8/2013
6,953.47,926.94,439.97,,6,25/8/2013
7,953.47,926.94,439.97,,7,25/8/2013
8,953.47,926.95,439.97,,8,25/8/2013
9,953.47,926.95,439.96,,9,25/8/2013
10,953.47,926.97,439.96,,10,25/8/2013
11,953.47,926.97,439.94,,11,25/8/2013
12,953.48,926.98,439.95,,12,25/8/2013
13,953.48,926.98,439.95,,13,25/8/2013
14,953.48,926.98,439.94,,14,25/8/2013
15,953.48,926.98,439.93,,15,25/8/2013
16,953.48,926.98,439.93,,16,25/8/2013
17,953.49,926.98,439.92,,17,25/8/2013
18,953.49,926.98,439.91,,18,25/8/2013
19,953.49,926.98,439.9,,19,25/8/2013
20,953.49,926.99,439.88,,20,25/8/2013
21,953.49,926.99,439.87,,21,25/8/2013
22,953.49,926.99,439.85,,22,25/8/2013
23,953.49,926.99,439.84,,23,25/8/2013
0,953.49,926.98,439.85,,0,26/8/2013
1,953.49,926.97,439.86,,1,26/8/2013
2,953.49,926.96,439.88,,2,26/8/2013
3,953.49,926.95,439.88,,3,26/8/2013
4,953.49,926.94,439.89,,4,26/8/2013
5,953.49,926.93,439.9,,5,26/8/2013
6,953.49,926.92,439.92,,6,26/8/2013
7,953.49,926.92,439.92,,7,26/8/2013
8,953.49,926.92,439.94,,8,26/8/2013
9,953.49,926.92,439.94,,9,26/8/2013
10,953.49,926.93,439.93,,10,26/8/2013
11,953.49,926.93,439.92,,11,26/8/2013
12,953.49,926.93,439.9,,12,26/8/2013
13,953.49,926.93,439.89,,13,26/8/2013
14,953.49,926.94,439.88,,14,26/8/2013
15,953.49,926.94,439.87,,15,26/8/2013
16,953.49,926.94,439.85,,16,26/8/2013
17,953.49,926.94,439.84,,17,26/8/2013
18,953.49,926.95,439.82,,18,26/8/2013
19,953.49,926.96,439.82,,19,26/8/2013
20,953.49,926.97,439.8,,20,26/8/2013
21,953.5,926.98,439.79,,21,26/8/2013
22,953.5,926.98,439.78,,22,26/8/2013
23,953.5,926.98,439.79,,23,26/8/2013
0,953.5,926.98,439.8,,0,27/8/2013
1,953.5,926.98,439.81,,1,27/8/2013
2,953.5,926.97,439.83,,2,27/8/2013
3,953.5,926.96,439.85,,3,27/8/2013
4,953.5,926.95,439.87,,4,27/8/2013
5,953.5,926.94,439.88,,5,27/8/2013
6,953.5,926.93,439.89,,6,27/8/2013
7,953.5,926.93,439.9,,7,27/8/2013
8,953.5,926.93,439.91,,8,27/8/2013
9,953.5,926.93,439.91,,9,27/8/2013
10,953.5,926.94,439.9,,10,27/8/2013
11,953.5,926.95,439.89,,11,27/8/2013
12,953.5,926.95,439.88,,12,27/8/2013
13,953.5,926.96,439.88,,13,27/8/2013
14,953.5,926.96,439.88,,14,27/8/2013
15,953.5,926.97,439.88,,15,27/8/2013
16,953.5,926.98,439.88,,16,27/8/2013
17,953.5,926.99,439.87,,17,27/8/2013
18,953.5,927,439.86,,18,27/8/2013
19,953.5,927.01,439.86,,19,27/8/2013
20,953.5,927.02,439.85,,20,27/8/2013
21,953.5,927.04,439.85,,21,27/8/2013
22,953.5,927.05,439.85,,22,27/8/2013
23,953.5,927.05,439.84,,23,27/8/2013
0,953.5,927.05,439.83,,0,28/8/2013
1,953.5,927.04,439.83,,1,28/8/2013
2,953.5,927.03,439.83,,2,28/8/2013
3,953.5,927.03,439.83,,3,28/8/2013
4,953.5,927.03,439.84,,4,28/8/2013
5,953.5,927.03,439.86,,5,28/8/2013
6,953.51,927.02,439.87,,6,28/8/2013
7,953.51,927.02,439.88,,7,28/8/2013
8,953.51,927.02,439.9,,8,28/8/2013
9,953.51,927.02,439.9,,9,28/8/2013
10,953.51,927.02,439.89,,10,28/8/2013
11,953.51,927.02,439.87,,11,28/8/2013
12,953.51,927.03,439.86,,12,28/8/2013
13,953.51,927.03,439.84,,13,28/8/2013
14,953.51,927.03,439.83,,14,28/8/2013
15,953.51,927.04,439.83,,15,28/8/2013
16,953.51,927.04,439.82,,16,28/8/2013
17,953.51,927.04,439.81,,17,28/8/2013
18,953.51,927.04,439.79,,18,28/8/2013
19,953.51,927.04,439.78,,19,28/8/2013
20,953.51,927.04,439.78,,20,28/8/2013
21,953.51,927.04,439.77,,21,28/8/2013
22,953.51,927.05,439.76,,22,28/8/2013
23,953.51,927.05,439.77,,23,28/8/2013
0,953.51,927.05,439.78,842.73,0,29/8/2013
1,953.51,927.05,439.8,842.73,1,29/8/2013
2,953.51,927.05,439.81,842.72,2,29/8/2013
3,953.51,927.04,439.83,842.71,3,29/8/2013
4,953.51,927.04,439.85,842.71,4,29/8/2013
5,953.51,927.03,439.87,842.7,5,29/8/2013
6,953.52,927.03,439.88,842.7,6,29/8/2013
7,953.52,927.03,439.88,842.72,7,29/8/2013
8,953.52,927.03,439.89,842.71,8,29/8/2013
9,953.52,927.03,439.88,842.72,9,29/8/2013
10,953.52,927.03,439.87,842.72,10,29/8/2013
11,953.52,927.03,439.86,842.72,11,29/8/2013
12,953.52,927.03,439.85,842.73,12,29/8/2013
13,953.52,927.03,439.84,842.72,13,29/8/2013
14,953.52,927.04,439.83,842.72,14,29/8/2013
15,953.52,927.04,439.81,842.74,15,29/8/2013
16,953.52,927.04,439.8,842.74,16,29/8/2013
17,953.52,927.05,439.78,842.76,17,29/8/2013
18,953.52,927.05,439.77,842.75,18,29/8/2013
19,953.52,927.05,439.76,842.73,19,29/8/2013
20,953.52,927.05,439.76,842.7,20,29/8/2013
21,953.52,927.05,439.76,842.71,21,29/8/2013
22,953.52,927.06,439.75,842.7,22,29/8/2013
23,953.52,927.06,439.77,842.68,23,29/8/2013
0,953.52,927.05,439.78,842.65,0,30/8/2013
1,953.52,927.04,439.8,842.62,1,30/8/2013
2,953.52,927.03,439.82,842.6,2,30/8/2013
3,953.52,927.02,439.84,842.58,3,30/8/2013
4,953.52,927.01,439.86,842.54,4,30/8/2013
5,953.52,927,439.87,842.52,5,30/8/2013
6,953.52,926.99,439.89,842.48,6,30/8/2013
7,953.52,927,439.91,842.45,7,30/8/2013
8,953.53,927,439.93,842.41,8,30/8/2013
9,953.53,927,439.92,842.38,9,30/8/2013
10,953.53,927,439.91,842.34,10,30/8/2013
11,953.53,927,439.89,842.32,11,30/8/2013
12,953.53,927,439.88,842.29,12,30/8/2013
13,953.53,927,439.86,842.25,13,30/8/2013
14,953.53,927.01,439.85,842.25,14,30/8/2013
15,953.53,927.01,439.84,842.19,15,30/8/2013
16,953.53,927.01,439.83,842.17,16,30/8/2013
17,953.53,927.02,439.82,842.13,17,30/8/2013
18,953.53,927.02,439.81,842.13,18,30/8/2013
19,953.53,927.02,439.8,842.11,19,30/8/2013
20,953.53,927.02,439.79,842.05,20,30/8/2013
21,953.53,927.02,439.77,841.99,21,30/8/2013
22,953.53,927.02,439.76,841.97,22,30/8/2013
23,953.53,927.02,439.76,841.96,23,30/8/2013
0,953.53,927.01,439.76,841.96,0,31/8/2013
1,953.53,927,439.78,841.96,1,31/8/2013
2,953.53,926.9,439.8,841.94,2,31/8/2013
3,953.53,926.99,439.81,841.88,3,31/8/2013
4,953.53,926.98,439.83,841.87,4,31/8/2013
5,953.53,926.98,439.84,841.88,5,31/8/2013
6,953.53,926.98,439.86,841.85,6,31/8/2013
7,953.53,926.98,439.88,841.76,7,31/8/2013
8,953.53,926.98,439.88,841.8,8,31/8/2013
9,953.53,926.98,439.87,841.79,9,31/8/2013
10,953.53,926.98,439.86,841.78,10,31/8/2013
11,953.54,926.98,439.84,841.77,11,31/8/2013
12,953.54,926.98,439.82,841.76,12,31/8/2013
13,953.54,926.97,439.8,841.75,13,31/8/2013
14,953.54,926.96,439.79,841.74,14,31/8/2013
15,953.55,926.96,439.78,841.73,15,31/8/2013
16,953.55,926.96,439.76,841.72,16,31/8/2013
17,953.56,926.95,439.75,841.71,17,31/8/2013
18,953.56,926.95,439.75,841.68,18,31/8/2013
19,953.56,926.95,439.75,841.68,19,31/8/2013
20,953.57,926.95,439.74,841.67,20,31/8/2013
21,953.57,926.95,439.74,841.68,21,31/8/2013
22,953.57,926.95,439.73,841.64,22,31/8/2013
23,953.57,926.94,439.74,841.63,23,31/8/2013
