,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,158.2359,,,,,,,,204.6959,215.8391,,50,33.151,155.85,155.85,158.72,,63.371,,,,,,,,61.885,61.885,152.9813,,11/1/2012
1,1,,,,,,,,,158.2217,,,,,,,,204.5748,215.8391,,50,33.151,155.85,155.85,,,63.371,,,,,,,,61.885,61.885,152.9711,,11/1/2012
2,2,,,,,,,,,158.1741,,,,,,,,204.6323,215.8391,,50,33.151,155.85,155.85,,,63.371,,,,,,,,61.885,,152.9807,,11/1/2012
3,3,,,,,,,,,158.2022,,,,,,,,204.6323,215.8391,,50,33.151,155.85,155.85,,,63.371,,,,,,,,61.885,61.885,152.9729,,11/1/2012
4,4,,,,,,,,,158.2461,,,,,,,,204.6323,215.8391,,50,33.151,155.85,155.85,158.72,,63.371,,,,,,,,61.885,61.885,152.9727,,11/1/2012
5,5,,,,,,,,,160.0538,,,,,,,,204.6323,215.8391,,50,33.151,155.85,155.85,158.72,,63.371,,,,,,,,61.885,61.885,152.9753,158.4914,11/1/2012
6,6,,,,,,,,,160.3424,,,,,,,,204.6323,215.8316,,50,33.151,155.85,155.85,158.72,,63.371,,,,,,,,61.885,61.885,152.9907,158.4914,11/1/2012
7,7,,,,,,,167.4966,,160.6379,,,,,165.07,,,204.6323,215.3514,,50,33.151,155.85,155.85,158.72,,63.371,,,,,,,,61.885,61.885,153.0066,158.4914,11/1/2012
8,8,,,,,,166.0574,165.1068,,161.5203,,,,,165.07,,,204.6323,215.6392,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0251,158.4914,11/1/2012
9,9,,,,,,165.6354,165.3042,168.0206,161.5404,,,,,165.07,,,204.6663,215.6611,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0294,158.4914,11/1/2012
10,10,176.2384,,,,,165.6226,165.3099,167.3843,161.5593,,,,,165.07,,,204.5475,215.5772,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0331,158.4914,11/1/2012
11,11,173.8739,175.5506,,,,165.6253,165.2426,166.1831,161.511,,,,,165.07,,,204.5404,215.5488,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0322,158.4914,11/1/2012
12,12,174.0966,173.6926,,,,165.6732,165.0745,166.212,160.0719,,,,,165.07,,,204.5692,215.5488,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0248,158.4914,11/1/2012
13,13,174.9954,173.6772,178.6721,,,165.7245,165.2099,166.2514,159.2024,,,,,165.07,,,204.5404,215.5488,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0259,158.4914,11/1/2012
14,14,174.2868,173.7029,175.0724,,,166.0174,165.4142,166.2265,159.2252,,,,,165.07,,,204.5404,215.4729,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0248,158.4914,11/1/2012
15,15,173.8988,173.9724,178.8793,,,166.2472,165.3111,165.8848,158.8043,,,,,165.07,,,204.5404,215.458,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0249,158.4914,11/1/2012
16,16,173.8988,185.4974,,,,165.6764,165.1504,165.4854,158.7705,,,,,165.07,,,204.5404,215.3731,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0525,158.4914,11/1/2012
17,17,173.8988,,,,,165.6636,164.881,165.3762,158.2786,,,,,165.07,,,204.5404,215.3653,,50,33.151,155.85,155.85,158.72,,63.371,,,,,167.541,,,61.885,61.885,153.059,158.4914,11/1/2012
18,18,173.8988,175.661,,,,165.6167,164.837,165.4011,158.2573,,,,,165.07,,,204.5404,215.3514,,50,33.151,155.85,155.85,158.72,158.72,63.371,,,,,167.541,,,61.885,61.885,153.0658,158.4914,11/1/2012
