,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,160.2347,166.8083,,,,,,,,,,198.8999,209.9193,,50,,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2159,154.9503,1/6/2012
1,01,,,,,,160.2094,,,,,,,,,,,198.8531,209.9236,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.1878,154.9503,1/6/2012
2,02,,,,,,160.2317,,,,,,,,,,,198.7664,210.0408,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2413,154.9616,1/6/2012
3,03,,,,,,160.2298,,,,,,,,,,,198.7557,209.8222,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.273,154.9702,1/6/2012
4,04,,,,,,160.2095,,,,,,,,,,,198.7557,209.8201,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2762,154.9702,1/6/2012
5,05,,,,,,160.2239,184.1256,,,,,,,,,,198.7557,209.8713,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2419,155.0512,1/6/2012
6,06,,,,,,160.2165,162.9819,,,,,,,,,,198.7557,209.9042,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2514,156.5028,1/6/2012
7,07,,,,,,160.8913,161.0708,162.5565,166.6281,,,,,,,,198.7557,209.9257,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2214,155.3628,1/6/2012
8,08,173.1201,173.3133,,,,160.9456,161.3701,161.8633,160.8831,,,,,161.774,,,198.7557,209.7353,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.5329,155.4783,1/6/2012
9,09,169.4585,169.2708,,,,160.2501,162.6069,162.023,160.9311,,,,,161.774,,,198.7182,209.621,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.178,155.8056,1/6/2012
10,10,169.4774,174.1409,171.3447,,,161.0778,162.5466,162.1601,160.9514,,,,,161.774,,,198.7151,209.5194,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.2409,155.0769,1/6/2012
11,11,172.317,,169.4245,,,161.35,161.4767,161.6798,160.7952,,,,,161.774,,,198.7151,209.6616,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.1837,154.9109,1/6/2012
12,12,,,173.719,,,160.7498,161.4399,162.1006,160.5045,,,,,161.774,,,198.7151,209.7225,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.1976,154.9609,1/6/2012
13,13,179.5273,,171.3982,,,160.3383,162.798,161.9778,161.3486,,,,,161.774,,,198.7151,209.7451,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.1759,154.9667,1/6/2012
14,14,169.8188,,169.4062,,,160.3417,162.789,161.2249,161.4208,,,,,161.774,,,198.9247,210.0001,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.1807,154.9652,1/6/2012
15,15,181.2352,,170.8333,,,160.3726,162.131,161.1798,161.1211,,,,,161.774,,,199.0286,210.0022,,50,,130.47,130.47,102.305,102.305,,63.371,,,,162.944,,,65.6,65.6,149.1806,154.9562,1/6/2012
16,16,,,184.2718,,,160.3959,161.4505,161.2056,160.9775,,,,,161.774,,,199.0319,210.0129,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.2184,154.9404,1/6/2012
17,17,,,,,,160.377,161.4552,161.1685,160.9518,,,,,161.774,,,199.0319,209.8489,,50,67.394,130.47,130.47,102.305,102.305,,63.371,,,,,,,65.6,65.6,149.4336,155.3206,1/6/2012
