,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,87.0378,,,,,,,,,,,,100.7289,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,86.0131,83.4223,1/4/2015
1,1,,,,,,,,86.9418,,,,,,,,,,,,100.7166,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,86.0012,83.3955,1/4/2015
2,2,,,,,,,,87.1919,,,,,,,,,,,,100.7194,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.9785,83.3871,1/4/2015
3,3,,,,,,,,87.2165,,,,,,,,,85.1304,,,100.7055,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.9711,83.3971,1/4/2015
4,4,,,,,,,,87.1848,,,,,,,,,85.1304,,,100.7078,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,86.0327,83.0596,1/4/2015
5,5,,,,,,,,87.2447,,,,,,,,,85.1304,,,100.7162,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.9589,83.0144,1/4/2015
6,6,,,,,,,,87.2216,,,,,,,,,85.1304,,,100.7275,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.6757,83.1889,1/4/2015
7,7,,,,,,,87.6686,87.8174,,,,,,,,,85.1304,,,100.7488,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.3137,82.9074,1/4/2015
8,8,,,,,,,85.5975,88.078,,,,,,,,86.7923,85.1304,,,100.752,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.3129,82.9811,1/4/2015
9,9,,,,,,,85.392,87.6873,,,,,,,,86.7923,85.1304,,,100.74,,,,,,,50,34.1659,83.33,83.33,,,,85.0605,82.583,,,,,,,,89.5,,89.5,85.6162,82.9045,1/4/2015
