,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,154.1176,154.9446,,,,,,,,156.223,148.156,,,190.9932,,,,,50,,155.826,,156.223,,,64.199,64.199,,,,,,,66.857,66.857,143.5024,149.9139,1/8/2013
1,1,,,,,,154.5063,154.9429,,,,,,,,156.223,148.156,,,191.0478,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,143.517,149.6666,1/8/2013
2,2,,,,,,154.2928,154.9426,,,,,,,,156.223,148.156,,,191.046,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,143.607,149.4517,1/8/2013
3,3,,,,,,154.1083,154.9085,,,,,,,,156.223,148.156,,,191.1177,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,143.5024,149.4517,1/8/2013
4,4,,,,,,154.1164,154.9369,,,,,,,,156.223,148.156,,,191.1572,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,143.6742,150.2848,1/8/2013
5,5,,,,,,154.1166,154.9452,,,,,,,,156.223,148.156,,,191.0775,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,144.4495,152.1035,1/8/2013
6,6,,,,,,154.1087,154.9462,,,,,,,,,148.156,,,191.0243,,,,,50,,155.826,,,,,64.199,64.199,,,,,,,66.857,66.857,143.8326,152.3387,1/8/2013
7,7,,,,,,154.1201,155.0428,,,,,,,,,148.156,,,190.9573,,,,,50,,155.826,155.826,156.223,,,64.199,64.199,,,,,,,66.857,66.857,143.7926,151.3936,1/8/2013
8,8,,,,,,154.1279,155.191,,,,,,,,156.223,148.156,,,190.8994,,,,,50,,155.826,155.826,156.223,156.223,,64.199,64.199,,,,,,,66.857,66.857,143.5024,149.9552,1/8/2013
9,9,,,,,,154.1432,155.1457,,,,,,,,156.223,148.156,,,190.8961,,,,,50,,155.826,155.826,156.223,156.223,,64.199,64.199,,,,,,,66.857,66.857,144.1175,150.2384,1/8/2013
10,10,,,,,,154.1512,155.2462,,,,,,,,156.223,148.156,,,190.7614,,,,,50,,155.826,155.826,156.223,156.223,,64.199,64.199,,,,,,,66.857,66.857,143.6096,149.4753,1/8/2013
11,11,,,,,,154.1655,155.2737,,,,,,,,156.223,148.156,,,190.8823,,,,,50,,155.826,155.826,156.223,156.223,,64.199,64.199,,,,,,,66.857,66.857,143.5024,149.6051,1/8/2013
