,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,84.8895,85.5966,,,,,,,,85.9431,,,,99.5734,105.1008,,,86.34,,,116.9836,,86.28,86.28,,,,90.2407,87.6123,,86.28,,,,,,92.185,,92.185,84.6378,82.6385,1/8/2015
1,1,,,,,,,84.882,85.5957,,,,,,,,85.9431,,,,99.6184,105.1242,,,,,,116.9836,,86.28,,,,,90.2407,87.6123,,86.28,,,,,,92.185,,92.185,84.2625,82.4456,1/8/2015
2,2,,,,,,,84.8863,85.5962,,,,,,,,85.9431,,,,99.575,105.1013,,,,,,116.9836,,86.28,,,,,90.2407,87.6123,,86.28,,,,,,92.185,,92.185,84.5261,82.4456,1/8/2015
3,3,,,,,,,84.8809,85.5853,,,,,,,,85.9431,,,,99.6001,105.1078,,,,,,116.9836,,86.28,,,,,90.2407,87.6123,,86.28,,,,,,92.185,,92.185,84.2814,82.4581,1/8/2015
4,4,,,,,,,84.877,85.5791,,,,,,,,85.9431,,,,99.6319,105.1341,,,,,,116.9836,,86.28,86.28,,,,90.2407,87.6123,,86.28,,,,,,92.185,,92.185,84.6891,82.4597,1/8/2015
5,5,,,,,,,84.8852,85.6089,,93.214,,,,,,85.9431,84.2769,,,99.689,105.1539,,,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.6425,82.4976,1/8/2015
6,6,,,,,,,86.0877,86.6206,,,,,,,,85.9431,84.2769,,,99.6858,105.1687,,,,,,116.9836,,86.28,,,,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.4082,82.4911,1/8/2015
7,7,,,,,,,85.2691,87.5784,,,,,,,,85.9431,84.2769,,,99.6345,104.8975,,86.34,,,,116.9836,,86.28,86.28,,,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.0092,82.46,1/8/2015
8,8,,,,,,,84.8578,88.0659,,88.4077,,,,,,85.9431,84.2769,,,99.656,105.0124,,86.34,,,,116.9836,,86.28,86.28,,,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.0972,82.4647,1/8/2015
9,9,,,,,,,84.8733,86.6875,88.861,86.7873,,,,,,85.9431,84.2769,,,99.6969,105.0264,,86.34,,,,116.9836,,86.28,86.28,,,,90.2407,87.6123,86.28,86.28,,,,89.253,,92.185,,92.185,84.1106,82.5201,1/8/2015
10,10,,,,,,,84.8838,86.1348,,86.5738,,,,,,85.9431,84.2769,,,99.5943,104.9765,,86.34,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.0151,82.3971,1/8/2015
11,11,,,,,,,84.872,86.59,89.019,86.3227,,,,,,85.9431,84.2769,,,99.6171,104.985,,86.34,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,89.253,,92.185,,92.185,84.0788,82.1444,1/8/2015
12,12,,,,,,,84.7417,86.2103,89.0929,86.299,,,,,,85.9431,84.2769,,,99.6467,104.952,,86.34,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,89.253,,92.185,,92.185,84.1787,82.1498,1/8/2015
13,13,,,,,,,84.7293,86.0787,89.0466,87.7001,,,,,,85.9431,84.2769,,,99.6506,104.8975,,86.34,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,89.253,,92.185,,92.185,84.1359,82.1465,1/8/2015
14,14,,,,,,,84.755,86.1245,,,,,,,,85.9431,84.2769,,,99.6774,104.846,,86.34,,,,116.9836,,86.28,86.28,,90.93,,90.2407,87.6123,86.28,86.28,,,,,,92.185,,92.185,84.0675,82.143,1/8/2015
