,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,,154.346,,,199.3437,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.48,157.3034,1/2/2013
1,01,,,,,,,,,,,,,,,,154.346,,,199.4208,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.48,161.7212,1/2/2013
2,02,,,,,,,,,,,,,,,,154.346,,,199.3188,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.7937,160.8894,1/2/2013
3,03,,,,,,,,,,,,,,,,154.346,,,199.2602,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.9694,167.1153,1/2/2013
4,04,,,,,,,,,,,,,,,,154.346,,,199.242,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.4918,158.989,1/2/2013
5,05,,,,,,,,,,,,,,,,154.346,,,199.2435,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.4845,157.6238,1/2/2013
6,06,,,,,,,,,,,,,,,,154.346,,,199.2621,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.4813,155.3383,1/2/2013
7,07,,,,,,160.7157,180.5834,,,,,,,,,154.346,,,199.0529,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.3017,1/2/2013
8,08,,,,,,160.1329,161.5966,,,,,,,,,154.346,,,199.1387,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.5023,1/2/2013
9,09,,,,,,160.1609,161.306,,,,,,,,162.096,154.346,,,199.6413,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.2727,1/2/2013
10,10,,,,,,160.3288,161.3109,,,,,,,,162.096,154.346,,,199.3864,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.2747,1/2/2013
11,11,,,,,,161.1219,161.2883,,,,,,,,162.096,154.346,,,199.2855,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.2747,1/2/2013
12,12,,,,,,161.1954,161.2994,,,,,,,,162.096,154.346,,,199.3532,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.5724,155.6172,1/2/2013
13,13,,,,,,162.1977,161.3344,,,,,,,,162.096,154.346,,,199.3739,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.8798,155.7418,1/2/2013
14,14,,,,,,162.1811,161.3444,,,,,,,,162.096,154.346,,,199.3878,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.5068,1/2/2013
15,15,,,,,,161.5053,161.3262,,,,,,,,162.096,154.346,,,199.3531,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.5211,1/2/2013
16,16,,,,,,160.476,161.2995,,,,,,,,162.096,154.346,,,199.3962,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.6208,1/2/2013
17,17,,,,,,160.1515,161.1516,,,,,,,,162.096,154.346,,,199.3682,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,150.0581,156.7305,1/2/2013
18,18,,,,,,160.1724,161.0521,,,,,,,,162.096,154.346,,,199.363,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.3634,1/2/2013
19,19,,,,,,160.1592,161.0649,,,,,,,,162.096,154.346,,,199.3591,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.709,1/2/2013
20,20,,,,,,160.1593,161.0545,,,,,,,,162.096,154.346,,,199.4136,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.982,1/2/2013
21,21,,,,,,160.173,165.9547,,,,,,,,162.096,154.346,,,199.4117,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,149.48,156.3617,1/2/2013
22,22,,,,,,161.331,,,,,,,,,,154.346,,,199.2933,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,149.48,155.7556,1/2/2013
23,23,,,,,,,,,,,,,,,,154.346,,,199.2666,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.8437,160.2961,1/2/2013
0,00,,,,,,,,,,,,,,,,154.346,,,199.2469,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.6805,,2/2/2013
1,01,,,,,,,,,,,,,,,,154.346,,,199.1549,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,150.135,,2/2/2013
2,02,,,,,,,,,,,,,,,,,,,199.0725,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,151.0764,,2/2/2013
3,03,,,,,,,,,,,,,,,,,,,199.122,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,151.8446,,2/2/2013
4,04,,,,,,,,,,,,,,,,,,,199.1232,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,150.0847,,2/2/2013
5,05,,,,,,,,,,,,,,,,,,,199.0215,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,149.7082,,2/2/2013
6,06,,,,,,,,,,,,,,,,,,,199.0895,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,185.2449,158.5499,2/2/2013
7,07,,,,,,161.7405,,,,,,,,,,,,,199.1269,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.4498,2/2/2013
8,08,,,,,,160.0878,163.5595,,,,,,,,162.096,,,,199.1735,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.9566,2/2/2013
9,09,,,,,,160.1538,161.0682,,,,,,,,162.096,,,,199.3384,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.3694,2/2/2013
10,10,,,,,,160.1436,161.0587,,,,,,,,162.096,,,,199.4382,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.5015,2/2/2013
11,11,,,,,,160.1374,161.0326,,,,,,,,162.096,,,,199.4544,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.1814,2/2/2013
12,12,,,,,,160.1888,161.0747,,,,,,,,162.096,,,,199.5004,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.0733,2/2/2013
13,13,,,,,,160.2301,161.1234,,,,,,,,162.096,,,,199.4876,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.3204,2/2/2013
14,14,,,,,,160.2679,161.1554,,,,,,,,162.096,,,,199.5177,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.8129,2/2/2013
15,15,,,,,,160.2698,161.1576,,,,,,,,,,,,199.4437,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.5582,2/2/2013
16,16,,,,,,160.1986,161.2473,,,,,,,,,,,,199.3803,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.3224,2/2/2013
17,17,,,,,,160.1506,161.0748,,,,,,,,162.096,,,,199.3233,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.2665,2/2/2013
18,18,,,,,,160.1812,161.105,,171.5184,,,,,,162.096,,,,199.298,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2665,2/2/2013
19,19,,,,,,160.1637,161.0754,,164.1584,,,,,,162.096,,,,199.2765,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2665,2/2/2013
20,20,,,,,,160.1611,161.0635,,174.897,,,,,,162.096,,,,199.2864,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2665,2/2/2013
21,21,,,,,,160.1782,161.0851,,,,,,,,162.096,,,,199.3091,,,50,33.486,154.35,154.35,,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.2839,2/2/2013
22,22,,,,,,160.1523,161.0552,,,,,,,,162.096,,,,199.2806,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.8302,2/2/2013
23,23,,,,,,160.176,161.0615,,,,,,,,,,,,199.196,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,156.0092,2/2/2013
0,00,,,,,,160.783,168.8192,,,,,,,,,,,,199.1435,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,156.4943,3/2/2013
1,01,,,,,,165.366,,,,,,,,,,,,,199.1002,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,156.1576,3/2/2013
2,02,,,,,,,,,,,,,,,,,,,199.0959,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,156.9781,3/2/2013
3,03,,,,,,,,,,,,,,,,,,,199.1008,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,157.5906,3/2/2013
4,04,,,,,,,,,,,,,,,,,,,199.1523,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,157.4524,3/2/2013
5,05,,,,,,,,,,,,,,,,,,,199.1964,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,157.0105,3/2/2013
6,06,,,,,,,,,,,,,,,,,,,199.2115,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,157.8404,3/2/2013
7,07,,,,,,,,,,,,,,,,,,,199.1788,,,50,33.486,154.35,,,,,64.199,64.199,,,,,,,65.595,65.595,,156.8597,3/2/2013
8,08,,,,,,,,,,,,,,,,,,,199.233,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.6447,3/2/2013
9,09,,,,,,,,,,,,,,,,,,,199.2674,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.6394,3/2/2013
10,10,,,,,,,,,,,,,,,,,,,199.2235,,,50,33.486,154.35,154.35,160.04,,,64.199,64.199,,,,,,,65.595,65.595,,155.4688,3/2/2013
11,11,,,,,,,,,,,,,,,,,,,199.3116,,,50,33.486,154.35,154.35,160.04,,,64.199,64.199,,,,,,,65.595,65.595,,155.2051,3/2/2013
12,12,,,,,,,,,,,,,,,,,,,199.3508,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,,155.2346,3/2/2013
13,13,,,,,,,,,,,,,,,,,,,199.3856,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.9183,3/2/2013
14,14,,,,,,,,,,,,,,,,,,,199.4548,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.7693,3/2/2013
15,15,,,,,,,,,,,,,,,,,,,199.3034,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,,,65.595,65.595,,156.0006,3/2/2013
16,16,,,,,,,,,,,,,,,,,,,199.3115,,,50,33.486,154.35,154.35,160.04,,,64.199,64.199,,,,,,,65.595,65.595,,155.1829,3/2/2013
17,17,,,,,,160.959,173.5796,,,,,,,,162.096,,,,199.2999,,,50,33.486,154.35,154.35,160.04,,,64.199,64.199,,,,,,,65.595,65.595,,155.2446,3/2/2013
18,18,,,,,,159.7531,161.0314,,168.2915,,,,,,162.096,,,,199.3664,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2536,3/2/2013
19,19,,,,,,159.6088,161.0522,,164.7248,,,,,,162.096,,,,199.3977,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2365,3/2/2013
20,20,,,,,,159.5597,161.053,,175.048,,,,,,162.096,,,,199.4389,,,50,33.486,154.35,154.35,160.04,160.04,,64.199,64.199,,,,,162.344,,65.595,65.595,,155.2365,3/2/2013
21,21,,,,,,159.5635,161.0566,,,,,,,,162.096,,,,199.4151,,,50,33.486,154.35,154.35,160.04,,,64.199,64.199,,,,,,,65.595,65.595,,155.264,3/2/2013
22,22,,,,,,159.5854,161.0699,,,,,,,,162.096,,,,199.4087,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.3025,3/2/2013
23,23,,,,,,160.5177,170.6826,,,,,,,,,,,,199.4235,,,50,33.486,154.35,154.35,,,,64.199,64.199,,,,,,,65.595,65.595,,155.2996,3/2/2013
0,00,,,,,,,,,,,,,,,,,,,202.766,,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,,,65.595,65.595,,159.1153,4/2/2013
1,01,,,,,,,,,,,,,,,,,,,202.7636,,,50,33.486,163.086,,,,,64.199,64.199,,,,,,,65.595,65.595,,159.6231,4/2/2013
2,02,,,,,,,,,,,,,,,,,,,202.7591,,,50,33.486,,,,,,64.199,64.199,,,,,,,65.595,65.595,,159.763,4/2/2013
3,03,,,,,,,,,,,,,,,,,,,202.7925,,,50,33.486,,,,,,64.199,64.199,,,,,,,65.595,65.595,,160.2201,4/2/2013
4,04,,,,,,,,,,,,,,,,,,,202.7706,,,50,33.486,163.086,,,,,64.199,64.199,,,,,,,65.595,65.595,,158.9262,4/2/2013
5,05,,,,,,167.2681,,,,,,,,,,,,,202.6012,214.366,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,,,65.595,65.595,,157.5856,4/2/2013
6,06,,,,,,163.0768,,,,,,,,,,,,,202.4787,214.366,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,,,65.595,65.595,,157.6118,4/2/2013
7,07,,,,,,162.6464,165.8927,,,,,,,,164.657,,,,202.5574,213.8355,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,165.054,,65.595,65.595,,158.496,4/2/2013
8,08,,,,,,162.7057,163.8652,,170.8621,,,,,,164.657,,,,202.5893,213.5895,,50,33.486,163.086,163.086,165,,,64.199,64.199,,,,,165.054,,65.595,65.595,,158.4869,4/2/2013
9,09,,,,,,162.7053,163.7943,,165.8915,,,,,,164.657,,,,202.7104,213.6958,,50,33.486,163.086,163.086,165,,,64.199,64.199,,,,,165.054,,65.595,65.595,,158.206,4/2/2013
10,10,,,,,,162.7189,163.6257,,165.6305,,,,,,164.657,,,,202.8044,213.7507,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,158.1593,4/2/2013
11,11,,,,,,162.7142,163.7756,,165.2443,,,,,,164.657,,,,202.7702,213.6323,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9313,4/2/2013
12,12,,,,,,162.7308,163.8707,,165.5247,,,,,,164.657,,,,202.7544,213.7117,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.8026,4/2/2013
13,13,,,,,,162.7333,163.8618,165.9941,165.7275,,,,,,164.657,,,,202.6954,213.7245,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9208,4/2/2013
14,14,,,,,,162.7549,163.8628,166.0161,165.7435,,,,,,164.657,,,,202.6824,213.7085,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9738,4/2/2013
15,15,,,,,,162.7529,163.865,165.7221,165.5107,,,,,,164.657,,,,202.6716,213.6717,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9738,4/2/2013
16,16,,,,,,162.7404,163.6876,166.2902,165.5929,,,,,,164.657,,,,202.6531,213.7502,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9738,4/2/2013
17,17,,,,,,162.7294,163.6315,,165.7175,,,,,,164.657,,,,202.5742,213.6819,,50,33.486,163.086,163.086,165,,,64.199,64.199,,,,,165.054,,65.595,65.595,,157.9738,4/2/2013
18,18,181.9866,179.8887,179.7228,,,162.7211,163.616,165.9379,165.719,,,,,,164.657,,,,202.5614,213.6349,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,166.507,165.054,,65.595,65.595,,157.9738,4/2/2013
19,19,173.3751,174.5988,172.8254,,,162.7078,163.6068,165.9769,165.7288,,,,,,164.657,,,,202.6203,213.6745,,50,33.486,163.086,163.086,165,165,,64.199,64.199,,,,166.507,165.054,,65.595,65.595,,158.5451,4/2/2013
20,20,,,183.8171,,,162.7296,163.6377,166.2989,167.7233,,,,,,164.657,,,,202.6527,213.6574,,50,33.486,163.086,163.086,165,,,64.199,64.199,,,,166.507,165.054,,65.595,65.595,,157.9798,4/2/2013
21,21,,,,,,162.7281,163.6336,,177.2494,,,,,,164.657,,,,202.692,213.7075,,50,33.486,163.086,163.086,165,,,64.199,64.199,,,,,,,65.595,65.595,,157.9905,4/2/2013
22,22,,,,,,162.7056,164.2463,,,,,,,,164.657,,,,202.6797,213.6995,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,,,65.595,65.595,,157.9905,4/2/2013
23,23,,,,,,162.7838,167.4998,,,,,,,,,,,,202.6966,213.7538,,50,33.486,163.086,163.086,,,,64.199,64.199,,,,,,,65.595,65.595,,158.8566,4/2/2013
0,00,,,,,,166.0063,,,,,,,,,,,,,202.6932,213.7667,,50,33.486,163.086,,,,,64.199,64.199,,,,,,,65.595,65.595,,157.9156,5/2/2013
