,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,,,,,197.3794,208.4763,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,149.7282,,1/4/2013
1,01,,,,,,,,,,,,,,,,,,,197.2916,208.5659,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,150.6433,,1/4/2013
2,02,,,,,,,,,,,,,,,,,,,197.2905,208.4113,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,150.6305,,1/4/2013
3,03,,,,,,,,,,,,,,,,,,,197.283,208.1957,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,148.9395,,1/4/2013
4,04,,,,,,,,,,,,,,,,152.901,,,197.3206,207.9629,,50,33.486,,,,,,64.199,64.199,,,,,,,65.595,65.595,148.04,,1/4/2013
5,05,,,,,,,,,,,,,,,,152.901,,,197.3214,207.8892,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,148.0405,,1/4/2013
6,06,,,,,,,,,,,,,,,,152.901,,,197.3008,208.0491,,50,33.486,153.44,,,,,64.199,64.199,,,,,,,65.595,65.595,148.0398,159.8035,1/4/2013
7,07,,,,,,159.1153,,,,,,,,,,152.901,,,197.3031,208.0622,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,,,,65.595,65.595,148.0398,154.2952,1/4/2013
8,08,,,,,,158.1557,161.7899,,,,,,,,160.658,152.901,,,197.3806,207.8336,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,,,,65.595,65.595,148.0398,153.904,1/4/2013
9,09,,,,,,158.2016,159.9125,,168.6789,,,,,,160.658,152.901,,,197.3772,207.8975,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,,160.822,,65.595,65.595,148.0398,154.0725,1/4/2013
10,10,,,,,,158.1925,159.8883,162.2781,160.7558,,,,,,160.658,152.901,,,197.3847,207.6391,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,162.236,160.822,,65.595,65.595,148.0398,154.0136,1/4/2013
11,11,,,,,,158.628,159.9025,161.9931,160.731,,,,,,160.658,152.901,,,197.5239,207.7727,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,162.236,160.822,,65.595,65.595,148.0398,153.9545,1/4/2013
12,12,,,,,,159.1829,160.0095,162.5579,160.7215,,,,,,160.658,152.901,,,197.4875,207.6543,,50,33.486,153.44,153.44,160.66,,,64.199,64.199,,,,162.236,160.822,,65.595,65.595,148.0402,153.5555,1/4/2013
