,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,153.4433,154.2537,,,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,155.214,,66.857,66.857,142.923,149.7295,1/6/2013
1,01,,,,,,153.4409,154.2621,,,,,,,,,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,149.1158,1/6/2013
2,02,,,,,,153.4315,154.2684,,,,,,,,,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,143.0455,149.1376,1/6/2013
3,03,,,,,,153.4474,154.2882,,,,,,,,,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,149.2073,1/6/2013
4,04,,,,,,153.444,154.2599,,,,,,,,,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,155.214,,66.857,66.857,142.923,149.2172,1/6/2013
5,05,,,,,,153.4418,154.2653,,,,,,,,,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,155.214,,66.857,66.857,142.9306,149.2457,1/6/2013
6,06,,,,,,153.4443,154.2548,,,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,155.214,,66.857,66.857,142.923,149.2457,1/6/2013
7,07,,,,,,153.4494,154.2721,,,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,155.214,,66.857,66.857,142.923,148.8351,1/6/2013
8,08,,,,,,153.4628,154.2842,,159.7635,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,148.8947,1/6/2013
9,09,,,,,,153.455,154.2703,156.5985,155.8478,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,148.8896,1/6/2013
10,10,,,,,,153.4762,154.3025,157.0838,155.8618,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,149.0638,1/6/2013
11,11,,,,,,153.4949,154.2994,157.0937,155.8613,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,149.0081,1/6/2013
12,12,,,,,,153.4774,154.2901,157.086,155.8484,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,150.6529,1/6/2013
13,13,,,,,,153.4894,154.2955,157.0328,155.8523,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,150.8157,1/6/2013
14,14,,,,,,153.4886,154.2928,,155.8591,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,,,64.199,64.199,,,,,,,66.857,66.857,142.923,150.3786,1/6/2013
15,15,,,,,,153.4874,154.2947,156.512,159.4926,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,149.0437,1/6/2013
16,16,,,,,,153.4935,154.2974,156.512,,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,142.923,148.6686,1/6/2013
17,17,,,,,,153.4815,154.2897,156.2871,166.2496,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,,,64.199,64.199,,,,,,,66.857,66.857,142.923,148.6436,1/6/2013
18,18,167.4052,167.5267,164.7589,168.6243,,153.4627,154.268,155.9297,155.8373,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,156.576,,,66.857,66.857,142.923,149.4254,1/6/2013
19,19,163.2289,162.4027,162.489,163.6213,,153.4443,154.2745,156.2537,155.6969,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,156.576,,,66.857,66.857,142.923,150.19,1/6/2013
20,20,163.2206,164.2761,162.7875,166.1649,,153.4305,154.2636,155.9536,155.6692,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,156.576,,,66.857,66.857,142.923,150.4429,1/6/2013
21,21,176.3182,177.916,173.7494,,,153.4465,154.2685,155.964,155.6941,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,156.576,,,66.857,66.857,142.923,149.7846,1/6/2013
22,22,178.1452,,178.1529,,,153.4492,154.273,156.3121,155.7058,,,,,,155.644,147.575,,,,,,50,33.824,147.575,147.575,142.923,142.923,,64.199,64.199,,,,,,,66.857,66.857,143.0322,150.4376,1/6/2013
