,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,159.3701,172.7069,,,,,,,,,,,,192.5321,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,147.0191,157.5732,1/11/2013
1,1,,,,,,,,,,,,,,,,,,,,192.4905,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,147.2306,,1/11/2013
2,2,,,,,,,,,,,,,,,,,,,,192.4376,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,147.241,,1/11/2013
3,3,,,,,,,,,,,,,,,,,,,,192.4003,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,,,66.857,66.857,147.2248,,1/11/2013
4,4,,,,,,,,,,,,232.52,,,,,,,,192.412,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,,,66.857,66.857,145.3818,154.6498,1/11/2013
5,5,,,,,,,156.5319,158.7136,,,,232.52,,,,157.325,,,,192.3996,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,144.6086,151.2859,1/11/2013
6,6,,,,,,,155.8764,156.2216,,,,,,,,157.325,,,,192.3935,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,144.606,151.5225,1/11/2013
7,7,,,,,,,155.8739,156.2766,,162.952,,,,,,157.325,,,,192.4395,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,,156.993,,66.857,66.857,144.6097,151.3221,1/11/2013
8,8,,167.8858,168.454,166.8295,169.4687,,155.9505,156.2672,161.1743,157.5048,,232.52,,,,157.325,,,,192.4636,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,145.3508,151.6549,1/11/2013
9,9,,164.5631,165.6624,164.4231,166.7838,180.4305,155.9906,156.263,161.21,157.5083,,,,,,157.325,,,,191.818,,,106.68,106.68,,,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.8493,151.6128,1/11/2013
10,10,,164.5184,165.6376,164.419,166.6558,169.5051,156.7803,156.3951,161.2111,157.4924,,,,,,157.325,,,,185.9344,,,106.68,106.68,,65.51,,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,145.6789,151.0925,1/11/2013
11,11,,164.7168,165.7522,164.5159,166.5686,168.1577,157.1669,156.5061,161.1686,157.5323,,232.52,,,,157.325,,,,185.6529,,,106.68,106.68,,65.51,,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6319,150.6224,1/11/2013
12,12,,164.7679,165.8697,164.5237,166.2579,168.2639,157.0218,156.564,161.2011,157.5365,,,,,,157.325,,,,186.1589,,,106.68,106.68,,65.51,,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6119,151.4123,1/11/2013
13,13,,164.7753,165.8708,164.549,165.9539,168.2651,156.4925,156.5933,161.2769,157.6832,,,,,,157.325,,,,186.112,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6266,150.997,1/11/2013
14,14,,164.7253,165.865,164.5183,165.7355,168.2839,157.2556,156.4848,161.1205,157.6841,,,,,,157.325,,,,185.3143,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6805,150.8986,1/11/2013
15,15,,164.7206,165.8752,164.6972,165.8374,168.3539,156.5441,156.4418,160.5294,157.5408,,232.52,,,,157.325,,,,189.8436,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6343,151.5445,1/11/2013
16,16,,164.7015,165.4246,168.4012,169.1835,171.6758,156.017,159.1077,160.5348,157.0738,,232.52,,,,157.325,,,,192.8226,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.606,151.8441,1/11/2013
17,17,,165.0281,164.6463,167.5999,174.365,171.046,155.9478,156.3218,160.5649,156.5995,,232.52,,,,157.325,,,,190.534,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6077,151.166,1/11/2013
18,18,,164.6348,164.5489,165.7633,165.7759,168.2777,155.9094,156.3198,160.5478,156.326,,232.52,,,,157.325,,,,186.0946,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.6064,151.6214,1/11/2013
19,19,,164.8736,164.5599,165.4848,165.8295,168.239,155.9098,156.2964,160.4515,156.5197,,232.52,,,,157.325,,,,186.0979,,,106.68,106.68,,65.51,142.58,142.58,,105.58,,65.006,65.006,,,,158.372,156.993,,66.857,66.857,144.606,151.4152,1/11/2013
