,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,64.9747,66.1807,,69.3757,,,,,,66.2783,64.5101,,,73.6679,77.6338,,,72.175,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.527,62.5822,1/9/2015
1,01,,,,,,,64.9781,66.176,,,,,,,,66.2783,64.5101,,,73.6961,77.6764,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.4076,62.6304,1/9/2015
2,02,,,,,,,64.9821,66.1829,,,,,,,,66.2783,64.5101,,,73.6866,77.5478,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,,,92.185,,92.185,64.3427,62.564,1/9/2015
3,03,,,,,,,64.9788,66.217,,,,,,,,66.2783,64.5101,,,73.6623,77.5747,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,,,92.185,,92.185,64.3631,62.5783,1/9/2015
4,04,,,,,,,64.9692,66.1758,,,,,,,,66.2783,64.5101,,,73.672,77.6028,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.342,62.5605,1/9/2015
5,05,,,,,,,64.9689,66.1756,,68.5262,,,,,,66.2783,64.5101,,,73.6916,77.5956,,,,,,116.9836,,,73.66,,78.759,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.4578,62.6249,1/9/2015
6,06,,,,,,,64.9678,66.1768,68.6499,67.0589,,,,,,66.2783,64.5101,,,73.4691,77.5633,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.3564,62.6177,1/9/2015
7,07,,,,74.4269,,,64.9734,66.1897,68.6468,67.0594,,,,,,66.2783,64.5101,,,71.1948,77.595,,,,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.4269,62.5974,1/9/2015
8,08,,74.6092,74.0525,73.0876,,,65.1259,66.2781,68.6558,67.0901,,,,,,66.2783,64.5101,,,71.2807,77.6066,,,72.175,,,116.9836,,,73.66,,78.759,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.3306,62.589,1/9/2015
9,09,,73.602,72.7443,73.0877,,,65.2274,66.3006,68.6633,67.0946,,,,,,66.2783,64.5101,,,71.2746,77.6259,,,72.175,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.4659,62.6245,1/9/2015
10,10,,73.2398,72.7651,73.0826,,,65.2662,66.3702,68.7226,67.1149,,,,,,66.2783,64.5101,,,71.2874,77.616,,,72.175,,,116.9836,,,73.66,,,,90.2407,87.6123,74.009,,,,,68.248,67.165,92.185,,92.185,64.3968,62.5984,1/9/2015
