,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,159.2182,,,,,,,,,152.763,,,197.3078,208.0784,,50,33.486,158.1,158.1,,159.4,,64.199,64.199,,,,,,,65.595,65.595,147.9109,154.3802,1/1/2013
1,01,,,,,,,167.4394,,,,,,,,,152.763,,,197.371,207.6156,,50,33.486,158.1,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,148.6663,155.3021,1/1/2013
2,02,,,,,,,,,,,,,,,,152.763,,,197.4475,207.747,,50,33.486,158.1,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,148.3219,160.8453,1/1/2013
3,03,,,,,,,,,,,,,,,,152.763,,,197.3753,207.9663,,50,33.486,158.1,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,148.2658,159.0785,1/1/2013
4,04,,,,,,,,,,,,,,,,152.763,,,197.1973,208.4185,,50,33.486,,,,,,64.199,64.199,,,,,,,65.595,65.595,148.856,159.1325,1/1/2013
5,05,,,,,,,,,,,,,,,,152.763,,,197.0612,208.1154,,50,33.486,,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,151.5071,,1/1/2013
6,06,,,,,,,,,,,,,,,,,,,196.9057,208.1039,,50,33.486,,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,,,1/1/2013
7,07,,,,,,,,,,,,,,,,,,,196.9057,208.4438,,50,33.486,158.1,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,,,1/1/2013
8,08,,,,,,,,,,,,,,,,,,,196.8831,207.8046,,50,33.486,158.1,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,154.3985,,1/1/2013
9,09,,,,,,,,,,,,,,,,152.763,,,197.1224,208.0411,,50,33.486,,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,149.7772,,1/1/2013
10,10,,,,,,,,,,,,,,,,152.763,,,197.1087,207.9974,,50,33.486,,158.1,,,,64.199,64.199,,,,,,,65.595,65.595,147.903,,1/1/2013
11,11,,,,,,,,,,,,,,,,152.763,,,197.0145,207.864,,50,33.486,,158.1,,159.4,,64.199,64.199,,,,,,,65.595,65.595,147.903,,1/1/2013
12,12,,,,,,,,,,,,,,,,152.763,,,196.9951,207.7393,,50,33.486,,158.1,,159.4,,64.199,64.199,,,,,,,65.595,65.595,147.9036,,1/1/2013
13,13,,,,,,,,,,,,,,,,152.763,,,197.0003,207.7492,,50,33.486,,158.1,,159.4,,64.199,64.199,,,,,,,65.595,65.595,147.903,,1/1/2013
14,14,,,,,,,,,,,,,,,,152.763,,,196.9951,207.6802,,50,33.486,,158.1,,159.4,,64.199,64.199,,,,,,,65.595,65.595,147.903,,1/1/2013
