,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,70.4494,71.043,,71.6674,,,,,,71.2657,69.5234,,,80.2269,84.572,,84.25,,49.9845,,,,,,,,,90.2407,87.6123,,123.5,,,,,72.444,92.185,,92.185,69.3137,67.4791,1/11/2015
1,1,,,,,,,70.4559,71.0357,73.6737,71.6613,,123.503,,,,71.2657,69.5234,,,80.2529,84.5629,,,,49.969,,,,123.5,,,,,90.2407,87.6123,,,,,,73.575,72.444,92.185,,92.185,69.3222,67.4837,1/11/2015
2,2,,,,,,,70.463,,73.346,71.6621,,,,,,71.2657,69.5234,,,80.312,84.5414,,,,49.97,,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3043,67.4732,1/11/2015
3,3,,,,,,,70.444,,73.3443,71.6621,,,,,,71.2657,69.5234,,,80.314,84.5472,,,,49.9625,,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3075,67.4912,1/11/2015
4,4,,79.7877,,,,,70.4486,,73.3489,71.63,,,,,,71.2657,69.5234,,,80.2676,84.4963,,,,45.44,,,,123.5,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3043,67.632,1/11/2015
5,5,,80.6684,,,,,70.4459,,73.3381,72.0471,,,,,,71.2657,69.5234,,,80.2644,84.4599,,,,49.9845,,,,123.5,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3098,67.6381,1/11/2015
6,6,,,,,,,70.4377,,73.3395,72.2342,,,,,,71.2657,69.5234,,,80.2548,84.7211,,,,45.4247,,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3633,67.8308,1/11/2015
7,7,,79.0976,78.617,,,,70.459,,73.4855,72.2912,,,,,,71.2657,69.5234,,,80.2156,84.493,,84.25,,45.39,,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.4776,67.8151,1/11/2015
8,8,,77.8579,77.8633,81.8276,,,70.4736,,73.5157,72.3069,123.503,,,,,71.2657,69.5234,,,78.0654,84.5218,,84.25,,,34.42,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.3141,67.7988,1/11/2015
9,9,,77.8824,77.901,79.2607,,,70.5124,,73.5444,72.3022,,,,,,71.2657,69.5234,,,77.6456,84.5161,,84.25,,45.3,,,,,,,,,90.2407,87.6123,,,,,,73.575,72.444,,,,69.5361,67.8427,1/11/2015
