,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,94.5485,98.3383,,96.382,,,,,,95.9762,,,,112.8456,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.0729,92.3483,1/6/2015
1,1,,,,,,,94.5268,97.9956,,98.4258,,,,,,95.9762,,,,112.8034,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.2047,92.3457,1/6/2015
2,2,,,,,,,94.5881,96.0426,,,,,,,,95.9762,,,,112.8476,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.0579,92.3475,1/6/2015
3,3,,,,,,,94.8468,96.0544,,,,,,,,95.9762,,,,112.9003,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.0685,92.3452,1/6/2015
4,4,,,,,,,94.8477,96.0431,,99.6487,,,,,,95.9762,,,,112.9243,,,,,,,116.9836,114.7363,100.37,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.1923,92.3359,1/6/2015
5,5,,,,,,,94.8503,98.3387,,96.4117,,,,,,95.9762,,,,112.9363,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,95.0476,92.3482,1/6/2015
6,6,,,,,,,94.8535,98.8251,99.109,96.4345,,,,,,95.9762,,,,112.9362,,,,,,,116.9836,114.7363,,100.37,,,,90.2407,87.6123,101.86,,,,,,,89.5,,89.5,94.5423,92.3529,1/6/2015
7,7,,111.5423,111.6994,,,,95.1382,98.5571,99.2817,96.4564,,,,,,95.9762,,,,112.9622,,,,,,,116.9836,114.7363,,100.37,106.9,,,90.2407,87.6123,101.86,,,,,99.969,98.599,89.5,,89.5,94.3571,92.3335,1/6/2015
8,8,,104.8017,103.5717,105.1454,,,95.3895,98.1663,99.471,96.666,,,,,,95.9762,,,,112.9793,,,,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,,,,,99.969,98.599,89.5,,89.5,94.1673,92.3305,1/6/2015
9,9,,103.7504,103.0051,103.8569,106.2845,107.4686,95.3142,96.7839,99.2473,96.6681,,,,,,95.9762,,,,112.8882,,,,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,,,,,99.969,98.599,89.5,,89.5,94.343,92.3396,1/6/2015
10,10,,103.7382,103.022,103.876,105.0237,106.0938,95.6544,96.3961,99.1952,96.6868,,,,,,95.9762,,,,110.1671,,,,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.2971,92.3705,1/6/2015
11,11,,103.7453,103.0169,103.9097,105.0196,106.1225,95.4525,96.4361,99.1022,96.6731,,,,,,95.9762,,,,109.1976,,,,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.6067,92.3475,1/6/2015
12,12,,103.7765,103.019,103.9209,105.0156,106.1351,95.4758,96.4196,98.9349,96.6787,,155.187,,,,95.9762,,,,109.2049,,,,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,95.469,92.6667,1/6/2015
13,13,,103.8008,103.0275,103.9377,105.0362,106.4471,95.3689,96.4393,99.0707,96.6787,155.187,155.187,,,,95.9762,,,,109.2094,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,95.4444,92.3191,1/6/2015
14,14,,104.237,103.0508,103.9436,105.0264,106.7622,95.5114,96.4572,98.7948,96.5218,155.187,155.187,,,,95.9762,,,,109.2092,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,95.3576,92.3492,1/6/2015
15,15,,104.4547,103.0793,103.9713,105.0181,106.7452,95.6581,96.6567,98.7479,96.2885,155.187,155.187,,,,95.9762,,,,109.2089,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,95.2173,92.3626,1/6/2015
16,16,,103.7147,103.1187,103.9873,105.042,107.2368,95.6925,96.1934,98.77,96.2286,155.187,155.187,,,,95.9762,,,,109.0793,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.8151,92.3649,1/6/2015
17,17,,103.7382,103.5572,104.0314,109.3837,114.1399,96.0835,96.0254,98.7578,96.239,,,,,,95.9762,,,,112.5087,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.5743,92.3621,1/6/2015
18,18,,103.7632,103.0933,104.029,105.8859,107.2146,95.6649,96.0189,98.75,96.1829,155.187,155.187,,,,95.9762,,,,109.8335,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.4618,92.339,1/6/2015
19,19,,103.7639,103.0022,104.0035,105.0297,106.0901,95.5874,95.9903,98.7225,96.137,155.187,155.187,,,,95.9762,,,,109.2151,,,105.56,,,,116.9836,114.7363,100.37,100.37,106.9,,,90.2407,87.6123,101.86,101.86,,,,99.969,98.599,89.5,,89.5,94.394,92.3474,1/6/2015
