,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,144.6053,158.5642,,,,,,,,145.8323,138.7786,,,179.0393,188.6601,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2857,140.4077,1/10/2014
1,1,,,,,,,144.5926,,,,,,,,,145.8323,138.7786,,,179.135,188.7528,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.7555,140.4984,1/10/2014
2,2,,,,,,,144.5902,154.2149,,,,,,,,,138.7786,,,178.8606,188.6714,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2876,139.7598,1/10/2014
3,3,,,,,,,144.5995,145.451,,,,,,,,145.8323,,,,178.7787,188.6098,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.296,140.1775,1/10/2014
4,4,,,,,,,144.6054,145.4841,,,,,,,,145.8323,138.7786,,,178.8728,188.6295,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.6996,139.9354,1/10/2014
5,5,,,,,,,144.6067,145.5081,,,,,,,,145.8323,138.7786,,,179.0912,188.648,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2857,140.1327,1/10/2014
6,6,,,,,,,144.6157,145.509,,159.03,,,,,,145.8323,138.7786,,,178.8139,188.5867,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,135.242,140.2777,1/10/2014
7,7,,,,,,,144.6308,145.5252,,150.7908,,,,,,145.8323,138.7786,,,178.8336,188.5303,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.7535,140.3351,1/10/2014
8,8,,,158.0763,159.826,,,144.6258,145.7451,150.3969,146.6581,,,,,,145.8323,138.7786,,,178.798,188.6803,,129.25,,,,,,154.6,,,,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.4181,140.1044,1/10/2014
9,9,,163.8359,153.8413,155.9136,169.61,,144.6494,145.8919,150.1989,146.9121,,,,,,145.8323,138.7786,,,178.8927,188.701,,129.25,,,,,,154.6,,,,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.7641,139.8822,1/10/2014
10,10,,157.5402,156.8513,155.691,163.3024,,145.1474,146.0059,150.1893,147.0975,,,,,,145.8323,138.7786,,,176.1804,188.7636,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7361,1/10/2014
11,11,,155.6755,,155.8489,,,145.5197,145.8782,150.456,147.0753,211.369,211.369,,,,145.8323,138.7786,,,172.8597,186.8989,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7664,1/10/2014
12,12,,155.6651,,155.8998,,,145.4819,145.8396,149.9068,147.0804,211.369,211.369,,,,145.8323,138.7786,,,172.8563,176.2099,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.769,1/10/2014
13,13,,155.6861,,155.924,,,145.5035,145.8536,149.9595,147.0804,211.369,211.369,,,,145.8323,138.7786,,,172.8489,175.2115,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7724,1/10/2014
14,14,,155.5101,160.9517,156.1151,159.7144,163.4805,145.5365,145.6834,150.1976,147.0804,211.369,211.369,,,,145.8323,138.7786,,,172.875,175.2869,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7528,1/10/2014
15,15,,154.7574,153.8019,156.0176,155.1417,156.6657,145.4533,145.5938,150.475,146.7925,,,,,,145.8323,138.7786,,,172.8741,175.1999,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.0052,1/10/2014
16,16,,154.7512,154.2103,155.939,155.5294,156.8917,144.8136,145.5098,149.6878,146.6611,,,,,,145.8323,138.7786,,,173.1973,182.5506,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.2986,1/10/2014
17,17,,154.7584,154.7997,155.7871,155.4927,156.9938,144.6713,145.439,149.6826,146.651,,,,,,145.8323,138.7786,,,178.1364,187.7298,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.7911,140.1812,1/10/2014
18,18,,154.742,153.899,155.8151,156.0764,156.6504,144.6077,145.3345,149.6747,146.6105,,,,,,145.8323,138.7786,,,172.6999,176.3869,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.0884,1/10/2014
19,19,,154.7539,153.8781,155.8046,156.3495,156.6806,144.5865,145.3138,149.8543,146.4721,,,,,,145.8323,138.7786,,,172.836,185.3601,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.0535,1/10/2014
20,20,,155.2319,154.2127,160.9226,158.2693,159.7926,144.5633,145.3636,150.221,146.462,,,,,,145.8323,138.7786,,,176.5339,188.6412,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.7404,140.1693,1/10/2014
21,21,,166.4053,164.8696,168.37,,,144.5511,145.3515,150.1371,148.1961,,,,,,145.8323,138.7786,,,179.0732,188.6357,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,135.2917,140.4306,1/10/2014
22,22,,168.543,,,,,144.5745,145.326,150.037,,,,,,,145.8323,138.7786,,,178.9256,188.422,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.4778,140.5661,1/10/2014
23,23,,,,,,,144.5538,146.0542,,,,,,,,145.8323,,,,178.8526,188.4553,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.6992,140.1954,1/10/2014
0,0,,,,,,,144.5484,159.8613,,,,,,,,145.8323,,,,178.9429,188.472,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.4726,139.7888,2/10/2014
1,1,,,,,,,144.5643,,,,,,,,,145.8323,138.7786,,,178.8728,188.3596,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.9751,139.8154,2/10/2014
2,2,,,,,,,144.5461,,,,,,,,,145.8323,138.7786,,,178.8451,188.4602,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.9455,139.9459,2/10/2014
3,3,,,,,,,144.5515,,,,,,,,,145.8323,138.7786,,,178.8921,188.4193,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.8191,140.5273,2/10/2014
4,4,,,,,,,144.5504,,,,,,,,,145.8323,138.7786,,,178.8633,188.3752,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2881,140.5818,2/10/2014
5,5,,,,,,,144.5404,,,,,,,,,145.8323,138.7786,,,178.8539,188.392,,,,,,,,154.6,,,154.6,,85.0605,82.583,,,,,,89.5,,89.5,134.2857,140.0096,2/10/2014
6,6,,,,,,,144.5501,,,,,,,,,145.8323,138.7786,,,178.967,188.363,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.832,140.359,2/10/2014
7,7,,,,,,,144.5687,147.2457,,,,,,,,145.8323,138.7786,,,178.9795,188.4151,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,135.1631,140.2388,2/10/2014
8,8,,160.195,,160.8148,,,144.9193,145.2892,150.2588,150.1746,,,,,,145.8323,138.7786,,,178.9696,188.4626,,129.25,,,,,,154.6,,,,,85.0605,82.583,,,,,151.371,89.5,,89.5,134.6174,140.1581,2/10/2014
9,9,,155.929,,155.6564,,,145.4485,145.5093,150.4304,146.6122,,,,,,145.8323,138.7786,,,178.798,188.3572,,129.25,,,,,,,,,,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.767,140.3884,2/10/2014
10,10,,155.913,168.3734,155.6542,,,145.4234,145.5072,150.4133,146.9306,,,,,,145.8323,138.7786,,,178.8173,188.3277,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,135.1557,140.0838,2/10/2014
11,11,,155.8018,156.0305,155.8719,169.61,,145.463,145.4967,150.5231,146.5998,,,,,,145.8323,138.7786,,,178.8021,188.2876,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.7375,139.9599,2/10/2014
12,12,,155.8487,167.7135,155.9882,,,145.5085,145.5116,150.5287,146.6942,,,,,,145.8323,138.7786,,,178.8484,188.2947,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,135.5374,140.0775,2/10/2014
13,13,,155.9148,,156.0049,,,145.5115,145.4041,150.5039,146.6106,,,,,,145.8323,138.7786,,,178.8085,188.3088,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,135.2332,139.9357,2/10/2014
14,14,,155.9549,155.274,156.1363,,,145.4974,145.3917,150.5293,146.258,,,,,,145.8323,138.7786,,,178.7607,188.2533,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.1549,2/10/2014
15,15,,155.906,153.8895,156.145,163.8807,163.5069,145.458,145.5781,150.5112,146.1978,,,,,,145.8323,138.7786,,,177.5885,188.3418,,129.25,,,,,,154.6,,154.6,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7418,2/10/2014
16,16,,155.8034,153.9223,156.1297,158.4456,159.797,145.4299,145.5836,150.3528,146.2029,,,,,,145.8323,138.7786,,,178.1911,188.3093,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.5706,140.2022,2/10/2014
17,17,,162.9694,156.3914,160.1793,169.61,,144.9057,145.7093,149.6794,146.2041,,,,,,145.8323,138.7786,,,178.6284,188.2434,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.5406,140.0016,2/10/2014
18,18,,155.1114,153.8331,155.4274,156.4685,157.4727,145.1847,145.8185,149.6814,146.1443,,,,,,145.8323,138.7786,,,178.7279,188.3257,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.3027,2/10/2014
19,19,,154.3965,153.9067,155.7002,155.1838,161.882,145.3758,145.784,149.8431,146.1443,,,,,,145.8323,138.7786,,,178.7293,188.6743,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.0639,2/10/2014
20,20,,156.5615,153.894,159.977,163.1192,,145.382,145.764,149.4554,146.193,,,,,,145.8323,138.7786,,,178.6948,188.8087,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.3399,2/10/2014
21,21,,168.543,159.1779,168.37,169.5981,,144.5652,145.7682,149.6043,146.1765,,,,,,145.8323,138.7786,,,178.7574,188.7895,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2873,139.9092,2/10/2014
22,22,,168.3705,168.3963,168.3684,,,144.2105,147.687,150.1031,150.3493,,,,,,145.8323,138.7786,,,178.7899,188.7283,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,136.022,140.3604,2/10/2014
23,23,,,,,,,143.9788,161.8502,150.1354,,,,,,,145.8323,138.7786,,,178.7946,188.6948,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,135.4668,140.3209,2/10/2014
0,0,,,,,,,144.0077,,,,,,,,,145.8323,138.7786,,,178.8133,188.7471,,129.25,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.7797,139.99,3/10/2014
1,1,,,,,,,144.5241,,,,,,,,,145.8323,138.7786,,,178.9056,188.8118,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.9421,140.0622,3/10/2014
2,2,,,,,,,144.5196,,,,,,,,,145.8323,138.7786,,,178.8441,188.8548,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2857,139.9032,3/10/2014
3,3,,,,,,,143.9837,169.5752,,,,,,,,145.8323,138.7786,,,178.8708,188.8327,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.9944,140.2733,3/10/2014
4,4,,,,,,,143.9841,,,,,,,,,145.8323,138.7786,,,178.8086,188.8823,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,135.431,140.2729,3/10/2014
5,5,,,,,,,145.4994,,,,,,,,,,138.7786,,,178.8758,188.8725,,,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.8872,140.439,3/10/2014
6,6,,,,,,,144.4481,149.0569,,,,,,,,145.8323,138.7786,,,178.9076,188.8634,,,,,,,,154.6,,,,,85.0605,82.583,,,,,,89.5,,89.5,134.2857,139.7987,3/10/2014
7,7,,,,,,,144.058,146.0068,150.0285,150.9222,,,,,,145.8323,138.7786,,,178.9321,188.8371,,129.25,,,,,,154.6,,,,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.4963,139.9468,3/10/2014
8,8,,157.8565,157.3626,158.6273,,,144.1033,146.001,149.7395,147.0515,,,,,,145.8323,138.7786,,,178.9445,188.8749,,129.25,,,,,,154.6,,,,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,135.3784,140.2933,3/10/2014
9,9,,155.7295,153.9041,156.9261,160.2925,163.7695,144.1063,146.4055,149.7686,147.0804,,,,,,145.8323,,,,179,188.8971,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.843,140.3182,3/10/2014
10,10,,155.6978,153.9338,160.8945,163.4707,,144.1202,147.6154,149.7321,147.0117,,,,,,145.8323,138.7786,,,179.0419,188.9771,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,135.153,140.0897,3/10/2014
11,11,,155.6158,153.9694,157.3281,162.7632,163.0783,144.1323,146.7575,149.7514,146.5016,,,,,,145.8323,138.7786,,,179.0366,188.897,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,139.7156,3/10/2014
12,12,,155.7229,153.9143,158.2703,155.1394,156.4858,144.5644,146.0613,149.7472,146.5578,,,,,,145.8323,138.7786,,,178.9811,188.8759,,129.25,,,,,,154.6,,,154.6,,85.0605,82.583,,,,153.223,151.371,89.5,,89.5,134.2857,140.1975,3/10/2014
