,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,158.8753,158.2264,,,,,,,,,151.17,,195.0814,205.5219,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.317,153.202,1/8/2012
1,1,,,,,,158.8589,158.22,,,,,,,,,151.17,,195.1191,205.6027,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.317,152.1898,1/8/2012
2,2,,,,,,158.86,158.2198,,,,,,,,,151.17,,194.9678,205.6064,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.4541,152.1766,1/8/2012
3,3,,,,,,158.8463,158.2194,,,,,,,,,151.17,,194.926,205.5048,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.3195,152.1766,1/8/2012
4,4,,,,,,158.8233,158.1985,,,,,,,,,151.17,,194.926,205.6179,,,,158.938,158.938,158.938,,,63.371,,,,,158.523,,65.6,65.6,146.317,152.2732,1/8/2012
5,5,,,,,,158.8238,158.1938,,,,,,,,,151.17,,194.926,205.5983,,,,158.938,158.938,158.938,,,63.371,,,,,158.523,,65.6,65.6,146.317,153.2195,1/8/2012
6,6,,,,,,158.8381,158.2126,,,,,,,,158.938,151.17,,195.1231,205.6159,,,,158.938,158.938,158.938,,,63.371,,,,,158.523,,65.6,65.6,146.3325,152.1608,1/8/2012
7,7,,,,,,158.8522,158.2167,159.8585,172.578,,,,,,158.938,151.17,,195.2145,205.6183,,,,158.938,158.938,158.938,,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1608,1/8/2012
8,8,,,,,,159.6829,158.1164,160.1441,162.3988,,,,,,158.938,151.17,,195.2388,205.5417,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1608,1/8/2012
9,9,,,,,,159.7483,158.1163,160.1611,160.2187,,,,,,158.938,151.17,,195.3152,205.5866,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1622,1/8/2012
10,10,,165.808,,,,159.735,158.312,160.1314,160.4186,,,,,,158.938,151.17,,195.1968,205.7066,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1812,1/8/2012
11,11,,166.2606,173.7388,,,158.9118,158.4247,160.1623,160.4723,,,,,,158.938,151.17,,195.3048,205.7117,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.177,1/8/2012
12,12,,169.2297,166.6905,,,158.8522,158.4392,160.1377,160.2352,,,,,,158.938,151.17,,195.3018,205.7461,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.9869,1/8/2012
13,13,,,166.7076,,,159.8807,158.3175,160.1214,160.398,,,,,,158.938,151.17,,195.2145,205.78,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,153.0664,1/8/2012
14,14,,,167.0747,,,159.7514,158.2183,160.1301,160.4695,,,,,,158.938,151.17,,195.2818,205.7584,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.7741,153.0664,1/8/2012
15,15,,,169.7057,,,159.7876,158.08,160.3276,160.4375,,,,,,158.938,151.17,,195.503,205.8549,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,147.3588,152.6879,1/8/2012
16,16,,,,,,159.8046,158.0915,160.3246,159.9816,,,,,,158.938,151.17,,195.4032,205.9494,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.3705,153.7139,1/8/2012
17,17,,,,,,159.2561,158.0699,160.1419,159.9059,,,,,,158.938,151.17,,195.5056,206.0617,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,153.1651,1/8/2012
18,18,173.5869,168.788,167.6671,175.2643,180.9355,158.929,158.0442,160.1284,159.9209,,,,,,158.938,151.17,,195.503,205.8917,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.06,1/8/2012
19,19,169.0328,166.3532,166.7147,167.5116,169.2936,158.9189,158.0211,160.1009,159.8484,,,,,,158.938,151.17,,195.462,205.7727,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.3182,152.1306,1/8/2012
20,20,170.9747,166.4252,166.8277,167.5916,170.4672,158.9196,158.0408,160.1352,159.8476,,,,,,158.938,,,195.3461,205.8394,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1321,1/8/2012
21,21,,169.2037,168.7241,172.5993,,158.9264,158.0407,160.1831,159.8641,,,,,,158.938,,,195.4806,205.7819,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.3172,152.1321,1/8/2012
22,22,,,,,,158.9279,158.0297,160.477,159.8354,,,,,,158.938,151.17,,195.2883,206.2218,,,,158.938,158.938,158.938,,,63.371,,,,159.915,158.523,,65.6,65.6,146.3176,152.1321,1/8/2012
23,23,,,,,,158.9185,158.0166,,159.8375,,,,,,158.938,151.17,,195.1922,206.1527,,,,158.938,158.938,158.938,,,63.371,,,,,158.523,,65.6,65.6,146.317,152.5802,1/8/2012
0,0,,,,,,158.916,158.1941,,159.8096,,,,,,158.938,151.17,,195.1922,206.2504,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.432,152.6788,2/8/2012
1,1,,,,,,158.9122,158.354,,163.9282,,,,,,158.938,151.17,,195.3329,206.1191,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.5544,152.3044,2/8/2012
2,2,,,,,,158.9127,158.355,,,,,,,,158.938,151.17,,195.2812,205.7389,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.3636,152.3044,2/8/2012
3,3,,,,,,158.9194,158.3576,,,,,,,,158.938,151.17,,195.3737,206.1002,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.3869,152.3044,2/8/2012
4,4,,,,,,158.8986,158.3322,,,,,,,,158.938,151.17,,195.1483,206.0479,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.317,152.3044,2/8/2012
5,5,,,,,,158.9072,158.3384,,,,,,,,158.938,151.17,,195.2079,206.0056,,,,158.938,158.938,158.938,,,63.371,,,,,158.523,,65.6,65.6,146.317,152.3044,2/8/2012
6,6,,,,,,158.9144,158.3564,,164.6392,,,,,,158.938,151.17,,195.2017,206.0629,,,,158.938,158.938,,,,63.371,,,,,158.523,,65.6,65.6,146.3255,152.3044,2/8/2012
7,7,,,171.7707,,,158.8044,158.2275,160.0906,159.8915,,,,,,158.938,151.17,,195.2208,206.0909,,,,158.938,158.938,158.938,,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,153.1646,2/8/2012
8,8,,,167.7367,170.8893,,158.5288,158.1872,160.1563,159.923,,,,,,158.938,151.17,,195.3314,206.0559,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.4146,152.6251,2/8/2012
9,9,171.058,167.1374,167.7143,167.5806,,158.693,158.229,160.5023,159.9364,,,,,,158.938,151.17,,195.33,206.0802,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,153.0156,2/8/2012
10,10,169.1538,167.6728,167.8736,167.573,,158.7481,158.254,160.1364,159.9432,,,,,,158.938,151.17,,195.2364,206.0208,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2015,2/8/2012
11,11,169.0663,167.6913,167.8947,167.5853,167.8646,158.8624,158.2714,160.1528,159.9251,,,,,,158.938,151.17,,195.0238,205.8715,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
12,12,169.1512,167.6913,167.9129,167.5895,168.0491,158.955,158.3554,160.156,160.0263,,,,,,158.938,151.17,,195.3096,205.9957,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
13,13,169.1253,167.6913,167.9046,167.4749,168.0491,159.5892,159.0988,160.1321,160.4465,,,,,,158.938,151.17,,191.4469,205.9298,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
14,14,169.1388,167.6913,168.6733,167.5598,168.0491,158.8072,159.8456,160.1226,160.6505,,,,,,158.938,151.17,,188.5574,205.7806,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
15,15,168.4604,166.8261,167.7204,167.5761,168.0491,158.3635,159.3174,160.1355,160.5905,,,,,,158.938,151.17,,188.4419,205.727,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
16,16,167.9625,166.4252,166.9703,170.4531,168.0491,158.1423,160.2395,160.1337,160.1638,,,,,,158.938,151.17,,193.2786,205.9851,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2079,2/8/2012
17,17,170.6355,166.4252,166.9862,,,159.1644,159.1586,160.0564,160.2151,,,,,,158.938,151.17,,195.0149,206.2157,,,,158.938,158.938,158.938,,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1687,2/8/2012
18,18,170.1075,166.4252,166.9596,169.1579,168.1268,159.1383,158.4794,159.4304,160.0792,,,,,,158.938,151.17,,194.0845,206.2571,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1844,2/8/2012
19,19,166.6816,166.4252,167.0354,167.5778,168.1268,159.1316,158.4774,159.4972,159.9627,,,,,,158.938,151.17,,187.6958,206.0337,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1844,2/8/2012
20,20,166.7276,166.4252,167.0236,167.6479,169.9566,159.0002,158.472,159.4866,159.9647,,,,,,158.938,151.17,,189.7819,206.0451,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1844,2/8/2012
21,21,169.1612,166.4252,168.9487,176.9811,180.3257,159.0051,158.4845,159.5005,159.9478,,,,,,158.938,151.17,,195.2908,205.8688,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1844,2/8/2012
22,22,,,,,,158.9582,158.4787,158.8305,159.9528,,,,,,158.938,151.17,,195.1569,205.9101,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.3198,152.1844,2/8/2012
23,23,,,,,,158.9153,158.473,158.8517,159.9495,,,,,,158.938,,,195.1037,205.8669,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.3398,152.1844,2/8/2012
0,0,,,,,,158.9206,158.4743,158.8598,159.946,,,,,,158.938,,,195.1037,205.7762,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.3311,152.3051,3/8/2012
1,1,,,,,,158.9211,158.467,158.84,161.3083,,,,,,158.938,,,195.286,205.9379,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.3241,152.9536,3/8/2012
2,2,,,,,,158.9198,158.4734,158.8721,170.5703,,,,,,158.938,151.17,,195.1974,205.8764,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.3489,151.8863,3/8/2012
3,3,,,,,,158.9076,158.4569,158.8381,,,,,,,158.938,151.17,,195.126,205.7618,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.4812,152.2298,3/8/2012
4,4,,,,,,158.901,158.4626,158.8372,172.578,,,,,,158.938,151.17,,195.126,205.8231,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1648,3/8/2012
5,5,,,,,,158.8967,158.4547,158.8228,162.177,,,,,,158.938,151.17,,195.126,205.8889,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.503,152.8877,3/8/2012
6,6,,,,,,158.902,158.4696,158.8203,160.0815,,,,,,158.938,151.17,,195.126,205.9016,,,,158.938,158.938,,,,63.371,,,,159.915,158.523,,65.6,65.6,146.5124,153.3598,3/8/2012
7,7,,167.0582,,,,158.9297,158.7134,159.3757,163.9675,,,,,,158.938,151.17,,195.126,205.5668,,,,158.938,158.938,158.938,,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,153.022,3/8/2012
8,8,171.2924,166.619,172.3608,,,159.047,159.2559,160.0772,164.3827,,,,,,158.938,151.17,,194.9817,205.3681,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1171,3/8/2012
9,9,166.7117,166.346,167.946,170.9078,172.6785,159.1042,159.7897,160.6744,164.4167,,,,,,158.938,151.17,,195.0766,205.7327,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.1596,3/8/2012
10,10,166.6736,166.346,167.9714,167.6521,168.2045,159.2346,160.2118,160.6885,164.4616,,,,,,158.938,151.17,,194.5753,205.6745,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
11,11,166.71,166.346,168.0241,167.6178,168.2045,159.1883,159.4779,160.1025,164.0655,,,,,,158.938,151.17,,187.957,205.7015,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
12,12,166.7609,166.346,168.1223,167.73,168.2045,159.2964,159.2168,160.2453,164.6422,,,,,,158.938,151.17,,188.0705,205.6249,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
13,13,167.7323,166.346,168.1823,167.7225,168.2045,159.3341,158.9127,160.1735,164.2984,,,,,,158.938,151.17,,188.3436,205.6684,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
14,14,167.6712,166.346,168.9314,168.0582,168.2045,159.3433,159.288,160.142,161.9861,,,,,,158.938,151.17,,188.6225,205.7888,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
15,15,166.8264,166.346,167.3615,167.8222,168.2045,159.2414,159.4055,160.1982,160.872,,,,,,158.938,151.17,,189.6992,205.7373,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
16,16,167.414,167.1633,170.9015,170.4722,168.2045,159.1878,158.8355,160.1239,160.9281,,,,,,158.938,151.17,,195.2258,205.4574,169.073,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
17,17,178.8049,174.519,,,,158.6752,158.3823,159.979,161.3544,,,,,,158.938,151.17,,195.0359,205.7317,,,,158.938,158.938,158.938,158.938,,63.371,,,,159.915,158.523,,65.6,65.6,146.317,152.2672,3/8/2012
