,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,,76.8203,,,,87.516,,,,,,,50,34.1659,78.305,,,,,85.0605,82.583,,,,,,89.5,,89.5,71.1287,72.4466,1/2/2015
1,01,,,,,,,,,,,,,,,,76.8203,,,,87.6095,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,71.1289,73.0096,1/2/2015
2,02,,,,,,,,,,,,,,,,76.8203,,,,87.5638,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,71.8917,73.3047,1/2/2015
3,03,,,,,,,,,,,,,,,,76.8203,,,,87.5621,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,74.8025,73.3894,1/2/2015
4,04,,,,,,,,,,,,,,,,76.8203,,,,87.5702,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,75.9872,73.3685,1/2/2015
5,05,,,,,,,,,,,,,,,,76.8203,,,,87.6198,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,75.9948,73.3685,1/2/2015
6,06,,,,,,,,,,,,,,,,76.8203,,,,87.6147,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,76.1356,73.3685,1/2/2015
7,07,,,,,,,,,,,,,,,,76.8203,,,,87.5888,,,,,,,50,34.1659,78.305,,,,,85.0605,,,,,,,89.5,,89.5,72.7468,73.184,1/2/2015
8,08,,,,,,,,,,,,,,,,76.8203,,,,87.6114,,,,75.815,,,50,34.1659,78.305,78.305,,,,85.0605,,,,,,,89.5,,89.5,71.0912,73.3503,1/2/2015
9,09,,,,,,,,,,,,,,,,76.8203,,,,87.5964,,,,75.815,,,50,34.1659,78.305,78.305,,,,85.0605,,,,,,,89.5,,89.5,70.8583,73.3503,1/2/2015
10,10,,,,,,,,,,,,,,,,76.8203,,,,87.6071,,,,75.815,,,50,34.1659,78.305,78.305,,,,85.0605,,,,,,,89.5,,89.5,70.6739,73.2743,1/2/2015
11,11,,,,,,,,,,,,,,,,76.8203,,,,87.5767,,,,75.815,,,50,34.1659,78.305,78.305,,,,85.0605,,,,,,,89.5,,89.5,70.8357,72.5135,1/2/2015
12,12,,,,,,,,,,,,,,,,76.8203,,,,87.5586,,,,75.815,,,50,34.1659,78.305,78.305,50,,,85.0605,,,,,,,89.5,,89.5,71.272,72.4242,1/2/2015
13,13,,,,,,,,,,,,,,,,76.8203,75.1068,,,87.5432,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,71.3693,72.4152,1/2/2015
14,14,,,,,,,,,,,,,,,,76.8203,,,,87.5386,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,71.6071,72.4148,1/2/2015
15,15,,,,,,,,,,,,,,,,76.8203,,,,87.5055,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,71.49,72.4095,1/2/2015
16,16,,,,,,,,,,,,,,,,76.8203,,,,87.4784,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,71.5166,72.6291,1/2/2015
17,17,,,,,,,,,,,,,,,,76.8203,,,,87.4958,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,71.4246,72.5926,1/2/2015
18,18,,,,,,,75.6892,78.1001,,,,,,,,76.8203,75.1068,,,87.4874,,,,75.815,,,50,34.1659,78.305,78.305,50,50,,85.0605,,,,,,,89.5,,89.5,70.8287,72.0282,1/2/2015
