,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,155.6994,157.3138,,,,,,,,158.381,,,,193.8896,,,142.9,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.664,154.5354,1/9/2013
1,01,,,,,,155.7049,157.3141,,,,,,,,158.381,,,,193.8525,,,142.9,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6655,154.5612,1/9/2013
2,02,,,,,,155.7208,157.2973,,,,,,,,158.381,,,,193.8175,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.666,154.6124,1/9/2013
3,03,,,,,,155.7109,157.3069,,,,,,,,158.381,,,,193.8363,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6661,154.6124,1/9/2013
4,04,,,,,,155.7227,157.3173,,,,,,,,158.381,,,,193.8076,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6658,153.3164,1/9/2013
5,05,,,,,,155.7294,157.3195,,,,,,,,158.381,,,,193.8297,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6654,152.9659,1/9/2013
6,06,,,,,,155.7041,157.3124,,171.654,,,,,,158.381,,,,193.8382,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6663,152.9591,1/9/2013
7,07,,,,,,155.6821,157.3306,,160.7975,,236.322,,,,158.381,,,,193.7919,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,159.499,,,66.857,66.857,156.3925,153.6255,1/9/2013
8,08,,,,,,155.6988,157.359,,157.4796,,,,,,158.381,,,,194.0187,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,159.499,,,66.857,66.857,146.1464,153.5749,1/9/2013
9,09,,,,,,155.6644,157.3543,,157.4751,,,,,,158.381,,,,194.1481,,,,142.9,,,145.86,145.86,,161.34,,64.199,64.199,,,,,,,66.857,66.857,145.6738,153.2992,1/9/2013
