,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,92.9578,94.3852,,94.6261,,,,,,94.4581,92.836,,,110.9077,116.973,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9789,90.441,1/5/2015
1,1,,,,,,,92.9492,94.3862,,94.61,,,,,,94.4581,,,,110.8272,116.8717,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.0067,90.4518,1/5/2015
2,2,,,,,,,92.9611,94.3999,,94.629,,,,,,94.4581,92.836,,,110.8893,116.9811,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.919,90.4577,1/5/2015
3,3,,,,,,,92.9674,94.3993,,94.629,,,,,,94.4581,92.836,,,110.8839,116.9727,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.5743,90.4039,1/5/2015
4,4,,,,,,,92.96,94.4095,,94.629,,,,,,94.4581,92.836,,,110.8533,116.9138,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.6057,90.4041,1/5/2015
5,5,,,,,,,93.1396,94.4066,,94.7479,,,,,,94.4581,92.836,,,110.8422,116.9376,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.639,90.4339,1/5/2015
6,6,,,,,,,92.9627,94.405,,97.8727,,,,,,94.4581,92.836,,,110.7783,116.9701,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.5694,90.7415,1/5/2015
7,7,,,,,,,92.9685,94.4097,,98.4227,,,,,,94.4581,92.836,,,110.7604,116.9327,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.6227,90.8038,1/5/2015
8,8,,,,,,,92.9944,94.4462,,98.4227,,,,,,94.4581,92.836,,,110.7382,116.8863,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.7117,90.871,1/5/2015
9,9,,,,,,,93.0097,94.4396,,98.4227,,,,,,94.4581,92.836,,,110.7339,116.7512,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.691,90.8661,1/5/2015
10,10,,,,,,,93.0891,94.4488,,95.4011,,,,,,94.4581,92.836,,,110.7199,116.6413,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.6383,90.7866,1/5/2015
11,11,,,,,,,93.1349,94.4628,97.7733,94.6462,,,,,,94.4581,92.836,,,110.829,116.8103,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.5677,90.787,1/5/2015
12,12,,,,,,,93.1644,94.4799,97.9362,94.707,,,,,,94.4581,92.836,,,110.8525,116.8092,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.6245,90.7859,1/5/2015
13,13,,109.8002,,,,,93.1695,94.5103,97.9366,94.7554,,,,,,94.4581,92.836,,,110.8596,116.7955,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.5608,90.7872,1/5/2015
14,14,,104.4115,,,,,93.1486,94.4815,97.921,94.7554,,,,,,94.4581,92.836,,,110.8367,116.9707,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.6769,90.8401,1/5/2015
15,15,,,,,,,93.1409,94.4123,97.7892,96.0204,,,,,,94.4581,92.836,,,110.8541,117.0637,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.6902,90.8516,1/5/2015
16,16,,110.569,110.675,,,,93.1463,94.5097,,,,,,,,94.4581,92.836,,,110.8596,116.8138,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.6846,90.849,1/5/2015
17,17,,110.569,,,,,93.1359,94.596,,102.2501,,,,,,94.4581,92.836,,,110.862,116.8735,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,96.992,89.5,,89.5,92.5694,90.7988,1/5/2015
18,18,,102.795,104.2676,104.5992,112.499,,93.1332,94.4227,97.2939,95.5869,,,,,,94.4581,92.836,,,110.9113,116.8921,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.625,90.8148,1/5/2015
19,19,,101.4616,101.4867,104.4757,105.0095,,93.121,94.3424,96.9158,94.6094,,,,,,94.4581,92.836,,,110.943,116.9292,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.7738,90.8263,1/5/2015
20,20,,101.4616,102.4717,,105.114,,93.1076,94.2966,96.6987,94.6961,,,,,,94.4581,92.836,,,110.9294,116.9321,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.783,90.8378,1/5/2015
21,21,,102.8145,,,,,93.1125,94.233,96.7475,94.8809,,,,,,94.4581,92.836,,,110.9407,116.9869,,,,,,50,34.1659,94.63,94.63,,,,85.0605,82.583,,,,,,98.348,96.992,89.5,,89.5,92.9019,90.8457,1/5/2015
22,22,,,,,,,93.0928,94.2185,97.7953,94.8658,,,,,,94.4581,92.836,,,110.9334,117.0217,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9016,90.8228,1/5/2015
23,23,,,,,,,93.0791,94.2295,,94.836,,,,,,94.4581,92.836,,,110.8843,116.7804,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9096,90.8275,1/5/2015
0,0,,,,,,,92.9878,94.2347,,94.8342,,,,,,94.4581,92.836,,,110.8863,116.8883,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9044,90.8475,2/5/2015
1,1,,,,,,,92.9465,94.2459,,94.8342,,,,,,94.4581,92.836,,,110.8533,116.8126,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.906,90.8528,2/5/2015
2,2,,,,,,,92.9439,94.2485,,94.8492,,,,,,94.4581,92.836,,,110.8769,116.77,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9418,90.8515,2/5/2015
3,3,,,,,,,92.9486,94.2555,,96.9178,,,,,,94.4581,92.836,,,110.8763,116.7564,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.9398,90.8445,2/5/2015
4,4,,,,,,,92.9419,94.2417,,99.2709,,,,,,94.4581,92.836,,,110.8795,116.7714,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.8694,90.8401,2/5/2015
5,5,,,,,,,92.9481,94.3901,,,,,,,,94.4581,92.836,,,110.8795,116.7451,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.6747,90.8382,2/5/2015
6,6,,,,,,,92.9531,94.3924,,,,,,,,94.4581,92.836,,,110.874,116.8187,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.6186,90.8208,2/5/2015
7,7,,,,,,,92.9593,94.3949,,,,,,,,94.4581,92.836,,,110.927,116.8004,,,,,,50,34.1659,94.63,,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.569,90.7937,2/5/2015
