,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,149.5736,150.4017,154.974,,,,,,,151.727,143.637,,,,,,50,64.017,151.19,,,,,64.199,64.199,,,,,,,66.857,66.857,139,145.0115,1/7/2013
1,1,,,,,,149.5638,150.3908,154.974,,,,,,,151.727,143.637,,,,,,50,64.017,,,,,,64.199,64.199,,,,,,,66.857,66.857,139,146.3024,1/7/2013
2,2,,,,,,149.5529,150.3923,154.974,,,,,,,151.727,143.637,,,,,,50,64.017,,,,,,64.199,64.199,,,,,,,66.857,66.857,139.1073,145.1581,1/7/2013
3,3,,,,,,149.5621,150.3817,154.974,,,,,,,151.727,143.637,,,,,,50,64.017,,,,,,64.199,64.199,,,,,,,,66.857,139,146.455,1/7/2013
4,4,,,,,,149.5643,150.3913,154.974,,,,,,,151.727,143.637,,,,,,50,64.017,151.19,,,,,64.199,64.199,,,,,,,,66.857,139,145.4453,1/7/2013
5,5,,,,,,149.5603,150.4019,154.974,,,,,,,151.727,143.637,,,,195.887,,50,64.017,151.19,,,,,64.199,64.199,,,,,,,,66.857,139,145.7578,1/7/2013
6,6,,,,,,149.5384,150.3919,154.974,163.8906,,,,,,151.727,143.637,,,,195.3478,,50,64.017,151.19,,,,,64.199,64.199,,,,,,,,66.857,139,145.2902,1/7/2013
7,7,166.5913,173.2546,165.6847,,,149.5571,150.4102,155.1584,153.8149,,,,,,151.727,143.637,,,,195.3683,,50,64.017,151.19,,,,,64.199,64.199,,,,,,,66.857,66.857,139.0001,145.1274,1/7/2013
8,8,158.6321,159.6982,159.618,,,150.3126,150.4108,155.5191,152.0125,,,,,,151.727,143.637,,,,195.3822,,50,64.017,151.19,151.19,151.72,,,64.199,64.199,,,,,,,66.857,66.857,139,145.0148,1/7/2013
9,9,158.9,158.7456,158.7973,174.6909,167.0934,150.4292,150.4098,155.5011,152.331,,,,,,151.727,143.637,,,,195.3474,,50,64.017,151.19,151.19,151.72,,,64.199,64.199,,,,,,,66.857,66.857,139,145.1588,1/7/2013
10,10,158.8919,158.7392,158.7784,162.4213,161.4183,150.4455,150.4245,155.5013,152.3468,,,,,,151.727,143.637,,,,195.2214,,50,64.017,151.19,151.19,151.72,,,64.199,64.199,,,,,,,66.857,66.857,139,145.1499,1/7/2013
11,11,158.8927,158.7387,158.8069,161.9148,162.8376,150.1912,150.4375,155.4996,152.2556,,,,,,151.727,143.637,,,,195.33,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,,,,66.857,66.857,139.187,145.2956,1/7/2013
12,12,159.9753,159.7996,159.8606,173.6934,,150.4712,150.4315,155.5015,151.8992,,,,,,151.727,143.637,,,,195.3296,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,,,,66.857,66.857,139,146.6445,1/7/2013
13,13,158.9016,160.2145,158.7865,,,149.9472,150.5284,155.5021,151.9138,,,,,,151.727,143.637,,,,195.3865,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,,,,66.857,66.857,139.2175,145.5921,1/7/2013
14,14,166.6756,173.7794,158.7832,,,149.5509,150.63,155.5033,151.9165,,,,,,151.727,143.637,,,,195.3286,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,,,,66.857,66.857,139,145.557,1/7/2013
15,15,,,158.7821,,,149.4791,150.5854,155.5977,151.9262,,221.669,,,,151.727,143.637,,,,195.2973,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,,,,66.857,66.857,139,145.3074,1/7/2013
16,16,,,161.5472,,,149.0291,150.5012,155.618,151.8917,,,,,,151.727,143.637,,,,195.3848,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,152.392,,,66.857,66.857,139,145.3143,1/7/2013
17,17,,,,,,148.9927,150.392,155.6159,151.9044,,,,,,151.727,143.637,,,,195.4026,,50,64.017,151.19,151.19,151.72,151.72,,64.199,64.199,,,,152.392,,,66.857,66.857,139.4117,146.6155,1/7/2013
