,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,184.2592,,,,,,,,,176.711,,229.5093,241.8356,,50,33.151,171.854,171.854,181.654,,63.371,63.371,,,,,,,61.885,61.885,172.2004,177.0954,1/4/2012
1,01,,,,,,,,,,,,,,,176.711,,229.5645,241.7517,,50,33.151,171.854,171.854,,,63.371,63.371,,,,,,,61.885,61.885,171.9293,177.0508,1/4/2012
2,02,,,,,,,,,,,,,,183.988,176.711,,229.4292,241.7595,,50,33.151,171.854,171.854,,,63.371,63.371,,,,,,,61.885,61.885,171.854,176.8062,1/4/2012
3,03,,,,,,,,,,,,,,,176.711,,229.5519,241.8456,,50,33.151,171.854,171.854,,,63.371,63.371,,,,,,,61.885,61.885,171.8633,176.8088,1/4/2012
4,04,,,,,,186.1963,201.7341,,,,,,,,176.711,,229.6126,242.1097,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,172.3294,176.7809,1/4/2012
5,05,,,,,,182.0632,183.6769,,,,,,,,176.711,,229.6126,242.0188,,50,33.151,171.854,171.854,181.654,,63.371,63.371,,,,,,,61.885,61.885,172.873,177.4082,1/4/2012
6,06,,,,,,184.7112,183.635,,,,,,,,176.711,,229.6126,241.7801,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,187.4267,177.3221,1/4/2012
7,07,,,,,,,183.6262,,,,254.087,,,,,,229.5519,241.8269,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,187.748,,,61.885,61.885,201.6263,177.4131,1/4/2012
8,08,,,,,,184.7467,189.6692,,,,,,,,,,229.4529,241.8413,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,172.3723,178.7434,1/4/2012
9,09,,,,,,181.886,192.2232,,,,,,,,,,229.5232,241.9158,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,172.0497,178.7377,1/4/2012
10,10,,,,,,181.8959,183.6222,,,,,,,,,,229.4811,241.7971,,50,33.151,171.854,171.854,181.654,,63.371,63.371,,,,,,,61.885,61.885,171.9616,178.5014,1/4/2012
11,11,,,,,,181.9482,183.6402,,,,,,,,,,229.4811,241.7595,,50,33.151,171.854,171.854,181.654,,63.371,63.371,,,,,,,61.885,61.885,171.8789,178.5029,1/4/2012
12,12,,,,,,181.9372,183.6307,,,,,,,,,,229.498,241.7595,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8659,178.4124,1/4/2012
13,13,,,,,,182.0933,183.8621,,,,,,,,,,229.4867,241.7087,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8749,178.4369,1/4/2012
14,14,,,,,,182.1602,183.9917,,,,,,,,,,229.4811,241.6728,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8703,178.6202,1/4/2012
15,15,,,,,,182.1497,183.9479,,,,,,,183.988,,,229.5415,241.5241,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8664,178.9935,1/4/2012
16,16,,,,,,182.1974,183.9558,,,,,,,183.988,,,229.3999,241.4902,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8648,178.9935,1/4/2012
17,17,,,,,,182.1186,183.7179,,,,,,,183.988,176.711,,229.3497,241.4882,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.8574,177.9911,1/4/2012
18,18,,,,,,181.9774,183.7009,,189.2316,,,,,183.988,176.711,,229.3497,242.1162,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.854,177.0234,1/4/2012
19,19,,,,,,181.8939,183.7108,,184.1427,,,,,183.988,176.711,,229.3497,242.1247,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.854,177.0761,1/4/2012
20,20,,,,,,181.9306,183.6607,,184.1679,,,,,183.988,176.711,,229.4558,242.1247,,50,33.151,171.854,171.854,181.654,181.654,63.371,63.371,,,,,,,61.885,61.885,171.854,177.0815,1/4/2012
