,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,164.7902,175.4366,167.7285,175.9794,,,,,,166.17,158.442,,204.6383,215.9301,,,,176,,,176,,64.199,,,,167.642,166.179,,65.595,65.595,153.5679,159.3115,1/10/2012
1,01,,,,,,165.0617,193.619,167.7248,170.0406,,,,,,166.17,,,204.6647,215.8249,,,,,,,,,64.199,,,,167.642,166.179,,65.595,65.595,154.8641,160.3465,1/10/2012
2,02,,,,,,165.073,193.827,167.7038,170.4007,,,,,,166.17,,,204.5925,215.7779,,,,,,,,,64.199,,,,167.642,166.179,,65.595,65.595,155.1247,160.5535,1/10/2012
3,03,,,,,,165.0427,193.827,167.6662,170.4,,,,,,166.17,,,204.6662,215.7779,,,,,,,,,64.199,,,,167.642,166.179,,65.595,65.595,154.4587,160.2503,1/10/2012
4,04,,,,,,165.0566,189.247,167.6839,170.4602,,,,,,166.17,,,204.828,215.7779,,,,,,,,,64.199,,,,167.642,166.179,,65.595,,153.6387,159.1364,1/10/2012
5,05,,,,,,165.0396,169.6848,167.6794,170.384,,,,,,166.17,,,204.8353,215.7515,,,,,,,176,,64.199,,,,167.642,166.179,,65.595,,153.6094,159.4138,1/10/2012
6,06,176.869,,,,,165.0315,169.7531,167.7222,170.3735,,,,,,166.17,,,204.7356,215.5589,,,,176,,,,,64.199,,,,167.642,166.179,,65.595,,153.7145,159.6461,1/10/2012
7,07,174.0916,175.5854,187.3441,180.796,,165.0754,169.9582,168.1979,170.3839,,,,,,166.17,,,204.6246,215.6315,,,,176,,,,,64.199,,,,167.642,166.179,,65.595,,153.7056,159.3704,1/10/2012
8,08,174.1156,173.7504,176.4832,174.7271,188.7084,165.0845,169.9647,168.1285,170.417,,,,,,166.17,,,203.7073,215.5942,176.476,,,176,,,176,,64.199,,,,167.642,166.179,,65.595,,153.6318,159.209,1/10/2012
9,09,174.1163,173.7368,176.4578,174.8435,176.4927,165.0823,170.3832,168.2766,169.8325,,,,,,166.17,,,197.2318,205.1901,176.476,,,176,,,176,,64.199,,,,167.642,166.179,,65.595,,153.8787,159.6081,1/10/2012
