,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,,,,,,,,,,,,184.9534,,,137.76,,50,33.8242,125.69,125.69,,,,65.006,65.006,,,,,,66.857,,66.857,142.3076,,1/2/2014
1,1,,,,,,,,,,,,,,,,,,,,184.938,,,137.76,,50,33.8242,125.69,125.69,,,,65.006,65.006,,,,,,66.857,,66.857,,,1/2/2014
2,2,,,,,,,,,,,,,,,,,,,,184.9057,,,137.76,,50,33.8242,125.69,125.69,,,,65.006,65.006,,,,,,66.857,,66.857,,,1/2/2014
3,3,,,,,,,,,,,,,,,,,,,,184.9279,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,66.857,,66.857,,,1/2/2014
4,4,,,,,,,,,,,,,,,,,,,,184.9353,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,66.857,,66.857,,,1/2/2014
5,5,,,,,,,,,,,,,,,,,,,,184.9461,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,66.857,,66.857,145.2069,,1/2/2014
6,6,,,,,,,,,,,,,,,,,,,,184.9692,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,66.857,,66.857,141.1897,,1/2/2014
7,7,,,,,,,,,,,,,,,,,,,,184.9797,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,66.857,,66.857,139.3115,,1/2/2014
8,8,,,,,,,,,,,,,,,,,143.617,,,185.1003,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,,66.857,138.979,,1/2/2014
9,9,,,,,,,,,,,,,,,,,143.617,,,185.176,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,,66.857,138.979,,1/2/2014
10,10,,,,,,,,,,,,,,,,,143.617,,,185.2255,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,,66.857,138.979,149.0817,1/2/2014
11,11,,,,,,,,,,,,,,,,,143.617,,,185.1754,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,66.857,66.857,138.979,145.9254,1/2/2014
12,12,,,,,,,,,,,,,,,,,143.617,,,185.1561,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,,66.857,66.857,138.979,145.1059,1/2/2014
13,13,,,,,,,,,,,,,,,,,143.617,,,185.0964,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,66.857,66.857,138.979,145.1258,1/2/2014
14,14,,,,,,,,,,,,,,,,,143.617,,,185.0747,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,66.857,66.857,138.979,147.7716,1/2/2014
15,15,,,,,,,,,,,,,,,,,143.617,,,185.1747,,,137.76,,50,33.8242,125.69,125.69,145.06,,,65.006,65.006,,,,,,,66.857,66.857,139.149,155.3475,1/2/2014
16,16,,,,,,,,,,,,,,,,,143.617,,,185.2272,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,,66.857,66.857,139.2496,157.13,1/2/2014
17,17,,,,,,,152.9604,168.5928,,,,,,,,151.707,143.617,,,185.2203,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,66.857,66.857,138.979,148.3495,1/2/2014
18,18,,,,,,,149.4872,150.6164,,,,230.054,,,,151.707,143.617,,,185.2353,,,137.76,,50,33.8242,125.69,125.69,145.06,145.06,,65.006,65.006,,,,,,66.857,,66.857,138.979,144.9308,1/2/2014
