,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,,,,,,,,,,,,149.7498,,,104.25,104.25,111.8059,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,119.0076,118.4087,1/11/2014
1,1,,,,,,,,,,,,194.621,,,,,,,,149.869,,,,104.25,111.7784,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,125.1989,118.6062,1/11/2014
2,2,,,,,,,,,,,,194.621,,,,,,,,149.7899,,,,104.25,111.7627,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,127.1933,119.2334,1/11/2014
3,3,,,,,,,,,,,,194.621,,,,,,,,149.7164,,,,,111.7471,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,,118.7174,1/11/2014
4,4,,,,,,,126.71,,,,,194.621,,,,,122.4335,,,149.6782,,,,,115,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,120.3577,118.267,1/11/2014
5,5,,,,,,,122.9536,,,,,194.621,,,,123.9021,122.4335,,,149.6929,,,,,98.33,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,118.6453,118.6641,1/11/2014
6,6,,,,,,,122.617,,,,,,,,,,122.4335,,,149.7408,,,,,116,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,118.1547,119.5696,1/11/2014
7,7,,,,,,,123.5008,,,,,,,,,,122.4335,,,149.7752,,,,,,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,118.1626,119.6711,1/11/2014
8,8,,,,,,,123.6185,,,,,,,,,123.9021,122.4335,,,149.8596,,,104.25,104.25,,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,118.2069,118.7889,1/11/2014
9,9,,,,,,,123.2755,,,,,,,,,123.9021,122.4335,,,149.9253,,,104.25,104.25,,,,,102.81,102.81,102.81,102.81,,85.0605,82.583,,,,,,89.5,,89.5,117.8408,118.3494,1/11/2014
