,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,70.1589,71.1719,73.8806,71.6063,,,,,,71.5042,,,,77.9153,84.9127,,,,,59.9,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.836,68.0673,1/10/2015
1,01,,,,,,,70.164,71.177,73.8927,71.605,,,,,,71.5042,,,,77.5888,84.803,,,,,60.04,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.6848,68.056,1/10/2015
2,02,,,,,,,70.144,71.1862,73.8895,71.6055,,,,,,71.5042,69.7631,,,77.5788,84.8834,,,,,60.13,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,70.0715,68.0597,1/10/2015
3,03,,,,,,,70.1507,71.1798,73.8938,71.6019,,,,,,71.5042,69.7631,,,77.5899,84.8579,,,,,60.18,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,70.0641,68.0583,1/10/2015
4,04,,,,,,,70.1486,71.1673,73.8864,71.6094,,,,,,71.5042,69.7631,,,77.9252,84.8644,,,,,60.16,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.5651,68.1753,1/10/2015
5,05,,79.7075,80.1329,81.15,,,70.1469,71.1651,73.889,71.6432,,,,,,71.5042,69.7631,,,77.9562,84.9018,,,,,,,,,108.25,,124.68,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.6347,68.1676,1/10/2015
6,06,,78.033,78.6137,78.5315,,,70.1396,71.1773,73.8897,71.6545,,,,,,71.5042,69.7631,,,77.9536,84.7983,,,,,,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.7581,68.0524,1/10/2015
7,07,,78.5425,78.6383,78.8845,83.0517,83.0851,70.1482,71.1746,74.134,71.6717,125.21,,,,,71.5042,69.7631,,,77.9652,81.8717,,,86.52,,,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.6955,68.0133,1/10/2015
8,08,,78.5407,78.6439,78.9782,80.9016,81.3153,70.1687,71.2773,74.2785,71.8625,125.21,125.21,,,,71.5042,69.7631,,,77.9619,78.937,,,86.52,,,,,,,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.7019,67.7678,1/10/2015
9,09,,78.5498,78.6714,79.0121,80.9111,81.3323,70.3539,71.3452,74.3064,72.107,125.21,125.21,,,,71.5042,69.7631,,,77.9627,78.8874,,,86.52,122.22,,,,,108.25,,,,90.2407,87.6123,,,,,,73.83,72.697,,,92.185,69.6636,67.7398,1/10/2015
10,10,,78.5304,78.6686,78.9709,80.891,81.3243,70.4517,71.3687,74.3059,72.1455,125.21,125.21,,,,71.5042,,,,77.9614,78.9902,,,86.52,122.29,,,,,108.25,,124.68,,90.2407,87.6123,,,,162.016,,73.83,72.697,,,92.185,69.7203,67.7226,1/10/2015
