,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,163.206,,212.329,223.4858,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.9496,167.2637,1/2/2012
1,01,,,,,,,,,,,,,,,163.206,,212.329,223.503,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.7904,169.511,1/2/2012
2,02,,,,,,,,,,,,,,,163.206,,212.329,223.6815,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.7925,169.511,1/2/2012
3,03,,,,,,,,,,,,,,,163.206,,212.329,223.6889,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.399,,1/2/2012
4,04,,,,,,,,,,,,,,,163.206,,212.329,223.5117,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.399,169.511,1/2/2012
5,05,,,,,,,,,,,,,,,163.206,,212.329,223.4185,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.399,167.5346,1/2/2012
6,06,,,,,,,,,,,,,,,163.206,,212.329,223.5429,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.399,166.8798,1/2/2012
7,07,,,,,,,,,173.5545,,,,,,163.206,,212.329,223.5371,,50,33.151,162.111,162.111,169.29,,63.371,63.371,,,,,,,61.885,61.885,158.4075,164.0979,1/2/2012
8,08,,,,,,,174.2989,,170.7675,,,,,,163.206,,212.329,223.2248,,50,33.151,162.111,162.111,169.29,,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
9,09,,,,,,,170.2525,,170.2902,,,,,,163.206,,212.329,223.1884,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.54,163.9723,1/2/2012
10,10,,,,,,,170.2299,,170.28,,,,,170.552,163.206,,212.329,223.1621,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
11,11,,,,,,,170.243,,170.2869,,,,,170.552,163.206,,212.329,223.1042,,50,33.151,,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
12,12,,,,,,,170.2404,,170.1571,,,,,170.552,163.206,,212.329,223.1731,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.6338,163.9723,1/2/2012
13,13,,,196.3569,,,,170.2587,,170.2905,,,,,170.552,163.206,,212.329,223.1613,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
14,14,,,196.1684,,,,170.2526,,170.3192,,,,,170.552,163.206,,212.329,223.0396,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
15,15,,,196.1684,,,,169.9848,,170.1576,,,,,170.552,163.206,,212.329,223.1537,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
16,16,,,196.2336,,,,169.9724,,169.7239,,,,,,163.206,,212.329,223.3214,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
17,17,,,196.511,,,,169.8237,,169.7348,,,,,170.552,163.206,,212.329,223.3174,,50,33.151,162.111,162.111,,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
18,18,,,,,,,169.6279,,169.7269,,,,,170.552,163.206,,212.329,223.386,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
19,19,,,,,,,169.6519,,169.7203,,,,,170.552,163.206,,212.329,223.3607,,50,33.151,162.111,162.111,169.29,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
20,20,,,,,,,169.6663,,169.7296,,,,,170.552,163.206,,212.329,223.2814,,50,33.151,162.111,162.111,,169.29,63.371,63.371,,,,,,,61.885,61.885,158.399,163.9723,1/2/2012
21,21,,,,,,,177.3619,,169.6988,,,,,,163.206,,212.329,223.2814,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.5497,163.9723,1/2/2012
22,22,,,,,,,,,174.4092,,,,,,163.206,,212.329,223.2814,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.5832,163.9723,1/2/2012
23,23,,,,,,,,,,,,,,,163.206,,212.329,223.2814,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.592,163.9723,1/2/2012
0,00,,,,,,,,,,,,,,,,,212.329,223.2954,,50,33.151,162.111,162.111,,,63.371,63.371,,,,,,,61.885,61.885,158.5034,164.2244,2/2/2012
