,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,147.1351,,,,,,,,,149.0895,,,,183.189,192.9214,,,,,,,,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,138.1052,143.4222,1/9/2014
1,01,,,,,,,147.1233,,,,,,,,,149.0895,,,,183.1662,192.9378,,,,,,,178.58,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,137.5537,143.0016,1/9/2014
2,02,,,,,,,147.1324,,,,,,,,,149.0895,,,,183.0527,192.8527,,,,,,,178.58,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,137.565,143.0393,1/9/2014
3,03,,,,,,,147.1295,,,,,,,,,149.0895,,,,183.0338,192.8507,,,,,,,,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,137.5522,143.6158,1/9/2014
4,04,,,,,,,147.1231,,,,,,,,,149.0895,,,,183.0213,192.9244,,,,,,,,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,138.3472,143.2336,1/9/2014
5,05,,,,,,,147.1262,158.0085,,,,,,,,149.0895,,,,183.0475,192.8849,,,,,,,178.58,279.94,,,85.0605,82.583,,,,,,89.5,,89.5,137.5538,143.1228,1/9/2014
6,06,,,,,,,147.1283,149.1453,,162.61,,,,,,149.0895,,,,183.0975,192.9368,,,161.03,,,,178.58,,,,85.0605,82.583,,,,,,89.5,,89.5,137.5569,143.0219,1/9/2014
7,07,,,,,,,147.1595,149.1797,,152.7763,,,,,,149.0895,,,,183.0424,193.1326,,,161.03,,,,178.58,,,,85.0605,82.583,,,,,154.819,89.5,,89.5,137.8616,143.4148,1/9/2014
8,08,,163.6396,163.0238,,,,147.1789,149.2172,153.7624,150.6938,,,,,,149.0895,,,,183.0698,192.9176,,,161.03,,,,178.58,,,,85.0605,82.583,,,,156.702,,89.5,,89.5,138.3444,143.0543,1/9/2014
9,09,,158.4261,158.3721,161.5774,160.7927,,147.2198,149.4196,153.6502,150.7066,,,,,,149.0895,,,,183.1048,192.9754,,,161.03,,,,178.58,,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.5599,143.0797,1/9/2014
10,10,,158.4654,158.8912,159.4439,158.4747,162.4986,147.2581,149.5012,153.6202,150.7195,,,,,,149.0895,,,,179.9878,193.0058,,,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.56,143.2126,1/9/2014
11,11,,158.4716,159.3049,159.441,158.4954,159.8129,147.3535,149.5955,153.5908,150.7195,,,,,,149.0895,,,,176.3107,193.0357,,,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.8243,143.2542,1/9/2014
12,12,,158.4659,158.3699,159.4241,158.478,159.9221,147.4563,149.8334,153.0141,151.1061,,,,,,149.0895,,,,181.9532,192.9552,,,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.9389,143.0791,1/9/2014
13,13,,158.4397,158.3614,159.4351,158.4911,160.4233,147.4752,149.9177,153.0226,151.2092,,,,,,149.0895,,,,176.9707,184.5426,,161.03,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.5478,142.9695,1/9/2014
14,14,,158.528,158.3374,159.4498,158.5132,160.5397,147.4676,150.1141,153.0481,151.0566,,,,,,149.0895,,,,177.0185,179.4073,,161.03,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.6658,143.2188,1/9/2014
15,15,,158.5512,158.375,159.5054,158.5521,160.0254,147.4657,150.1074,153.0597,150.3037,,,,,,149.0895,,,,177.0152,188.4707,,161.03,161.03,,,,178.58,279.94,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.5487,143.1848,1/9/2014
16,16,,158.5571,158.9153,159.4893,159.1192,160.535,147.4028,150.1684,153.0349,149.7581,,,,,,149.0895,,,,180.1017,193.3721,,161.03,161.03,,,,178.58,,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.5477,143.277,1/9/2014
17,17,,158.5699,158.3948,158.7988,158.4662,166.2639,147.3878,149.2448,153.0501,149.8815,,,,,,149.0895,,,,183.1679,193.0105,,161.03,161.03,,,,178.58,,,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,138.5646,143.7125,1/9/2014
18,18,,158.4546,158.3685,158.7349,158.4698,161.0213,147.3333,149.0211,153.0173,149.8329,,,,,,149.0895,,,,178.4066,193.0409,,161.03,161.03,,,178.58,,,279.94,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,137.6164,143.3365,1/9/2014
19,19,,158.4096,158.3579,158.6911,160.6066,161.9954,147.2359,149.0063,153.1667,149.8103,,,,,,149.0895,,,,178.4086,193.2058,,161.03,161.03,,,178.58,,,279.94,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,138.6774,143.6957,1/9/2014
20,20,,160.0691,161.8004,163.132,,,147.6647,148.9983,153.2074,149.8204,,,,,,149.0895,,,,183.2598,193.0978,,161.03,161.03,,,178.58,,,279.94,,85.0605,82.583,,,,156.702,154.819,89.5,,89.5,138.1312,143.6962,1/9/2014
21,21,,172.2128,,,,,147.5988,149.0122,153.6119,149.8603,,,,,,149.0895,,,,183.2712,193.1656,,,,,,178.58,,,279.94,,85.0605,82.583,,,,,,89.5,,89.5,137.5538,143.7144,1/9/2014
22,22,,172.219,,,,,147.2168,149.1379,153.4116,155.8864,,,,,,149.0895,,,,183.1509,193.2183,,,,,,178.58,,,279.94,,85.0605,82.583,,,,,,89.5,,89.5,137.8106,143.0671,1/9/2014
23,23,,,,,,,147.1956,149.1802,,152.7838,,,,,,149.0895,,,,183.1267,193.2043,,,,,,178.58,,,279.94,,85.0605,82.583,,,,,,89.5,,89.5,137.5846,143.3376,1/9/2014
0,00,,,,,,,147.2122,149.0807,,150.3526,,,,,,149.0895,,,,183.1548,193.2119,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,137.5665,143.4565,2/9/2014
1,01,,,,,,,147.2326,149.3419,,150.3619,,,,,,149.0895,,,,183.1595,193.1598,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,138.4033,143.6982,2/9/2014
2,02,,,,,,,147.2074,149.2904,,155.1194,,,,,,149.0895,,,,183.0735,193.0101,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,138.3858,143.4834,2/9/2014
3,03,,,,,,,147.2106,150.1773,,,,,,,,149.0895,,,,183.057,193.014,,,,,,,,,,,85.0605,82.583,,,,,,89.5,,89.5,138.5189,143.7006,2/9/2014
