,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,,,,,,,,,,,,115.3057,121.8101,,100.72,100.72,,73.05,116.9836,,,96.86,,,,90.2407,87.6123,97.98,97.98,,,,,,92.185,,92.185,96.2168,94.5637,1/7/2015
1,1,,,,,,,,,,,,,,,,,,,,115.2593,121.6973,,100.72,100.72,,72.97,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.4438,94.6657,1/7/2015
2,2,,,,,,,,,,,,,,,,,,,,115.2431,121.7049,,100.72,100.72,,72.76,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.4293,94.6657,1/7/2015
3,3,,,,,,,,,,,,,,,,,,,,115.2488,121.7656,,100.72,100.72,,71.63,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.1848,94.6657,1/7/2015
4,4,,,,,,,,,,,,,,,,,,,,115.2837,121.7786,,100.72,100.72,,74.73,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.2487,94.6657,1/7/2015
5,5,,,,,,,,,,,,,,,,,,,,115.3982,121.7716,,100.72,100.72,,75,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.1768,94.6657,1/7/2015
6,6,,,,,,,,,,,,,,,,,,,,115.3589,121.7426,,100.72,100.72,,65.89,116.9836,,,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.0422,94.2152,1/7/2015
7,7,,,,,,,98.3218,113.5667,,,,,,,,97.8955,96.2912,,,115.3272,121.7384,,100.72,100.72,,65.96,116.9836,,96.86,96.86,,,,90.2407,87.6123,,97.98,,,,,,92.185,,92.185,96.0817,93.8,1/7/2015
8,8,,,,,,116.884,96.8398,100.2465,,,,,,,,97.8955,96.2912,,,115.3237,121.8317,,100.72,100.72,,70,116.9836,,96.86,96.86,,,,90.2407,87.6123,97.98,97.98,,,,,,92.185,,92.185,96.0188,93.8087,1/7/2015
9,9,,,,,,116.884,97.2734,98.0697,,,,,,,,97.8955,96.2912,,,115.3576,121.8143,,100.72,100.72,,66.06,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,,,92.185,,92.185,96.1965,93.8434,1/7/2015
10,10,,,,,,116.881,97.2897,98.1034,,100.735,,,,,,97.8955,96.2912,,,115.3787,121.7131,,100.72,100.72,,67.11,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,,,92.185,,92.185,96.0923,93.8521,1/7/2015
11,11,,,,,,116.8628,97.3773,98.1268,101.07,98.641,,,,,,97.8955,96.2912,,,115.3307,121.6321,,100.72,100.72,,66.95,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,102.019,100.631,92.185,,92.185,96.0386,93.8675,1/7/2015
12,12,,,,,,116.873,97.4327,98.2026,101.1798,98.6608,,,,,,97.8955,96.2912,,,115.3351,121.6152,,100.72,100.72,,67.16,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,102.019,100.631,92.185,,92.185,96.0461,93.8743,1/7/2015
13,13,,107.72,,,,116.884,97.407,98.1845,100.616,98.5703,,,,,,97.8955,96.2912,,,115.3455,121.543,,100.72,100.72,,66.99,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,102.019,100.631,92.185,,92.185,96.1954,93.8232,1/7/2015
14,14,,108.6316,,,,116.884,96.9525,98.023,100.8891,98.4475,,,,,,97.8955,96.2912,,,115.3383,121.6086,,100.72,100.72,,67,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,102.019,100.631,92.185,,92.185,96.0282,93.7997,1/7/2015
15,15,,105.0569,,,,116.884,96.8657,98.0061,101.0122,98.5251,,,,,,97.8955,96.2912,,,115.3832,121.6614,,100.72,100.72,,67.01,,,96.86,96.86,99.83,,,90.2407,87.6123,97.98,97.98,,,,102.019,100.631,92.185,,92.185,96.0536,93.8201,1/7/2015
