,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,175.1008,,,,,,,,,,,,,,,,,186.5257,,,123.54,123.54,50,33.8242,135.59,135.59,,143.42,,65.006,65.006,,,,,,,66.857,66.857,142.2362,,1/12/2013
1,1,,,175.0949,,,,,,,,,,,,,,,,,186.5758,,,123.54,123.54,50,33.8242,135.59,135.59,,143.42,,65.006,65.006,,,,,,,66.857,66.857,142.1937,,1/12/2013
2,2,,,175.1039,,,,,,,,,,,,,,,,,186.5598,,,123.54,123.54,50,33.8242,135.59,135.59,,143.42,,65.006,65.006,,,,,,,66.857,66.857,141.6397,,1/12/2013
3,3,,,175.0942,,,,,,,,,,,,,,,,,186.5725,,,123.54,123.54,50,33.8242,135.59,135.59,,143.42,,65.006,65.006,,,,,,,66.857,66.857,141.3899,,1/12/2013
4,4,,,175.0947,,,,,,,,,,,,,,,,,186.5587,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,142.3727,,1/12/2013
5,5,,,175.1057,,,,,,,,,,,,,,,,,186.5687,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,142.5195,,1/12/2013
6,6,,,175.109,,,,,,,,,,,,,,,,,186.5775,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,141.6889,,1/12/2013
7,7,,,175.1026,,,,,,,,,,,,,,,,,186.5213,,,123.54,123.54,50,33.8242,135.59,135.59,,,,65.006,65.006,,,,,,,66.857,66.857,140.9212,,1/12/2013
8,8,,,175.0977,,,,,,,,,,,,,,,,,186.4108,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9846,154.4727,1/12/2013
9,9,,,175.0915,,,,,,,,,,,,,,,,,186.3995,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9553,147.5967,1/12/2013
10,10,,,175.0853,,,,,,,,,,,,,,,,,186.3473,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.972,146.0546,1/12/2013
11,11,,,175.0905,,,,,,,,,,,,,,,,,186.3222,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9483,146.0415,1/12/2013
12,12,,,175.0919,,,,,,,,,,,,,,,,,186.3003,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9829,145.9319,1/12/2013
13,13,,,175.0951,,,,,,,,,,,,,,,,,186.2513,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.3948,146.72,1/12/2013
14,14,,,175.1008,,,,152.1915,,,,,,,,,,,,,186.267,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,139.958,146.0604,1/12/2013
15,15,,,175.1065,,,,151.9577,,,,,,,,,152.684,,,,186.2957,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9789,147.6461,1/12/2013
16,16,,,175.1051,,,,,,,,,,,,,,,,,186.2635,,,123.54,123.54,50,33.8242,135.59,135.59,,143.42,,65.006,65.006,,,,,,,66.857,66.857,140.9394,147.6815,1/12/2013
17,17,,,175.1076,,,,152.2407,158.6907,,,,,,,,152.684,,,,186.2667,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,153.414,152.08,,66.857,66.857,139.9745,146.8853,1/12/2013
18,18,,,175.106,,,,151.307,152.1441,,158.6335,,,,,,152.684,,,,186.2674,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,152.08,,66.857,66.857,139.9733,146.5105,1/12/2013
19,19,,,175.109,,,,151.3219,152.471,,152.7454,,,,,,152.684,,,,186.246,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,152.08,,66.857,66.857,139.9629,146.8311,1/12/2013
20,20,,,175.109,,,,151.3358,166.6814,,152.7549,,,,,,,,,,186.2393,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,152.08,,66.857,66.857,139.9603,146.6297,1/12/2013
21,21,,,175.1069,,,,152.3654,,,157.3808,,,,,,,,,,186.5263,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,139.964,147.7307,1/12/2013
22,22,,,175.1052,,,,,,,,,,,,,,,,,186.5626,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,139.9675,149.5837,1/12/2013
23,23,,,175.1082,,,,,,,,,,,,,,,,,186.5694,,,123.54,123.54,50,33.8242,135.59,135.59,143.42,143.42,,65.006,65.006,,,,,,,66.857,66.857,139.9667,149.484,1/12/2013
0,0,,,176.987,,,,,,,,,,,,,,,,,188.8183,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,141.6275,152.2042,2/12/2013
1,1,,,176.987,,,,,,,,,,,,,,146.274,,,188.9033,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,141.628,,2/12/2013
2,2,,,176.987,,,,,,,,,,,,,,146.274,,,188.8412,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,142.4816,,2/12/2013
3,3,,,176.987,,,,,,,,,,,,,,146.274,,,188.774,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,142.1837,,2/12/2013
4,4,,,176.987,,,,,,,,,,,,,,146.274,,,188.775,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,141.627,,2/12/2013
5,5,,,176.987,,,,,,,,,,,,,,146.274,,,188.8269,,,126.54,126.54,50,33.8242,133.25,133.25,,146.27,,65.006,65.006,,,,,,,66.857,66.857,141.627,,2/12/2013
6,6,,,176.987,,,,,,,,,,,,,,146.274,,,188.8005,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,,,,66.857,,141.627,150.3997,2/12/2013
7,7,,,176.987,,,,153.6428,177.8848,,,,,,,,,146.274,,,188.8151,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,,,,66.857,,141.627,147.5576,2/12/2013
8,8,,,176.987,,,,152.9095,157.3116,157.7961,161.1937,,235.463,,,,154.35,146.274,,,188.8123,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.9589,147.7634,2/12/2013
9,9,,,176.987,,,,152.9024,156.1595,157.5024,154.5794,,,,,,154.35,146.274,,,188.8358,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,142.5328,147.7034,2/12/2013
10,10,,,176.987,,,,153.1105,156.3539,157.4893,155.2546,,235.463,,,,154.35,146.274,,,188.7833,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,147.7056,2/12/2013
11,11,,,165.2582,,,,154.0271,156.4947,157.5671,154.6316,,235.463,,,,154.35,146.274,,,188.7857,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,148.9592,2/12/2013
12,12,,,161.7332,,,,154.0322,156.6267,157.8051,154.8455,,,,,,154.35,146.274,,,188.7503,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,148.9592,2/12/2013
13,13,,,162.1983,,,,153.918,156.6113,158.1688,154.9041,,,,,,154.35,146.274,,,188.7582,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,148.2391,2/12/2013
14,14,,,162.6859,,,,153.0355,157.0578,158.0723,154.4948,,,,,,154.35,146.274,,,188.7381,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,147.3934,2/12/2013
15,15,,,162.5701,,,,153.0315,156.9124,158.3275,154.0976,,,,,,154.35,146.274,,,188.7675,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,147.639,2/12/2013
16,16,,,165.5069,,,,153.0447,157.1916,158.2518,153.9863,,,,,,154.35,146.274,,,188.6969,,,126.54,126.54,50,33.8242,133.25,133.25,146.27,146.27,,65.006,65.006,,,,155.194,153.844,,66.857,,141.627,148.7147,2/12/2013
