,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,149.0793,,,158.0263,,,,,,,142.627,,183.9774,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,144.7338,1/7/2012
1,1,,,,,,,,,,,,,,,,142.627,,183.9584,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,146.8112,1/7/2012
2,2,,,,,,,,,,,,,,,,142.627,,183.7477,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.9002,146.9835,1/7/2012
3,3,,,,,,,,,,,,,,,,142.627,,183.7703,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.4141,151.8354,1/7/2012
4,4,,,,,,,,,,,,,,,,142.627,,183.822,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.5071,,1/7/2012
5,5,,,,,,,,,,,,,,,,142.627,,183.8647,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.2956,,1/7/2012
6,6,,,,,,,,,,,,,,,,142.627,,184.0194,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.722,,1/7/2012
7,7,,,,,,,,,,,,,,,,142.627,,184.0194,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.9185,149.9577,1/7/2012
8,8,,,,,,,,,,,,,,,,142.627,,184.0194,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,146.6711,1/7/2012
9,9,,,,,,149.6082,,,,,213.001,,,,150.439,142.627,,184.0841,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,146.0156,1/7/2012
10,10,,,,,,148.376,,,,,,,,,150.439,142.627,,184.0158,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,145.2796,1/7/2012
11,11,,,,,,148.4028,,,,,,,,,150.439,142.627,,184.0797,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,143.9125,1/7/2012
12,12,,,,,,148.4129,,,,,,,,,150.439,142.627,,184.2122,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,145.1265,1/7/2012
13,13,,,,,,148.4137,,,,,,,,,150.439,142.627,,184.1964,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.805,144.2166,1/7/2012
14,14,,,,,,148.4102,,,,,,,,,150.439,142.627,,184.2281,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.8131,144.2399,1/7/2012
15,15,,,,,,148.4135,,,,,,,,,150.439,142.627,,184.2281,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,137.8051,143.8648,1/7/2012
16,16,,,,,,148.3861,,,,,,,,,,142.627,,184.2381,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,149.527,,65.6,65.6,137.8053,144.3072,1/7/2012
17,17,,,,,,148.7332,,,154.655,,,,,,,142.627,,184.2513,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,149.527,,65.6,65.6,138.2107,144.8414,1/7/2012
18,18,,,,,,148.4678,159.6587,150.6305,149.5391,,,,,,150.439,142.627,,184.2391,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,150.837,149.527,,65.6,65.6,138.0356,144.6147,1/7/2012
19,19,,,,,,148.3804,149.9351,150.4484,149.5507,,,,,,150.439,142.627,,184.1658,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,150.837,149.527,,65.6,65.6,137.805,145.171,1/7/2012
20,20,,,,,,148.378,149.9593,151.6268,149.5331,,,,,,150.439,142.627,,184.1757,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,149.527,,65.6,65.6,137.805,144.5722,1/7/2012
21,21,,,,,,148.3849,157.2316,,149.5323,,,,,,,142.627,,184.2071,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.1698,144.4941,1/7/2012
22,22,,,,,,148.3768,,,153.6037,,,,,,,142.627,,184.2071,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.7283,145.1709,1/7/2012
23,23,,,,,,150.3956,,,,,,,,,,142.627,,184.2071,,,50,64.37,126.09,126.09,118.11,118.11,,63.371,,,,,,,65.6,65.6,138.7384,145.8824,1/7/2012
0,0,,,,,,,,,,,,,,,,136.781,,176.308,,,50,62.818,124.829,124.829,116.929,116.929,,63.371,,,,,,,65.6,65.6,132.8845,141.3912,2/7/2012
1,1,,,,,,,,,,,,,,,,136.781,,176.168,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,132.156,143.4817,2/7/2012
2,2,,,,,,,,,,,,,,,,136.781,,176.168,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,132.029,143.9933,2/7/2012
3,3,,,,,,,,,,,,,,,,136.781,,176.168,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,132.6691,144.3398,2/7/2012
4,4,,,,,,,,,,,,,,,,136.781,,176.168,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,132.244,142.8913,2/7/2012
5,5,,,,,,,,,,,,,,,,136.781,,176.1723,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,131.9939,140.0051,2/7/2012
6,6,,,,,,143.7756,,,,,,,,,,136.781,,176.314,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,131.9869,138.663,2/7/2012
7,7,,,,,,142.4632,,,147.1162,,,,,,144.623,136.781,,176.1344,,,50,62.818,124.829,124.829,116.929,,,63.371,,,,,,,65.6,65.6,132.403,138.8763,2/7/2012
8,8,,,,,,142.5727,155.8606,145.7592,144.1995,,,,,,144.623,136.781,,176.1903,186.349,,50,62.818,124.829,124.829,116.929,,,63.371,,,,144.625,143.37,,65.6,65.6,132.1147,138.1896,2/7/2012
9,9,,165.5535,,,,142.6482,144.2527,145.6139,144.2102,,,,,,144.623,136.781,,176.2083,186.349,,50,62.818,124.829,124.829,116.929,,,63.371,,,,144.625,143.37,,65.6,65.6,131.98,138.5349,2/7/2012
10,10,,162.0152,,157.3062,,142.6451,144.9903,145.992,144.228,,,,,,144.623,136.781,,176.1144,186.349,,50,62.818,124.829,124.829,116.929,,,63.371,,,,144.625,143.37,,65.6,65.6,131.98,138.2806,2/7/2012
