,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,,,,,,,142.5933,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,106.7176,,1/12/2014
1,01,,,,,,,,,,,,,,,,,,,,,142.537,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.6394,,1/12/2014
2,02,,,,,,,,,,,,,,,,,,,,,142.4107,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.3801,,1/12/2014
3,03,,,,,,,,,,,,,,,,,,,,,142.415,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.6874,,1/12/2014
4,04,,,,,,,,,,,,,,,,,,,,,142.3587,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.489,111.4333,1/12/2014
5,05,,,,,,,,,,,,,,,,,,,,,142.2974,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,106.5673,108.1397,1/12/2014
6,06,,,,,,,,,,,,,,,,,,,,,142.3386,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,,106.5848,107.2597,1/12/2014
7,07,,,,,,,,,,,,,,,,,,,,135.515,142.3353,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5676,107.2569,1/12/2014
8,08,,,,,,,112.6981,,,,,,,,,112.7997,111.2727,,,135.515,142.3538,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5675,107.2732,1/12/2014
9,09,,,,129.7723,,,112.0837,,,,,,,,,112.7997,111.2727,,,135.442,142.5387,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.5177,1/12/2014
10,10,,,,124.1122,,,112.1666,116.1215,,,,177.882,,,,112.7997,111.2727,,,135.1162,142.937,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2309,1/12/2014
11,11,,,,121.6254,,,112.1772,113.0392,,118.247,,177.882,,,,112.7997,111.2727,,,134.9738,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2065,1/12/2014
12,12,,,,121.6616,,,112.3079,113.0628,,113.3206,,,,,,112.7997,111.2727,,,134.9368,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,107.0054,107.4293,1/12/2014
13,13,,,,121.6512,,,112.2912,113.1089,,113.8657,,,,,,112.7997,111.2727,,,135.0548,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2994,1/12/2014
14,14,,,,121.6345,,,112.3387,113.1302,,115.0529,,,,,,112.7997,111.2727,,,135.0189,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2289,1/12/2014
15,15,,,,121.6482,,,112.4195,113.1764,,113.4075,,,,,,112.7997,111.2727,,,134.7624,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.4478,1/12/2014
16,16,,,,122.7828,,,112.2874,113.1157,,118.3155,,,,,,112.7997,111.2727,,,130.5755,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.7753,1/12/2014
17,17,,,,,,,111.9814,112.9178,116.5095,114.7102,,,,,,112.7997,111.2727,,,130.4674,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,117.939,,89.5,,,106.5719,107.3188,1/12/2014
18,18,,,121.571,124.5705,,,111.7166,112.884,115.9972,112.9938,,,,,,112.7997,111.2727,,,132.2889,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,117.939,,89.5,,,106.7987,107.4074,1/12/2014
19,19,,,121.8371,123.2789,,,111.6629,112.8854,116.7834,112.9941,,,,,,112.7997,111.2727,,,135.1467,,,113.498,113.498,,,50,,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,117.939,116.406,89.5,,,107.1695,107.52,1/12/2014
20,20,,,,,,,111.6652,112.8791,116.7238,113.0145,,,,,,112.7997,111.2727,,,135.14,,,113.498,113.498,,,50,,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,117.939,116.406,89.5,,,106.5667,107.6854,1/12/2014
21,21,,,,,,,111.6658,112.9434,116.3725,117.2617,,,,,,112.7997,111.2727,,,135.1444,,,113.498,113.498,,,50,,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.6158,107.6358,1/12/2014
22,22,,,,,,,111.6677,123.7676,,,,,,,,112.7997,111.2727,,,135.1113,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,89.5,106.6968,107.21,1/12/2014
23,23,,,,,,,112.912,,,,,,,,,,111.2727,,,135.1278,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,,,85.0605,82.583,,,,,,89.5,,89.5,107.033,107.2685,1/12/2014
0,00,,,,,,,,,,,,,,,,,111.2727,,,135.1383,,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.3664,108.0354,2/12/2014
1,01,,,,,,,,,,,,,,,,,,,,135.1495,,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,106.598,109.2449,2/12/2014
2,02,,,,,,,,,,,,,,,,,,,,135.1485,,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.3745,,2/12/2014
3,03,,,,,,,,,,,,,,,,,,,,135.1238,,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.5254,,2/12/2014
4,04,,,,,,,,,,,177.882,177.882,,,,,,,,135.1143,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,89.5,107.6193,110.7289,2/12/2014
5,05,,,,,,,,,,,,177.882,,,,,111.2727,,,135.0455,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,89.5,107.2048,107.8057,2/12/2014
6,06,,,,,,,,,,,,,,,,,111.2727,,,135.0475,,,113.498,113.498,,,50,34.1659,107.18,107.18,,,,85.0605,82.583,,,,,,89.5,,89.5,107.06,107.5778,2/12/2014
7,07,,,,,,,112.5385,,116.294,,,,,,,,111.2727,,,135.1056,,,113.498,113.498,,,50,34.1659,,107.18,113.089,,,85.0605,82.583,,,,,,89.5,,,106.5667,107.3187,2/12/2014
8,08,,,,123.0825,,,112.2074,114.6184,116.2996,,,,,,,112.7997,111.2727,,,135.1575,,,113.498,113.498,,,50,34.1659,,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.8049,107.4893,2/12/2014
9,09,,,,121.4427,,,112.1188,113.0251,116.294,,,,,,,112.7997,111.2727,,,135.1383,,,113.498,113.498,,,50,34.1659,,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.9468,2/12/2014
10,10,,,,121.1689,,,111.7739,112.9846,,,,,,,,112.7997,111.2727,,,135.1179,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.6366,107.6503,2/12/2014
11,11,,,,120.8075,,,111.709,113.4073,,,,,,,,112.7997,111.2727,,,135.1118,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.8617,107.3639,2/12/2014
12,12,,,,120.9328,,,111.7081,114.3729,,,,,,,,112.7997,111.2727,,,135.1062,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.6707,2/12/2014
13,13,,,,121.4937,,,111.9348,115.1193,,,,,,,,112.7997,111.2727,,,135.0947,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.4146,2/12/2014
14,14,,,,121.6171,,,111.7106,114.8163,,,,,,,,112.7997,111.2727,,,135.083,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2821,2/12/2014
15,15,,,,121.04,,,111.714,114.3506,,,,,,,,112.7997,111.2727,,,135.0863,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.237,2/12/2014
16,16,,,,121.5099,,,111.7086,122.9385,116.2983,,,,,,,112.7997,111.2727,,,135.0227,,,113.498,113.498,,,50,34.1659,107.18,107.18,113.089,113.089,,85.0605,82.583,,,,,,89.5,,,106.5667,107.2021,2/12/2014
