,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,176.4596,,,,,248.122,,,177.881,171.223,,,233.9996,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.738,172.5514,1/5/2012
1,01,,,,,,176.4493,,,,,,,,177.881,171.223,,,234.0992,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.738,172.771,1/5/2012
2,02,,,,,,176.4553,,,,,,,,177.881,171.223,,,233.874,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.7391,172.771,1/5/2012
3,03,,,,,,176.4514,,,,,,,,177.881,171.223,,,234.0497,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.7392,172.771,1/5/2012
4,04,,,,,,176.4563,,,,,,,,177.881,171.223,,,234.0623,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.738,172.771,1/5/2012
5,05,,,,,,176.4482,,,,,,,,177.881,171.223,,,233.9346,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,166.1169,172.0564,1/5/2012
6,06,,,,,,176.4363,,,,,,,,,171.223,,,233.9426,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,166.7022,173.605,1/5/2012
7,07,,,,,,176.4583,,,,,,,,,171.223,,,233.1518,,50,33.151,171.43,171.43,171.43,,63.371,63.371,,,,,,,61.885,61.885,165.9192,173.0096,1/5/2012
8,08,,,,,,177.2181,180.498,,,,,,,177.881,171.223,,,233.1132,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,166.4469,172.8811,1/5/2012
9,09,,,,,,177.2777,177.8219,,,,,,,177.881,171.223,,,233.1011,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,166.0232,172.8731,1/5/2012
10,10,,,,,,176.6746,177.9056,,,,,,,177.881,171.223,,,232.9023,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,165.7382,172.8731,1/5/2012
11,11,,,,,,176.695,177.9457,,,,,,,177.881,171.223,,,232.9419,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,165.738,172.9696,1/5/2012
12,12,,,,,,176.7435,177.9531,,,,,,,177.881,171.223,,,232.9118,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,165.7386,173.6805,1/5/2012
13,13,,,,,,176.8341,178.0632,,,,,,,177.881,171.223,,,232.8665,,50,33.151,171.43,171.43,171.43,171.43,,63.371,,,,,,,61.885,61.885,165.7389,172.8629,1/5/2012
14,14,,,,,,176.885,177.938,,,,,,,177.881,171.223,,,232.9835,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,165.7382,172.8489,1/5/2012
15,15,,,,,,177.7367,178.069,,,,,,,177.881,171.223,,,233.0766,,50,33.151,171.43,171.43,171.43,171.43,63.371,63.371,,,,,,,61.885,61.885,165.738,172.8509,1/5/2012
