sampleSize,Power
50,0.476
100,0.588
150,0.658
200,0.726
250,0.78
300,0.818
350,0.852
400,0.902
450,0.93
500,0.934
550,0.964
600,0.962
650,0.962
700,0.958
750,0.988
800,0.974
850,0.986
900,0.994
950,0.99
1e3,0.998
1050,0.992
1100,0.998
1150,0.998
1200,0.996
1250,1
1300,0.998
