sampleSize,Power
50,0.186
100,0.342
150,0.48
200,0.56
250,0.652
300,0.762
350,0.866
400,0.868
450,0.918
500,0.948
550,0.978
600,0.978
650,0.972
700,0.99
750,0.984
800,0.99
850,1
900,0.998
950,0.998
1e3,1
1050,0.998
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
