sampleSize,Power
50,0.49
100,0.482
150,0.558
200,0.588
250,0.64
300,0.648
350,0.678
400,0.68
450,0.756
500,0.76
550,0.786
600,0.832
650,0.824
700,0.866
750,0.838
800,0.894
850,0.868
900,0.902
950,0.902
1e3,0.898
1050,0.924
1100,0.944
1150,0.958
1200,0.944
1250,0.95
1300,0.956
1350,0.954
1400,0.974
1450,0.962
1500,0.962
1550,0.978
1600,0.976
