sampleSize,Power
200,0.146
225,0.168
250,0.138
275,0.17
300,0.156
325,0.168
350,0.172
375,0.174
400,0.176
425,0.168
450,0.144
475,0.18
500,0.166
525,0.154
550,0.182
575,0.188
600,0.166
625,0.164
650,0.168
675,0.186
700,0.198
725,0.182
750,0.158
775,0.164
800,0.174
825,0.136
850,0.2
875,0.152
900,0.162
925,0.188
950,0.218
975,0.144
1e3,0.168
1025,0.21
1050,0.19
1075,0.196
1100,0.19
1125,0.19
1150,0.164
1175,0.172
1200,0.198
1225,0.154
1250,0.184
1275,0.194
1300,0.16
1325,0.192
1350,0.19
1375,0.184
1400,0.18
1425,0.2
1450,0.174
1475,0.21
1500,0.166
1525,0.178
1550,0.176
1575,0.192
1600,0.186
1625,0.166
1650,0.174
1675,0.176
1700,0.148
1725,0.166
1750,0.176
1775,0.188
1800,0.184
1825,0.18
1850,0.16
1875,0.184
1900,0.188
1925,0.176
1950,0.182
1975,0.156
2e3,0.194
2025,0.198
2050,0.188
2075,0.208
2100,0.164
2125,0.162
2150,0.148
2175,0.17
2200,0.182
