sampleSize,Power
50.0,0.154
100.0,0.384
150.0,0.508
200.0,0.604
250.0,0.722
300.0,0.776
350.0,0.864
400.0,0.904
450.0,0.926
500.0,0.948
550.0,0.968
600.0,0.978
650.0,0.978
700.0,0.996
750.0,0.996
800.0,0.994
850.0,0.998
900.0,0.998
950.0,1.0
1e3,0.998
1050.0,0.998
1100.0,1.0
1150.0,1.0
1200.0,1.0
1250.0,1.0
1300.0,1.0
1350.0,1.0
