sampleSize,Power
200,0.27
225,0.37
250,0.375
275,0.42
300,0.36
325,0.5
350,0.41
375,0.385
400,0.45
425,0.445
450,0.49
475,0.47
500,0.5
525,0.475
550,0.455
575,0.49
600,0.465
625,0.53
650,0.5
675,0.465
700,0.485
725,0.445
750,0.515
775,0.535
800,0.56
825,0.555
850,0.59
875,0.575
900,0.53
925,0.445
950,0.53
975,0.505
1e3,0.47
1025,0.565
1050,0.555
1075,0.54
1100,0.57
1125,0.545
1150,0.49
1175,0.61
1200,0.525
1225,0.525
1250,0.555
1275,0.585
1300,0.495
1325,0.54
1350,0.565
1375,0.57
1400,0.525
1425,0.545
1450,0.57
1475,0.495
1500,0.52
1525,0.535
1550,0.525
1575,0.55
1600,0.555
1625,0.51
1650,0.575
1675,0.5
1700,0.57
1725,0.58
1750,0.55
1775,0.485
1800,0.58
1825,0.52
1850,0.615
1875,0.55
1900,0.555
1925,0.56
1950,0.52
1975,0.5
2e3,0.595
2025,0.6
2050,0.495
2075,0.585
2100,0.57
