sampleSize,Power
50,0.628
100,0.8
150,0.9
200,0.924
250,0.966
300,0.974
350,0.99
400,0.99
450,0.988
500,0.998
550,1
600,1
650,0.998
700,1
750,1
800,1
850,1
900,1
950,1
1e3,1
1050,1
1100,1
